Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";33.94;Volts;
"Line-Line Terminal Voltage (peak)";28.63;Volts;
"Line-Line Terminal Voltage (rms)";21.5;Volts;
"Phase Terminal Voltage (peak)";28.63;Volts;
"Phase Terminal Voltage (rms)";21.5;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";5.132;%;
"Harmonic Distortion Phase Terminal Voltage";5.132;%;
"Back EMF Line-Line Voltage (peak)";29.64;Volts;
"Back EMF Phase Voltage (peak)";29.64;Volts;
"Back EMF Line-Line Voltage (rms)";20.96;Volts;
"Back EMF Phase Voltage (rms)";20.96;Volts;
"Max Line-Line / Phase Voltage Ratio";1;;
"DC Supply Current (mean)";4.948;Amps;
"Line Current (peak)";9.051;Amps;
"Line Current (rms)";6.4;Amps;
"Phase Current (peak)";5.226;Amps;
"Phase Current (rms)";3.695;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";90;EDeg;
"Drive Offset Angle (On load)";90;EDeg;
"Phase Advance to give maximum torque";0.4897;EDeg;
"Phasor Offset Angle";10;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"D Axis Inductance";0.09458;mH;
"Q Axis Inductance";0.1074;mH;
"Line-Line Inductance (DQ)";0.06734;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.007816;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";3.695;Amps;
"Torque Constant (Kt)";0.0541;Nm/A;
"Motor Constant (Km)";0.2083;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.06289;Vs/Rad;
"Electrical Constant";0.7488;msec;
"Electrical Loading";1.746E004;Amps/m;
"Stall Current";533.7;Amps;
"Stall Torque";28.88;Nm;
"Short Circuit Line Current (peak)";134.8;Amps;
"Short Circuit Current Density (peak)";100.1;Amps/mm©÷;
"Short Circuit Current Density (rms)";70.75;Amps/mm©÷;
"Short Circuit Braking Torque";-2.599;Nm;
"Short Circuit Max Braking Torque";-3.936;Nm;
"Short Circuit Max Braking Torque Speed";1702;rpm;
"Fundamental Frequency";600;Hz;
"Shaft Speed";4500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.4897 EDeg)";0.49295;Nm;
"Average torque (Maxwell stress)";0.48941;Nm;
"Average torque (loop torque)";0.49151;Nm;
"Torque Ripple (MsVw)";0.013692;Nm;
"Torque Ripple (MsVw) [%]";2.7962;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";7163.6;rpm;
"No load speed";7288.6;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";230.75;Watts;
"Input Power";237.52;Watts;
"Total Losses (on load)";18.052;Watts;
"Output Power";219.47;Watts;
"System Efficiency";92.4;%;
"Shaft Torque";0.46573;Nm;
"Power Factor [Waveform] (lagging)";0.99782;;
"Power Factor Angle [Waveform]";3.7881;EDeg;
"Power Factor [THD]";0.9965;;
"Power Factor [Phasor] (lagging)";0.99756;;
"Power Factor Angle [Phasor]";4;EDeg;
"Load Angle [Phasor]";3.9906;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";21.506;Volts;
"Rotor Inertia";0.00011803;kg.m©÷;
"Shaft Inertia";9.0034E-005;kg.m©÷;
"Total Inertia";0.00020806;kg.m©÷;
"Torque per rotor volume";10.813;kNm/m©ø;
"Rotor peripheral velocity (on load)";14.608;m/s;
"Flux Linkage D (Q axis current)";7.86096;mVs;
"Flux Linkage Q (Q axis current)";0.561197;mVs;
"Flux linkage D (On load)";7.85261;mVs;
"Flux linkage Q (On load)";0.532288;mVs;
"Torque Constant (Kt)";0.0541022;Nm/A;
"Motor Constant (Km)";0.208319;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.0628877;Vs/Rad;
"Stall Current";533.74;Amps;
"Stall Torque";28.8765;Nm;
"Cogging Period";2.5;MDeg;
"Cogging Frequency";10800;Hz;
"Fundamental Frequency";600;Hz;
"Mechanical Frequency";75;Hz;
"Optimum Skewing Angle";2.5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";13.95;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0.4897 EDeg)";0.49295;Nm;
"Average torque (Maxwell stress)";0.48941;Nm;
"Average torque (loop torque)";0.49151;Nm;
"Torque Ripple (MsVw)";0.013692;Nm;
"Torque Ripple (MsVw) [%]";2.7962;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";7163.6;rpm;
"No load speed";7288.6;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";230.75;Watts;
"Input Power";237.52;Watts;
"Total Losses (on load)";18.052;Watts;
"Output Power";219.47;Watts;
"System Efficiency";92.4;%;
"Shaft Torque";0.46573;Nm;
