Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";45.03;Volts;
"Line-Line Terminal Voltage (rms)";30.61;Volts;
"Phase Terminal Voltage (peak)";26.06;Volts;
"Phase Terminal Voltage (rms)";17.74;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";3.225;%;
"Harmonic Distortion Phase Terminal Voltage";9.538;%;
"Back EMF Line-Line Voltage (peak)";38.11;Volts;
"Back EMF Phase Voltage (peak)";22;Volts;
"Back EMF Line-Line Voltage (rms)";26.95;Volts;
"Back EMF Phase Voltage (rms)";15.56;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";6.569;Amps;
"Line Current (peak)";8.768;Amps;
"Line Current (rms)";6.2;Amps;
"Phase Current (peak)";8.768;Amps;
"Phase Current (rms)";6.2;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";5.431;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1306;mH;
"Q Axis Inductance";0.1871;mH;
"Line-Line Inductance (DQ)";0.3177;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.005614;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";6.2;Amps;
"Torque Constant (Kt)";0.1603;Nm/A;
"Motor Constant (Km)";0.262;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.1872;Vs/Rad;
"Electrical Constant";0.637;msec;
"Electrical Loading";2.281E004;Amps/m;
"Stall Current";96.25;Amps;
"Stall Torque";15.42;Nm;
"Short Circuit Line Current (peak)";36.25;Amps;
"Short Circuit Current Density (peak)";85.34;Amps/mm©÷;
"Short Circuit Current Density (rms)";60.34;Amps/mm©÷;
"Short Circuit Braking Torque";-2.414;Nm;
"Short Circuit Max Braking Torque";-3.297;Nm;
"Short Circuit Max Braking Torque Speed";859.5;rpm;
"Fundamental Frequency";680.4;Hz;
"Shaft Speed";1944;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 5.431 EDeg)";1.4281;Nm;
"Average torque (Maxwell stress)";1.4027;Nm;
"Average torque (loop torque)";1.4077;Nm;
"Torque Ripple (MsVw)";0.12445;Nm;
"Torque Ripple (MsVw) [%]";8.857;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";2156.7;rpm;
"No load speed";2448.3;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";286.05;Watts;
"Input Power";315.29;Watts;
"Total Losses (on load)";38.576;Watts;
"Output Power";276.72;Watts;
"System Efficiency";87.765;%;
"Shaft Torque";1.3593;Nm;
"Power Factor [Waveform] (leading)";0.96091;;
"Power Factor Angle [Waveform]";16.074;EDeg;
"Power Factor [THD]";0.95657;;
"Power Factor [Phasor] (leading)";0.96126;;
"Power Factor Angle [Phasor]";16;EDeg;
"Load Angle [Phasor]";16.171;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";17.81;Volts;
"Rotor Inertia";9.6364E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";9.6364E-005;kg.m©÷;
"Torque per rotor volume";144.17;kNm/m©ø;
"Rotor peripheral velocity (on load)";8.2448;m/s;
"Flux Linkage D (Q axis current)";5.14709;mVs;
"Flux Linkage Q (Q axis current)";1.61572;mVs;
"Flux linkage D (On load)";5.1059;mVs;
"Flux linkage Q (On load)";1.61842;mVs;
"Torque Constant (Kt)";0.160255;Nm/A;
"Motor Constant (Km)";0.262031;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.187215;Vs/Rad;
"Stall Current";96.2459;Amps;
"Stall Torque";15.4239;Nm;
"Cogging Period";1.42857;MDeg;
"Cogging Frequency";8164.8;Hz;
"Fundamental Frequency";680.4;Hz;
"Mechanical Frequency";32.4;Hz;
"Optimum Skewing Angle";1.42857;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";6;;
"Magnetic Axial Length (Slice1)";9.7;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 5.431 EDeg)";1.4281;Nm;
"Average torque (Maxwell stress)";1.4027;Nm;
"Average torque (loop torque)";1.4077;Nm;
"Torque Ripple (MsVw)";0.12445;Nm;
"Torque Ripple (MsVw) [%]";8.857;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";2156.7;rpm;
"No load speed";2448.3;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";286.05;Watts;
"Input Power";315.29;Watts;
"Total Losses (on load)";38.576;Watts;
"Output Power";276.72;Watts;
"System Efficiency";87.765;%;
