Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";43.23;Volts;
"Line-Line Terminal Voltage (rms)";29.8;Volts;
"Phase Terminal Voltage (peak)";25.39;Volts;
"Phase Terminal Voltage (rms)";17.27;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";2.041;%;
"Harmonic Distortion Phase Terminal Voltage";7.852;%;
"Back EMF Line-Line Voltage (peak)";38.04;Volts;
"Back EMF Phase Voltage (peak)";21.96;Volts;
"Back EMF Line-Line Voltage (rms)";26.9;Volts;
"Back EMF Phase Voltage (rms)";15.53;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";6.38;Amps;
"Line Current (peak)";8.627;Amps;
"Line Current (rms)";6.1;Amps;
"Phase Current (peak)";8.627;Amps;
"Phase Current (rms)";6.1;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";5.261;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.09931;mH;
"Q Axis Inductance";0.1548;mH;
"Line-Line Inductance (DQ)";0.2542;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.0047;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";6.1;Amps;
"Torque Constant (Kt)";0.161;Nm/A;
"Motor Constant (Km)";0.2895;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.1868;Vs/Rad;
"Electrical Constant";0.6162;msec;
"Electrical Loading";2.071E004;Amps/m;
"Stall Current";116.4;Amps;
"Stall Torque";18.74;Nm;
"Short Circuit Line Current (peak)";47.05;Amps;
"Short Circuit Current Density (peak)";99.03;Amps/mm©÷;
"Short Circuit Current Density (rms)";70.02;Amps/mm©÷;
"Short Circuit Braking Torque";-3.364;Nm;
"Short Circuit Max Braking Torque";-4.385;Nm;
"Short Circuit Max Braking Torque Speed";927;rpm;
"Fundamental Frequency";680.4;Hz;
"Shaft Speed";1944;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 5.261 EDeg)";1.4019;Nm;
"Average torque (Maxwell stress)";1.3888;Nm;
"Average torque (loop torque)";1.3906;Nm;
"Torque Ripple (MsVw)";0.031375;Nm;
"Torque Ripple (MsVw) [%]";2.2589;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";2226.5;rpm;
"No load speed";2453.3;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";282.75;Watts;
"Input Power";306.24;Watts;
"Total Losses (on load)";30.756;Watts;
"Output Power";275.48;Watts;
"System Efficiency";89.957;%;
"Shaft Torque";1.3532;Nm;
"Power Factor [Waveform] (leading)";0.97318;;
"Power Factor Angle [Waveform]";13.299;EDeg;
"Power Factor [THD]";0.9702;;
"Power Factor [Phasor] (leading)";0.9703;;
"Power Factor Angle [Phasor]";14;EDeg;
"Load Angle [Phasor]";13.526;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";17.265;Volts;
"Rotor Inertia";0.00010118;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";0.00010118;kg.m©÷;
"Torque per rotor volume";134.56;kNm/m©ø;
"Rotor peripheral velocity (on load)";8.2448;m/s;
"Flux Linkage D (Q axis current)";5.13669;mVs;
"Flux Linkage Q (Q axis current)";1.31664;mVs;
"Flux linkage D (On load)";5.11973;mVs;
"Flux linkage Q (On load)";1.31677;mVs;
"Torque Constant (Kt)";0.161005;Nm/A;
"Motor Constant (Km)";0.289486;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.186837;Vs/Rad;
"Stall Current";116.38;Amps;
"Stall Torque";18.7378;Nm;
"Cogging Period";1.42857;MDeg;
"Cogging Frequency";8164.8;Hz;
"Fundamental Frequency";680.4;Hz;
"Mechanical Frequency";32.4;Hz;
"Optimum Skewing Angle";1.42857;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";6;;
"Magnetic Axial Length (Slice1)";9.7;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 5.261 EDeg)";1.4019;Nm;
"Average torque (Maxwell stress)";1.3888;Nm;
"Average torque (loop torque)";1.3906;Nm;
"Torque Ripple (MsVw)";0.031375;Nm;
"Torque Ripple (MsVw) [%]";2.2589;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";2226.5;rpm;
"No load speed";2453.3;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";282.75;Watts;
"Input Power";306.24;Watts;
"Total Losses (on load)";30.756;Watts;
"Output Power";275.48;Watts;
"System Efficiency";89.957;%;
