Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";46.06;Volts;
"Line-Line Terminal Voltage (rms)";31.67;Volts;
"Phase Terminal Voltage (peak)";25.04;Volts;
"Phase Terminal Voltage (rms)";18.36;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.949;%;
"Harmonic Distortion Phase Terminal Voltage";8.678;%;
"Back EMF Line-Line Voltage (peak)";41.68;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";40.85;Volts;
"Back EMF Phase Voltage (peak)";21.87;Volts;
"Back EMF Line-Line Voltage (rms)";28.89;Volts;
"Back EMF Phase Voltage (rms)";16.72;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";1.825;%;
"Harmonic Distortion Back EMF Phase Voltage";6.931;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";3.756;Amps;
"Line Current (peak)";4.79;Amps;
"Line Current (rms)";3.387;Amps;
"Phase Current (peak)";4.79;Amps;
"Phase Current (rms)";3.387;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";3.182;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2079;mH;
"Q Axis Inductance";0.2699;mH;
"Line-Line Inductance (DQ)";0.4778;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.003655;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";3.387;Amps;
"Torque Constant (Kt)";0.1081;Nm/A;
"Motor Constant (Km)";0.1379;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1327;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.13;Vs/Rad;
"Electrical Constant";0.5837;msec;
"Mechanical Constant";1.201;msec;
"Electrical Loading";1.599E004;Amps/m;
"Stall Current";58.63;Amps;
"Stall Torque";6.336;Nm;
"Short Circuit Line Current (peak)";23.42;Amps;
"Short Circuit Current Density (peak)";82.82;Amps/mm©÷;
"Short Circuit Current Density (rms)";58.56;Amps/mm©÷;
"Short Circuit Braking Torque";-1.072;Nm;
"Short Circuit Max Braking Torque";-1.45;Nm;
"Short Circuit Max Braking Torque Speed";1337;rpm;
"Fundamental Frequency";700;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 3.182 EDeg)";0.53531;Nm;
"Average torque (virtual work)";0.53241;Nm;
"Average torque (loop torque)";0.52976;Nm;
"Torque Ripple (MsVw)";0.016478;Nm;
"Torque Ripple (MsVw) [%]";3.1837;%;
"Cogging Torque Ripple (Ce)";0.17621;Nm;
"Cogging Torque Ripple (Vw)";0.012185;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3218.5;rpm;
"No load speed";3454.9;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";162.61;Watts;
"Input Power";176.77;Watts;
"Total Losses (on load)";27.364;Watts;
"Output Power";149.4;Watts;
"Converter Efficiency";98.058;%;
"Motor Efficiency";84.52;%;
"System Efficiency";82.879;%;
"Shaft Torque";0.47557;Nm;
"Power Factor [Waveform] (leading)";0.97662;;
"Power Factor Angle [Waveform]";12.415;EDeg;
"Power Factor [THD]";0.97296;;
"Power Factor [Phasor] (leading)";0.97437;;
"Power Factor Angle [Phasor]";13;EDeg;
"Load Angle [Phasor]";12.521;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";18.546;Volts;
"Rotor Inertia";4.2069E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";4.2069E-005;kg.m©÷;
"Torque per rotor volume";69.284;kNm/m©ø;
"Rotor peripheral velocity (on load)";9.6604;m/s;
"Flux Linkage D (Open circuit)";5.37264;mVs;
"Flux Linkage Q (Open circuit)";-0.0148595;mVs;
"Flux Linkage D (Q axis current)";5.31356;mVs;
"Flux Linkage Q (Q axis current)";1.26927;mVs;
"Flux linkage D (On load)";5.30527;mVs;
"Flux linkage Q (On load)";1.26939;mVs;
"Torque Constant (Kt)";0.108058;Nm/A;
"Motor Constant (Km)";0.137902;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.132671;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.130041;Vs/Rad;
"Stall Current";58.6309;Amps;
"Stall Torque";6.33555;Nm;
"Cogging Period";2.14286;MDeg;
"Cogging Frequency";8400;Hz;
"Fundamental Frequency";700;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";2.14286;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";4;;
"Magnetic Axial Length (Slice1)";10;mm;

Phasor Diagram
