Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";47.04;Volts;
"Line-Line Terminal Voltage (rms)";32.95;Volts;
"Phase Terminal Voltage (peak)";26.58;Volts;
"Phase Terminal Voltage (rms)";19.09;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.7767;%;
"Harmonic Distortion Phase Terminal Voltage";6.738;%;
"Back EMF Line-Line Voltage (peak)";41.71;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";41.59;Volts;
"Back EMF Phase Voltage (peak)";22.61;Volts;
"Back EMF Line-Line Voltage (rms)";29.41;Volts;
"Back EMF Phase Voltage (rms)";17.01;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.3723;%;
"Harmonic Distortion Back EMF Phase Voltage";5.815;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";3.903;Amps;
"Line Current (peak)";4.848;Amps;
"Line Current (rms)";3.428;Amps;
"Phase Current (peak)";4.848;Amps;
"Phase Current (rms)";3.428;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";3.313;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2776;mH;
"Q Axis Inductance";0.3426;mH;
"Line-Line Inductance (DQ)";0.6202;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.00832;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";3.428;Amps;
"Torque Constant (Kt)";0.1105;Nm/A;
"Motor Constant (Km)";0.136;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1328;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1324;Vs/Rad;
"Electrical Constant";0.7049;msec;
"Mechanical Constant";1.262;msec;
"Electrical Loading";1.533E004;Amps/m;
"Stall Current";54.56;Amps;
"Stall Torque";6.026;Nm;
"Short Circuit Line Current (peak)";18.41;Amps;
"Short Circuit Current Density (peak)";65.11;Amps/mm©÷;
"Short Circuit Current Density (rms)";46.04;Amps/mm©÷;
"Short Circuit Braking Torque";-0.7118;Nm;
"Short Circuit Max Braking Torque";-1.124;Nm;
"Short Circuit Max Braking Torque Speed";1079;rpm;
"Fundamental Frequency";700;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 3.313 EDeg)";0.55284;Nm;
"Average torque (virtual work)";0.55064;Nm;
"Average torque (loop torque)";0.54767;Nm;
"Torque Ripple (MsVw)";0.0066272;Nm;
"Torque Ripple (MsVw) [%]";1.2376;%;
"Cogging Torque Ripple (Ce)";0.1686;Nm;
"Cogging Torque Ripple (Vw)";0.0069325;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3087.7;rpm;
"No load speed";3452.7;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";168.23;Watts;
"Input Power";183.84;Watts;
"Total Losses (on load)";34.621;Watts;
"Output Power";149.22;Watts;
"Converter Efficiency";98.132;%;
"Motor Efficiency";81.168;%;
"System Efficiency";79.652;%;
"Shaft Torque";0.47499;Nm;
"Power Factor [Waveform] (leading)";0.96356;;
"Power Factor Angle [Waveform]";15.514;EDeg;
"Power Factor [THD]";0.96138;;
"Power Factor [Phasor] (leading)";0.96126;;
"Power Factor Angle [Phasor]";16;EDeg;
"Load Angle [Phasor]";15.591;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";19.221;Volts;
"Rotor Inertia";4.2069E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";4.2069E-005;kg.m©÷;
"Torque per rotor volume";71.681;kNm/m©ø;
"Rotor peripheral velocity (on load)";9.6604;m/s;
"Flux Linkage D (Open circuit)";5.46892;mVs;
"Flux Linkage Q (Open circuit)";-0.00454894;mVs;
"Flux Linkage D (Q axis current)";5.42114;mVs;
"Flux Linkage Q (Q axis current)";1.64389;mVs;
"Flux linkage D (On load)";5.41903;mVs;
"Flux linkage Q (On load)";1.64747;mVs;
"Torque Constant (Kt)";0.11046;Nm/A;
"Motor Constant (Km)";0.13598;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.132754;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.132371;Vs/Rad;
"Stall Current";54.5558;Amps;
"Stall Torque";6.02623;Nm;
"Cogging Period";2.14286;MDeg;
"Cogging Frequency";8400;Hz;
"Fundamental Frequency";700;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";2.14286;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";4;;
"Magnetic Axial Length (Slice1)";10;mm;

Phasor Diagram
