Drive
"DC Bus Voltage";0;Volts;
"Line-Line Supply Voltage (rms)";0;Volts;
"Phase Supply Voltage (rms)";0;Volts;
"Line-Line Terminal Voltage (peak)";13.79;Volts;
"Line-Line Terminal Voltage (rms)";9.63;Volts;
"Phase Terminal Voltage (peak)";7.608;Volts;
"Phase Terminal Voltage (rms)";5.563;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.36;%;
"Harmonic Distortion Phase Terminal Voltage";3.373;%;
"Back EMF Line-Line Voltage (peak)";13.79;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";13.62;Volts;
"Back EMF Phase Voltage (peak)";7.608;Volts;
"Back EMF Line-Line Voltage (rms)";9.63;Volts;
"Back EMF Phase Voltage (rms)";5.563;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";1.36;%;
"Harmonic Distortion Back EMF Phase Voltage";3.373;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";INF;Amps;
"Line Current (peak)";0;Amps;
"Line Current (rms)";0;Amps;
"Phase Current (peak)";0;Amps;
"Phase Current (rms)";0;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0;mH;
"Q Axis Inductance";0;mH;
"Line-Line Inductance (DQ)";0;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.005445;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";0;Amps;
"Torque Constant (Kt)";-INF;Nm/A;
"Motor Constant (Km)";-INF;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1316;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.13;Vs/Rad;
"Electrical Constant";0;msec;
"Mechanical Constant";0;msec;
"Electrical Loading";0;Amps/m;
"Stall Current";0;Amps;
"Stall Torque";0;Nm;
"Short Circuit Line Current (peak)";23.57;Amps;
"Short Circuit Current Density (peak)";83.36;Amps/mm©÷;
"Short Circuit Current Density (rms)";58.95;Amps/mm©÷;
"Short Circuit Braking Torque";-2.664;Nm;
"Short Circuit Max Braking Torque";0;Nm;
"Short Circuit Max Braking Torque Speed";0;rpm;
"Fundamental Frequency";233.3;Hz;
"Shaft Speed";1000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";0;Nm;
"Average torque (virtual work)";-7.1305E-005;Nm;
"Average torque (loop torque)";0;Nm;
"Torque Ripple (MsVw)";0.0038769;Nm;
"Torque Ripple (MsVw) [%]";-28.706;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";0;rpm;
"No load speed";0;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";-1.4143;Watts;
"Input Power";-6.4085;Watts;
"Total Losses (on load)";4.9997;Watts;
"Output Power_Operating point outside voltage limit.";-1.4088;Watts;
"Converter Efficiency";64.677;%;
"Motor Efficiency";21.983;%;
"System Efficiency";14.218;%;
"Shaft Torque";-0.061197;Nm;
"Power Factor [Waveform] (leading)";-0.70601;;
"Power Factor Angle [Waveform]";134.91;EDeg;
"Power Factor [THD]";-0.70561;;
"Power Factor [Phasor] (leading)";1;;
"Power Factor Angle [Phasor]";0;EDeg;
"Load Angle [Phasor]";0;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";5.5626;Volts;
"Rotor Inertia";4.2069E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";4.2069E-005;kg.m©÷;
"Torque per rotor volume";-1.8078;kNm/m©ø;
"Rotor peripheral velocity (on load)";3.2201;m/s;
"Flux Linkage D (Open circuit)";5.37264;mVs;
"Flux Linkage Q (Open circuit)";-0.00836549;mVs;
"Flux Linkage D (Q axis current)";5.3827;mVs;
"Flux Linkage Q (Q axis current)";-7.06624E-005;mVs;
"Flux linkage D (On load)";5.37264;mVs;
"Flux linkage Q (On load)";-0.00836549;mVs;
"Torque Constant (Kt)";-INF;Nm/A;
"Motor Constant (Km)";-INF;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.131642;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.130042;Vs/Rad;
"Stall Current";0;Amps;
"Stall Torque";0;Nm;
"Cogging Period";2.14286;MDeg;
"Cogging Frequency";2800;Hz;
"Fundamental Frequency";233.333;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";2.14286;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";4;;
"Magnetic Axial Length (Slice1)";10;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";0;Nm;
"Average torque (virtual work)";-7.1305E-005;Nm;
"Average torque (loop torque)";0;Nm;
"Torque Ripple (MsVw)";0.0038769;Nm;
"Torque Ripple (MsVw) [%]";-28.706;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";0;rpm;
"No load speed";0;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";-1.4143;Watts;
"Input Power";-6.4085;Watts;
"Total Losses (on load)";4.9997;Watts;
"Output Power_Operating point outside voltage limit.";-1.4088;Watts;
"Converter Efficiency";64.677;%;
"Motor Efficiency";21.983;%;
"System Efficiency";14.218;%;
"Shaft Torque";-0.061197;Nm;
"Power Factor [Waveform] (leading)";-0.70601;;
"Power Factor Angle [Waveform]";134.91;EDeg;
