Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";48.19;Volts;
"Line-Line Terminal Voltage (rms)";33.37;Volts;
"Phase Terminal Voltage (peak)";27.32;Volts;
"Phase Terminal Voltage (rms)";19.32;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.489;%;
"Harmonic Distortion Phase Terminal Voltage";6.601;%;
"Back EMF Line-Line Voltage (peak)";43.09;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";42.64;Volts;
"Back EMF Phase Voltage (peak)";23.72;Volts;
"Back EMF Line-Line Voltage (rms)";30.15;Volts;
"Back EMF Phase Voltage (rms)";17.42;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";1.29;%;
"Harmonic Distortion Back EMF Phase Voltage";3.702;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";4.098;Amps;
"Line Current (peak)";5.013;Amps;
"Line Current (rms)";3.545;Amps;
"Phase Current (peak)";5.013;Amps;
"Phase Current (rms)";3.545;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";4.551;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.238;mH;
"Q Axis Inductance";0.3268;mH;
"Line-Line Inductance (DQ)";0.5648;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.005752;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";3.545;Amps;
"Torque Constant (Kt)";0.1131;Nm/A;
"Motor Constant (Km)";0.1464;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1372;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1357;Vs/Rad;
"Electrical Constant";0.7098;msec;
"Mechanical Constant";1.079;msec;
"Electrical Loading";1.673E004;Amps/m;
"Stall Current";60.33;Amps;
"Stall Torque";6.822;Nm;
"Short Circuit Line Current (peak)";21.85;Amps;
"Short Circuit Current Density (peak)";67.75;Amps/mm©÷;
"Short Circuit Current Density (rms)";47.91;Amps/mm©÷;
"Short Circuit Braking Torque";-0.9072;Nm;
"Short Circuit Max Braking Torque";-1.388;Nm;
"Short Circuit Max Braking Torque Speed";1132;rpm;
"Fundamental Frequency";700;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 4.551 EDeg)";0.58511;Nm;
"Average torque (virtual work)";0.58196;Nm;
"Average torque (loop torque)";0.5788;Nm;
"Torque Ripple (MsVw)";0.013701;Nm;
"Torque Ripple (MsVw) [%]";2.4167;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3045.6;rpm;
"No load speed";3341.9;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point near voltage limit.";178.11;Watts;
"Input Power";193.22;Watts;
"Total Losses (on load)";34.799;Watts;
"Output Power_Operating point near voltage limit.";158.43;Watts;
"Converter Efficiency";98.221;%;
"Motor Efficiency";81.991;%;
"System Efficiency";80.532;%;
"Shaft Torque";0.50428;Nm;
"Power Factor [Waveform] (leading)";0.96557;;
"Power Factor Angle [Waveform]";15.078;EDeg;
"Power Factor [THD]";0.96348;;
"Power Factor [Phasor] (leading)";0.96593;;
"Power Factor Angle [Phasor]";15;EDeg;
"Load Angle [Phasor]";15.141;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";19.507;Volts;
"Rotor Inertia";4.2069E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";4.2069E-005;kg.m©÷;
"Torque per rotor volume";75.888;kNm/m©ø;
"Rotor peripheral velocity (on load)";9.6604;m/s;
"Flux Linkage D (Open circuit)";5.60758;mVs;
"Flux Linkage Q (Open circuit)";-0.00870297;mVs;
"Flux Linkage D (Q axis current)";5.53982;mVs;
"Flux Linkage Q (Q axis current)";1.61385;mVs;
"Flux linkage D (On load)";5.53811;mVs;
"Flux linkage Q (On load)";1.62012;mVs;
"Torque Constant (Kt)";0.113084;Nm/A;
"Motor Constant (Km)";0.146393;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.137157;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.135727;Vs/Rad;
"Stall Current";60.3311;Amps;
"Stall Torque";6.82249;Nm;
"Cogging Period";2.14286;MDeg;
"Cogging Frequency";8400;Hz;
"Fundamental Frequency";700;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";2.14286;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";4;;
"Magnetic Axial Length (Slice1)";10;mm;

Phasor Diagram
