Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";42.57;Volts;
"Line-Line Terminal Voltage (rms)";29.96;Volts;
"Phase Terminal Voltage (peak)";23.14;Volts;
"Phase Terminal Voltage (rms)";17.33;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.4333;%;
"Harmonic Distortion Phase Terminal Voltage";5.794;%;
"Back EMF Line-Line Voltage (peak)";41.71;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";41.59;Volts;
"Back EMF Phase Voltage (peak)";22.61;Volts;
"Back EMF Line-Line Voltage (rms)";29.41;Volts;
"Back EMF Phase Voltage (rms)";17.01;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.3723;%;
"Harmonic Distortion Back EMF Phase Voltage";5.815;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";0.7096;Amps;
"Line Current (peak)";0.9502;Amps;
"Line Current (rms)";0.6719;Amps;
"Phase Current (peak)";0.9502;Amps;
"Phase Current (rms)";0.6719;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";0.6483;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2779;mH;
"Q Axis Inductance";0.343;mH;
"Line-Line Inductance (DQ)";0.6209;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.00832;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";0.6719;Amps;
"Torque Constant (Kt)";0.1003;Nm/A;
"Motor Constant (Km)";0.1234;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1328;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1324;Vs/Rad;
"Electrical Constant";0.7057;msec;
"Mechanical Constant";1.39;msec;
"Electrical Loading";3005;Amps/m;
"Stall Current";54.56;Amps;
"Stall Torque";5.47;Nm;
"Short Circuit Line Current (peak)";18.56;Amps;
"Short Circuit Current Density (peak)";65.64;Amps/mm©÷;
"Short Circuit Current Density (rms)";46.41;Amps/mm©÷;
"Short Circuit Braking Torque";-0.7234;Nm;
"Short Circuit Max Braking Torque";-1.143;Nm;
"Short Circuit Max Braking Torque Speed";1077;rpm;
"Fundamental Frequency";700;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.6483 EDeg)";0.10917;Nm;
"Average torque (virtual work)";0.10883;Nm;
"Average torque (loop torque)";0.1083;Nm;
"Torque Ripple (MsVw)";0.0059866;Nm;
"Torque Ripple (MsVw) [%]";6.284;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3397.3;rpm;
"No load speed";3452.7;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";29.929;Watts;
"Input Power";30.56;Watts;
"Total Losses (on load)";19.411;Watts;
"Output Power";11.149;Watts;
"Converter Efficiency";89.724;%;
"Motor Efficiency";36.483;%;
"System Efficiency";32.734;%;
"Shaft Torque";0.035489;Nm;
"Power Factor [Waveform] (leading)";0.99833;;
"Power Factor Angle [Waveform]";3.3124;EDeg;
"Power Factor [THD]";0.99666;;
"Power Factor [Phasor] (leading)";0.99863;;
"Power Factor Angle [Phasor]";3;EDeg;
"Load Angle [Phasor]";3.3534;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";17.331;Volts;
"Rotor Inertia";4.2069E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";4.2069E-005;kg.m©÷;
"Torque per rotor volume";12.752;kNm/m©ø;
"Rotor peripheral velocity (on load)";9.6604;m/s;
"Flux Linkage D (Open circuit)";5.46892;mVs;
"Flux Linkage Q (Open circuit)";-0.00454894;mVs;
"Flux Linkage D (Q axis current)";5.47058;mVs;
"Flux Linkage Q (Q axis current)";0.325403;mVs;
"Flux linkage D (On load)";5.46723;mVs;
"Flux linkage Q (On load)";0.323205;mVs;
"Torque Constant (Kt)";0.100259;Nm/A;
"Motor Constant (Km)";0.123422;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.132754;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.132371;Vs/Rad;
"Stall Current";54.5558;Amps;
"Stall Torque";5.4697;Nm;
"Cogging Period";2.14286;MDeg;
"Cogging Frequency";8400;Hz;
"Fundamental Frequency";700;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";2.14286;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";4;;
"Magnetic Axial Length (Slice1)";10;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0.6483 EDeg)";0.10917;Nm;
