Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";29.29;Volts;
"Line-Line Terminal Voltage (rms)";20.78;Volts;
"Phase Terminal Voltage (peak)";16.92;Volts;
"Phase Terminal Voltage (rms)";12;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.7488;%;
"Harmonic Distortion Phase Terminal Voltage";2.485;%;
"Back EMF Line-Line Voltage (peak)";28.07;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";28.2;Volts;
"Back EMF Phase Voltage (peak)";16.16;Volts;
"Back EMF Line-Line Voltage (rms)";19.94;Volts;
"Back EMF Phase Voltage (rms)";11.51;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.7692;%;
"Harmonic Distortion Back EMF Phase Voltage";0.7727;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";4.896;Amps;
"Line Current (peak)";8.895;Amps;
"Line Current (rms)";6.29;Amps;
"Phase Current (peak)";8.895;Amps;
"Phase Current (rms)";6.29;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";1.159;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1526;mH;
"Q Axis Inductance";0.1808;mH;
"Line-Line Inductance (DQ)";0.3334;mH;
"Self Inductance";0.3495;mH;
"Mutual Inductance";-0.03765;mH;
"Line-Line Inductance";0.7743;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008563;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";6.29;Amps;
"Torque Constant (Kt)";0.09264;Nm/A;
"Motor Constant (Km)";0.2901;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1072;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1077;Vs/Rad;
"Electrical Constant";2.452;msec;
"Mechanical Constant";0.7349;msec;
"Electrical Loading";1.501E004;Amps/m;
"Stall Current";353;Amps;
"Stall Torque";32.71;Nm;
"Short Circuit Line Current (peak)";77.07;Amps;
"Short Circuit Current Density (peak)";46.61;Amps/mm©÷;
"Short Circuit Current Density (rms)";32.96;Amps/mm©÷;
"Short Circuit Braking Torque";-2.314;Nm;
"Short Circuit Max Braking Torque";-3.811;Nm;
"Short Circuit Max Braking Torque Speed";849.8;rpm;
"Fundamental Frequency";208.3;Hz;
"Shaft Speed";2500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 1.159 EDeg)";0.82806;Nm;
"Average torque (virtual work)";0.82624;Nm;
"Average torque (loop torque)";0.82304;Nm;
"Torque Ripple (MsVw)";0.011037;Nm;
"Torque Ripple (MsVw) [%]";1.3393;%;
"Cogging Torque Ripple (Vw)";0.0073725;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";4138.2;rpm;
"No load speed";4275.7;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";215.74;Watts;
"Input Power";224.45;Watts;
"Total Losses (on load)";49.264;Watts;
"Output Power";175.18;Watts;
"Converter Efficiency";95.515;%;
"Motor Efficiency";78.051;%;
"System Efficiency";74.55;%;
"Shaft Torque";0.66915;Nm;
"Power Factor [Waveform] (lagging)";0.99247;;
"Power Factor Angle [Waveform]";7.0342;EDeg;
"Power Factor [THD]";0.99217;;
"Power Factor [Phasor] (lagging)";0.99255;;
"Power Factor Angle [Phasor]";7;EDeg;
"Load Angle [Phasor]";7.1078;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";12.034;Volts;
"Rotor Inertia";0.00010736;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";0.00011337;kg.m©÷;
"Torque per rotor volume";11.859;kNm/m©ø;
"Rotor peripheral velocity (on load)";6.1562;m/s;
"Flux Linkage D (Q axis current)";12.4092;mVs;
"Flux Linkage Q (Q axis current)";1.59595;mVs;
"Flux linkage D (On load)";12.4272;mVs;
"Flux linkage Q (On load)";1.59019;mVs;
"Torque Constant (Kt)";0.0926392;Nm/A;
"Motor Constant (Km)";0.290105;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.107203;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.10772;Vs/Rad;
"Stall Current";353.041;Amps;
"Stall Torque";32.7054;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2500;Hz;
"Fundamental Frequency";208.333;Hz;
"Mechanical Frequency";41.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
