Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";27.71;Volts;
"Line-Line Terminal Voltage (rms)";19.68;Volts;
"Phase Terminal Voltage (peak)";16.03;Volts;
"Phase Terminal Voltage (rms)";11.36;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.3645;%;
"Harmonic Distortion Phase Terminal Voltage";1.164;%;
"Back EMF Line-Line Voltage (peak)";25.12;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";25.16;Volts;
"Back EMF Phase Voltage (peak)";14.59;Volts;
"Back EMF Line-Line Voltage (rms)";17.79;Volts;
"Back EMF Phase Voltage (rms)";10.27;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.1441;%;
"Harmonic Distortion Back EMF Phase Voltage";0.588;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";5.513;Amps;
"Line Current (peak)";10.76;Amps;
"Line Current (rms)";7.61;Amps;
"Phase Current (peak)";10.76;Amps;
"Phase Current (rms)";7.61;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.4386;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2881;mH;
"Q Axis Inductance";0.2979;mH;
"Line-Line Inductance (DQ)";0.586;mH;
"Self Inductance";0.3053;mH;
"Mutual Inductance";-0.03077;mH;
"Line-Line Inductance";0.6721;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.0107;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";7.61;Amps;
"Torque Constant (Kt)";0.1034;Nm/A;
"Motor Constant (Km)";0.2428;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.12;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1201;Vs/Rad;
"Electrical Constant";2.426;msec;
"Mechanical Constant";1.158;msec;
"Electrical Loading";1.758E004;Amps/m;
"Stall Current";198.7;Amps;
"Stall Torque";20.54;Nm;
"Short Circuit Line Current (peak)";44.46;Amps;
"Short Circuit Current Density (peak)";46.78;Amps/mm©÷;
"Short Circuit Current Density (rms)";33.08;Amps/mm©÷;
"Short Circuit Braking Torque";-1.71;Nm;
"Short Circuit Max Braking Torque";-2.478;Nm;
"Short Circuit Max Braking Torque Speed";800.5;rpm;
"Fundamental Frequency";166.7;Hz;
"Shaft Speed";2000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.4386 EDeg)";1.1136;Nm;
"Average torque (virtual work)";1.1134;Nm;
"Average torque (loop torque)";1.1061;Nm;
"Torque Ripple (MsVw)";0.028433;Nm;
"Torque Ripple (MsVw) [%]";2.5563;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3566;rpm;
"No load speed";3820.9;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";232.96;Watts;
"Input Power";254.06;Watts;
"Total Losses (on load)";49.361;Watts;
"Output Power";204.7;Watts;
"Converter Efficiency";96.017;%;
"Motor Efficiency";80.571;%;
"System Efficiency";77.362;%;
"Shaft Torque";0.97738;Nm;
"Power Factor [Waveform] (lagging)";0.97847;;
"Power Factor Angle [Waveform]";11.909;EDeg;
"Power Factor [THD]";0.97841;;
"Power Factor [Phasor] (lagging)";0.97815;;
"Power Factor Angle [Phasor]";12;EDeg;
"Load Angle [Phasor]";11.979;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";11.439;Volts;
"Rotor Inertia";0.00011889;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";0.00012489;kg.m©÷;
"Torque per rotor volume";15.367;kNm/m©ø;
"Rotor peripheral velocity (on load)";5.0265;m/s;
"Flux Linkage D (Q axis current)";13.7958;mVs;
"Flux Linkage Q (Q axis current)";3.16755;mVs;
"Flux linkage D (On load)";13.8041;mVs;
"Flux linkage Q (On load)";3.17217;mVs;
"Torque Constant (Kt)";0.103351;Nm/A;
"Motor Constant (Km)";0.24283;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.119962;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.120119;Vs/Rad;
"Stall Current";198.735;Amps;
"Stall Torque";20.5396;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2000;Hz;
"Fundamental Frequency";166.667;Hz;
"Mechanical Frequency";33.3333;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
"Magnetic Axial Length (Slice3)";5.53;mm;
