Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";34.87;Volts;
"Line-Line Terminal Voltage (rms)";24.86;Volts;
"Phase Terminal Voltage (peak)";20.33;Volts;
"Phase Terminal Voltage (rms)";14.36;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.7008;%;
"Harmonic Distortion Phase Terminal Voltage";2.326;%;
"Back EMF Line-Line Voltage (peak)";32.81;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";33.09;Volts;
"Back EMF Phase Voltage (peak)";19.08;Volts;
"Back EMF Line-Line Voltage (rms)";23.4;Volts;
"Back EMF Phase Voltage (rms)";13.51;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.7401;%;
"Harmonic Distortion Back EMF Phase Voltage";0.8275;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";5.805;Amps;
"Line Current (peak)";8.895;Amps;
"Line Current (rms)";6.29;Amps;
"Phase Current (peak)";8.895;Amps;
"Phase Current (rms)";6.29;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";1.064;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2281;mH;
"Q Axis Inductance";0.2585;mH;
"Line-Line Inductance (DQ)";0.4865;mH;
"Self Inductance";0.3146;mH;
"Mutual Inductance";-0.03092;mH;
"Line-Line Inductance";0.691;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.01061;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";6.29;Amps;
"Torque Constant (Kt)";0.1087;Nm/A;
"Motor Constant (Km)";0.2558;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1253;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1264;Vs/Rad;
"Electrical Constant";2.018;msec;
"Mechanical Constant";1.118;msec;
"Electrical Loading";1.453E004;Amps/m;
"Stall Current";199.1;Amps;
"Stall Torque";21.66;Nm;
"Short Circuit Line Current (peak)";59.21;Amps;
"Short Circuit Current Density (peak)";62.3;Amps/mm©÷;
"Short Circuit Current Density (rms)";44.05;Amps/mm©÷;
"Short Circuit Braking Torque";-2.421;Nm;
"Short Circuit Max Braking Torque";-3.494;Nm;
"Short Circuit Max Braking Torque Speed";1009;rpm;
"Fundamental Frequency";208.3;Hz;
"Shaft Speed";2500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 1.064 EDeg)";0.97082;Nm;
"Average torque (virtual work)";0.96863;Nm;
"Average torque (loop torque)";0.96381;Nm;
"Torque Ripple (MsVw)";0.038988;Nm;
"Torque Ripple (MsVw) [%]";4.0304;%;
"Cogging Torque Ripple (Vw)";0.052317;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3455.9;rpm;
"No load speed";3657.7;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";253.25;Watts;
"Input Power";268.11;Watts;
"Total Losses (on load)";56.186;Watts;
"Output Power";211.92;Watts;
"Converter Efficiency";96.217;%;
"Motor Efficiency";79.044;%;
"System Efficiency";76.054;%;
"Shaft Torque";0.80949;Nm;
"Power Factor [Waveform] (lagging)";0.98932;;
"Power Factor Angle [Waveform]";8.3807;EDeg;
"Power Factor [THD]";0.98905;;
"Power Factor [Phasor] (lagging)";0.99027;;
"Power Factor Angle [Phasor]";8;EDeg;
"Load Angle [Phasor]";8.4832;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";14.426;Volts;
"Rotor Inertia";0.00012638;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";0.00013239;kg.m©÷;
"Torque per rotor volume";13.036;kNm/m©ø;
"Rotor peripheral velocity (on load)";6.3617;m/s;
"Flux Linkage D (Q axis current)";14.5491;mVs;
"Flux Linkage Q (Q axis current)";2.27217;mVs;
"Flux linkage D (On load)";14.5527;mVs;
"Flux linkage Q (On load)";2.26416;mVs;
"Torque Constant (Kt)";0.108747;Nm/A;
"Motor Constant (Km)";0.255766;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.125317;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.126397;Vs/Rad;
"Stall Current";199.139;Amps;
"Stall Torque";21.6557;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2500;Hz;
"Fundamental Frequency";208.333;Hz;
"Mechanical Frequency";41.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
