Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";29.94;Volts;
"Line-Line Terminal Voltage (rms)";20.75;Volts;
"Phase Terminal Voltage (peak)";17.21;Volts;
"Phase Terminal Voltage (rms)";11.98;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";5.639;%;
"Harmonic Distortion Phase Terminal Voltage";5.64;%;
"Back EMF Line-Line Voltage (peak)";26.51;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";26.93;Volts;
"Back EMF Phase Voltage (peak)";15.4;Volts;
"Back EMF Line-Line Voltage (rms)";19.07;Volts;
"Back EMF Phase Voltage (rms)";11.01;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";5.634;%;
"Harmonic Distortion Back EMF Phase Voltage";5.634;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";9.417;Amps;
"Line Current (peak)";18.29;Amps;
"Line Current (rms)";12.93;Amps;
"Phase Current (peak)";18.29;Amps;
"Phase Current (rms)";12.93;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";30;EDeg;
"Drive Offset Angle (On load)";30;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";330;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2007;mH;
"Q Axis Inductance";0.1965;mH;
"Line-Line Inductance (DQ)";0.3971;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.003938;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";12.93;Amps;
"Torque Constant (Kt)";0.07429;Nm/A;
"Motor Constant (Km)";0.271;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.08437;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.08573;Vs/Rad;
"Electrical Constant";3.963;msec;
"Mechanical Constant";0.3796;msec;
"Electrical Loading";2.655E004;Amps/m;
"Stall Current";479;Amps;
"Stall Torque";35.59;Nm;
"Short Circuit Line Current (peak)";61.07;Amps;
"Short Circuit Current Density (peak)";37.5;Amps/mm©÷;
"Short Circuit Current Density (rms)";26.51;Amps/mm©÷;
"Short Circuit Braking Torque";-0.8921;Nm;
"Short Circuit Max Braking Torque";-2.334;Nm;
"Short Circuit Max Braking Torque Speed";596;rpm;
"Fundamental Frequency";200;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";1.3708;Nm;
"Average torque (virtual work)";1.3488;Nm;
"Average torque (loop torque)";1.3386;Nm;
"Torque Ripple (MsVw)";0.02635;Nm;
"Torque Ripple (MsVw) [%]";1.9397;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";4927.1;rpm;
"No load speed";5432.7;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";426.78;Watts;
"Input Power";452.02;Watts;
"Total Losses (on load)";50.679;Watts;
"Output Power";401.34;Watts;
"System Efficiency";88.788;%;
"Shaft Torque";1.2775;Nm;
"Power Factor [Waveform] (lagging)";0.96519;;
"Power Factor Angle [Waveform]";15.161;EDeg;
"Power Factor [THD]";0.96366;;
"Power Factor [Phasor] (lagging)";0.96593;;
"Power Factor Angle [Phasor]";15;EDeg;
"Load Angle [Phasor]";15.311;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";12.089;Volts;
"Rotor Inertia";4.7497E-005;kg.m©÷;
"Shaft Inertia";1.2538E-005;kg.m©÷;
"Total Inertia";6.0035E-005;kg.m©÷;
"Torque per rotor volume";34.888;kNm/m©ø;
"Rotor peripheral velocity (on load)";6.1732;m/s;
"Flux Linkage D (Q axis current)";12.4942;mVs;
"Flux Linkage Q (Q axis current)";3.5594;mVs;
"Flux linkage D (On load)";12.2901;mVs;
"Flux linkage Q (On load)";3.52708;mVs;
"Torque Constant (Kt)";0.0742925;Nm/A;
"Motor Constant (Km)";0.271006;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.0843711;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.0857287;Vs/Rad;
"Stall Current";479.038;Amps;
"Stall Torque";35.5889;Nm;
"Cogging Period";15;MDeg;
"Cogging Frequency";1200;Hz;
"Fundamental Frequency";200;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";15;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";4;;
"Magnetic Axial Length (Slice1)";10.2667;mm;
"Magnetic Axial Length (Slice2)";10.2667;mm;
"Magnetic Axial Length (Slice3)";10.2667;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";1.3708;Nm;
"Average torque (virtual work)";1.3488;Nm;
"Average torque (loop torque)";1.3386;Nm;
