Drive
"DC Bus Voltage";24;Volts;
"Line-Line Supply Voltage (rms)";16.97;Volts;
"Phase Supply Voltage (rms)";9.798;Volts;
"Line-Line Terminal Voltage (peak)";18.87;Volts;
"Line-Line Terminal Voltage (rms)";13.34;Volts;
"Phase Terminal Voltage (peak)";10.64;Volts;
"Phase Terminal Voltage (rms)";7.711;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.5483;%;
"Harmonic Distortion Phase Terminal Voltage";2.47;%;
"Back EMF Line-Line Voltage (peak)";11.65;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";11.66;Volts;
"Back EMF Phase Voltage (peak)";6.528;Volts;
"Back EMF Line-Line Voltage (rms)";8.243;Volts;
"Back EMF Phase Voltage (rms)";4.761;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.5605;%;
"Harmonic Distortion Back EMF Phase Voltage";2.859;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";1.745;Amps;
"Line Current (peak)";2.63;Amps;
"Line Current (rms)";1.86;Amps;
"Phase Current (peak)";2.63;Amps;
"Phase Current (rms)";1.86;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";1.95;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.4037;mH;
"Q Axis Inductance";0.4703;mH;
"Line-Line Inductance (DQ)";0.874;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.01305;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";1.86;Amps;
"Torque Constant (Kt)";0.1047;Nm/A;
"Motor Constant (Km)";0.0683;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1253;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1254;Vs/Rad;
"Electrical Constant";0.2788;msec;
"Mechanical Constant";0.8235;msec;
"Electrical Loading";1.964E004;Amps/m;
"Stall Current";7.655;Amps;
"Stall Torque";0.8018;Nm;
"Short Circuit Line Current (peak)";4.053;Amps;
"Short Circuit Current Density (peak)";42.13;Amps/mm©÷;
