Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";28.82;Volts;
"Line-Line Terminal Voltage (rms)";20.36;Volts;
"Phase Terminal Voltage (peak)";16.79;Volts;
"Phase Terminal Voltage (rms)";11.79;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.775;%;
"Harmonic Distortion Phase Terminal Voltage";7.149;%;
"Back EMF Line-Line Voltage (peak)";24.55;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";24.68;Volts;
"Back EMF Phase Voltage (peak)";14.17;Volts;
"Back EMF Line-Line Voltage (rms)";17.45;Volts;
"Back EMF Phase Voltage (rms)";10.08;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.4431;%;
"Harmonic Distortion Back EMF Phase Voltage";0.5696;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";12.2;Amps;
"Line Current (peak)";24.83;Amps;
"Line Current (rms)";17.56;Amps;
"Phase Current (peak)";24.83;Amps;
"Phase Current (rms)";17.56;Amps;
"Phase Advance";2.692;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.9756;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2579;mH;
"Q Axis Inductance";0.2669;mH;
"Line-Line Inductance (DQ)";0.5248;mH;
"Self Inductance";0.3751;mH;
"Mutual Inductance";-0.04259;mH;
"Line-Line Inductance";0.8354;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008089;mH;
"D Axis Phase Current (average rms)";-0.8247;Amps;
"Q Axis Phase Current (average rms)";17.54;Amps;
"Torque Constant (Kt)";0.09763;Nm/A;
"Motor Constant (Km)";0.2967;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1172;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1178;Vs/Rad;
"Electrical Constant";3.636;msec;
"Mechanical Constant";0.5648;msec;
"Electrical Loading";4.337E004;Amps/m;
"Stall Current";332.5;Amps;
"Stall Torque";32.46;Nm;
"Short Circuit Line Current (peak)";48.93;Amps;
"Short Circuit Current Density (peak)";31.79;Amps/mm©÷;
"Short Circuit Current Density (rms)";22.48;Amps/mm©÷;
"Short Circuit Braking Torque";-1.238;Nm;
"Short Circuit Max Braking Torque";-2.482;Nm;
"Short Circuit Max Braking Torque Speed";534.4;rpm;
"Fundamental Frequency";166.7;Hz;
"Shaft Speed";2000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.9756 EDeg)";2.4335;Nm;
"Average torque (virtual work)";2.4303;Nm;
"Average torque (loop torque)";2.4162;Nm;
"Torque Ripple (MsVw)";0.031761;Nm;
"Torque Ripple (MsVw) [%]";1.31;%;
"Cogging Torque Ripple (Vw)";0.018323;Nm;
"Speed limit for constant torque_(For Phase Advance of 2.692 EDeg)";3463.6;rpm;
"No load speed";3909.6;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";507.79;Watts;
"Input Power";574.9;Watts;
"Total Losses (on load)";96.091;Watts;
"Output Power";478.81;Watts;
"Converter Efficiency";98.2;%;
"Motor Efficiency";83.286;%;
"System Efficiency";81.786;%;
"Shaft Torque";2.2861;Nm;
"Power Factor [Waveform] (lagging)";0.92889;;
"Power Factor Angle [Waveform]";21.737;EDeg;
"Power Factor [THD]";0.92653;;
"Power Factor [Phasor] (lagging)";0.93358;;
"Power Factor Angle [Phasor]";21;EDeg;
"Load Angle [Phasor]";24.051;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";12.175;Volts;
"Rotor Inertia";8.9572E-005;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";9.5579E-005;kg.m©÷;
"Torque per rotor volume";37.443;kNm/m©ø;
"Rotor peripheral velocity (on load)";4.7543;m/s;
"Flux Linkage D (Q axis current)";13.0636;mVs;
"Flux Linkage Q (Q axis current)";6.44852;mVs;
"Flux linkage D (On load)";12.7772;mVs;
"Flux linkage Q (On load)";6.49746;mVs;
"Torque Constant (Kt)";0.0976311;Nm/A;
"Motor Constant (Km)";0.296718;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.11724;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.117831;Vs/Rad;
"Stall Current";332.517;Amps;
"Stall Torque";32.464;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2000;Hz;
"Fundamental Frequency";166.667;Hz;
"Mechanical Frequency";33.3333;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
