Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";14.01;Volts;
"Line-Line Terminal Voltage (rms)";9.931;Volts;
"Phase Terminal Voltage (peak)";8.313;Volts;
"Phase Terminal Voltage (rms)";5.735;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.5438;%;
"Harmonic Distortion Phase Terminal Voltage";2.558;%;
"Back EMF Line-Line Voltage (peak)";11.89;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";11.86;Volts;
"Back EMF Phase Voltage (peak)";7.047;Volts;
"Back EMF Line-Line Voltage (rms)";8.389;Volts;
"Back EMF Phase Voltage (rms)";4.846;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.571;%;
"Harmonic Distortion Back EMF Phase Voltage";3.459;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";2.31;Amps;
"Line Current (peak)";8.485;Amps;
"Line Current (rms)";6;Amps;
"Phase Current (peak)";8.485;Amps;
"Phase Current (rms)";6;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.1953;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2491;mH;
"Q Axis Inductance";0.2543;mH;
"Line-Line Inductance (DQ)";0.5034;mH;
"Self Inductance";0.2418;mH;
"Mutual Inductance";-0.02055;mH;
"Line-Line Inductance";0.5247;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.01054;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";6;Amps;
"Torque Constant (Kt)";0.09851;Nm/A;
"Motor Constant (Km)";0.2138;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1136;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1133;Vs/Rad;
"Electrical Constant";1.779;msec;
"Mechanical Constant";1.353;msec;
"Electrical Loading";1.386E004;Amps/m;
"Stall Current";169.6;Amps;
"Stall Torque";16.71;Nm;
"Short Circuit Line Current (peak)";35.59;Amps;
"Short Circuit Current Density (peak)";37.45;Amps/mm©÷;
"Short Circuit Current Density (rms)";26.48;Amps/mm©÷;
"Short Circuit Braking Torque";-2.567;Nm;
"Short Circuit Max Braking Torque";-2.576;Nm;
"Short Circuit Max Braking Torque Speed";1085;rpm;
"Fundamental Frequency";83.33;Hz;
"Shaft Speed";1000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.1953 EDeg)";0.83232;Nm;
"Average torque (virtual work)";0.83218;Nm;
"Average torque (loop torque)";0.82646;Nm;
"Torque Ripple (MsVw)";0.010291;Nm;
"Torque Ripple (MsVw) [%]";1.2312;%;
"Cogging Torque Ripple (Vw)";0.00065171;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3822.2;rpm;
"No load speed";4035.6;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";87.534;Watts;
"Input Power";102.86;Watts;
"Total Losses (on load)";20.132;Watts;
"Output Power";82.724;Watts;
"Converter Efficiency";92.783;%;
"Motor Efficiency";80.427;%;
"System Efficiency";74.623;%;
"Shaft Torque";0.78996;Nm;
"Power Factor [Waveform] (lagging)";0.99048;;
"Power Factor Angle [Waveform]";7.9122;EDeg;
"Power Factor [THD]";0.99016;;
"Power Factor [Phasor] (lagging)";0.99027;;
"Power Factor Angle [Phasor]";8;EDeg;
"Load Angle [Phasor]";7.9859;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";5.7507;Volts;
"Rotor Inertia";0.00010703;kg.m©÷;
"Shaft Inertia";3.479E-006;kg.m©÷;
"Total Inertia";0.00011051;kg.m©÷;
"Torque per rotor volume";16.706;kNm/m©ø;
"Rotor peripheral velocity (on load)";2.5133;m/s;
"Flux Linkage D (Q axis current)";13.0786;mVs;
"Flux Linkage Q (Q axis current)";2.14402;mVs;
"Flux linkage D (On load)";13.0819;mVs;
"Flux linkage Q (On load)";2.13558;mVs;
"Torque Constant (Kt)";0.0985108;Nm/A;
"Motor Constant (Km)";0.213846;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.113581;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.113286;Vs/Rad;
"Stall Current";169.643;Amps;
"Stall Torque";16.7117;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";1000;Hz;
"Fundamental Frequency";83.3333;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";9.21667;mm;
"Magnetic Axial Length (Slice2)";9.21667;mm;
