Drive
"DC Bus Voltage";24;Volts;
"Line-Line Supply Voltage (rms)";16.97;Volts;
"Phase Supply Voltage (rms)";9.798;Volts;
"Line-Line Terminal Voltage (peak)";20.44;Volts;
"Line-Line Terminal Voltage (rms)";14.24;Volts;
"Phase Terminal Voltage (peak)";10.69;Volts;
"Phase Terminal Voltage (rms)";8.371;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";5.375;%;
"Harmonic Distortion Phase Terminal Voltage";20.09;%;
"Back EMF Line-Line Voltage (peak)";17.98;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";17.98;Volts;
"Back EMF Phase Voltage (peak)";9.888;Volts;
"Back EMF Line-Line Voltage (rms)";12.72;Volts;
"Back EMF Phase Voltage (rms)";7.348;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.5822;%;
"Harmonic Distortion Back EMF Phase Voltage";4.12;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";21.72;Amps;
"Line Current (peak)";32.53;Amps;
"Line Current (rms)";23;Amps;
"Phase Current (peak)";32.53;Amps;
"Phase Current (rms)";23;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";90;EDeg;
"Drive Offset Angle (On load)";90;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";10;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1519;mH;
"Q Axis Inductance";0.1144;mH;
"Line-Line Inductance (DQ)";0.2663;mH;
"Self Inductance";0.1684;mH;
"Mutual Inductance";-0.01646;mH;
"Line-Line Inductance";0.3697;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.003255;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";23;Amps;
"Torque Constant (Kt)";0.04692;Nm/A;
"Motor Constant (Km)";0.2369;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.05722;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.05724;Vs/Rad;
"Electrical Constant";5.093;msec;
"Mechanical Constant";0.5819;msec;
"Electrical Loading";2.739E004;Amps/m;
"Stall Current";459;Amps;
"Stall Torque";21.54;Nm;
"Short Circuit Line Current (peak)";51.62;Amps;
