Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";18.57;Volts;
"Line-Line Terminal Voltage (rms)";13.1;Volts;
"Phase Terminal Voltage (peak)";10.78;Volts;
"Phase Terminal Voltage (rms)";7.563;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.4096;%;
"Harmonic Distortion Phase Terminal Voltage";0.7526;%;
"Back EMF Line-Line Voltage (peak)";18.57;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";18.52;Volts;
"Back EMF Phase Voltage (peak)";10.78;Volts;
"Back EMF Line-Line Voltage (rms)";13.1;Volts;
"Back EMF Phase Voltage (rms)";7.563;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.4096;%;
"Harmonic Distortion Back EMF Phase Voltage";0.7526;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";0.2204;Amps;
"Line Current (peak)";0;Amps;
"Line Current (rms)";0;Amps;
"Phase Current (peak)";0;Amps;
"Phase Current (rms)";0;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0;mH;
"Q Axis Inductance";0;mH;
"Line-Line Inductance (DQ)";0;mH;
"Self Inductance";0.2354;mH;
"Mutual Inductance";-0.02212;mH;
"Line-Line Inductance";0.5149;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.01232;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";0;Amps;
"Torque Constant (Kt)";-INF;Nm/A;
"Motor Constant (Km)";-INF;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1774;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1769;Vs/Rad;
"Electrical Constant";0;msec;
"Mechanical Constant";0;msec;
"Electrical Loading";0;Amps/m;
"Stall Current";364.7;Amps;
"Stall Torque";-INF;Nm;
"Short Circuit Line Current (peak)";162.8;Amps;
"Short Circuit Current Density (peak)";92.14;Amps/mm©÷;
"Short Circuit Current Density (rms)";65.15;Amps/mm©÷;
"Short Circuit Braking Torque";-24.99;Nm;
"Short Circuit Max Braking Torque";0;Nm;
"Short Circuit Max Braking Torque Speed";0;rpm;
"Fundamental Frequency";83.33;Hz;
"Shaft Speed";1000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";0;Nm;
"Average torque (virtual work)";-0.0012003;Nm;
"Average torque (loop torque)";0;Nm;
"Torque Ripple (MsVw)";0.10296;Nm;
"Torque Ripple (MsVw) [%]";-9303.9;%;
"Cogging Torque Ripple (Vw)";0.11249;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";2586.4;rpm;
"No load speed";2584.2;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";-0.11588;Watts;
"Input Power";-17.078;Watts;
"Total Losses (on load)";17.118;Watts;
"Output Power";0.040518;Watts;
"Converter Efficiency";61.836;%;
"Motor Efficiency";0.23726;%;
"System Efficiency";0.14671;%;
"Shaft Torque";-0.16308;Nm;
"Power Factor [Waveform] (leading)";-0.96554;;
"Power Factor Angle [Waveform]";-164.92;EDeg;
"Power Factor [THD]";-0.96551;;
"Power Factor [Phasor] (leading)";1;;
"Power Factor Angle [Phasor]";0;EDeg;
"Load Angle [Phasor]";0;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";7.5628;Volts;
"Rotor Inertia";0.00058208;kg.m©÷;
"Shaft Inertia";2.3205E-005;kg.m©÷;
"Total Inertia";0.00060529;kg.m©÷;
"Torque per rotor volume";-0.0071668;kNm/m©ø;
"Rotor peripheral velocity (on load)";3.7176;m/s;
"Flux Linkage D (Q axis current)";20.464;mVs;
"Flux Linkage Q (Q axis current)";0.0286035;mVs;
"Flux linkage D (On load)";20.4636;mVs;
"Flux linkage Q (On load)";0.0302392;mVs;
"Torque Constant (Kt)";-INF;Nm/A;
"Motor Constant (Km)";-INF;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.177371;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.176897;Vs/Rad;
"Stall Current";364.7;Amps;
"Stall Torque";-INF;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";1000;Hz;
"Fundamental Frequency";83.3333;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.6;mm;
"Magnetic Axial Length (Slice2)";5.6;mm;
"Magnetic Axial Length (Slice3)";5.6;mm;
