Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";18.69;Volts;
"Line-Line Terminal Voltage (rms)";13.13;Volts;
"Phase Terminal Voltage (peak)";10.81;Volts;
"Phase Terminal Voltage (rms)";7.58;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.7575;%;
"Harmonic Distortion Phase Terminal Voltage";0.9688;%;
"Back EMF Line-Line Voltage (peak)";18.69;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";18.57;Volts;
"Back EMF Phase Voltage (peak)";10.81;Volts;
"Back EMF Line-Line Voltage (rms)";13.13;Volts;
"Back EMF Phase Voltage (rms)";7.58;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.7575;%;
"Harmonic Distortion Back EMF Phase Voltage";0.9688;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";0.2194;Amps;
"Line Current (peak)";0;Amps;
"Line Current (rms)";0;Amps;
"Phase Current (peak)";0;Amps;
"Phase Current (rms)";0;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0;mH;
"Q Axis Inductance";0;mH;
"Line-Line Inductance (DQ)";0;mH;
"Self Inductance";0.4006;mH;
"Mutual Inductance";-0.0495;mH;
"Line-Line Inductance";0.9002;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.01215;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";0;Amps;
"Torque Constant (Kt)";-INF;Nm/A;
"Motor Constant (Km)";-INF;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1784;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1773;Vs/Rad;
"Electrical Constant";0;msec;
"Mechanical Constant";0;msec;
"Electrical Loading";0;Amps/m;
"Stall Current";391.5;Amps;
"Stall Torque";-INF;Nm;
"Short Circuit Line Current (peak)";175.1;Amps;
"Short Circuit Current Density (peak)";92.14;Amps/mm©÷;
"Short Circuit Current Density (rms)";65.16;Amps/mm©÷;
"Short Circuit Braking Torque";-26.93;Nm;
"Short Circuit Max Braking Torque";0;Nm;
"Short Circuit Max Braking Torque Speed";0;rpm;
"Fundamental Frequency";83.33;Hz;
"Shaft Speed";1000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";0;Nm;
"Average torque (virtual work)";-0.0011261;Nm;
"Average torque (loop torque)";0;Nm;
"Torque Ripple (MsVw)";0.0116;Nm;
"Torque Ripple (MsVw) [%]";-991.74;%;
"Cogging Torque Ripple (Vw)";0.0273;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";2581.3;rpm;
"No load speed";2568.7;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";-0.12249;Watts;
"Input Power";-17.088;Watts;
"Total Losses (on load)";17.078;Watts;
"Output Power";-0.010585;Watts;
"Converter Efficiency";61.851;%;
"Motor Efficiency";0.061944;%;
"System Efficiency";0.038313;%;
"Shaft Torque";-0.16318;Nm;
"Power Factor [Waveform] (leading)";-0.96585;;
"Power Factor Angle [Waveform]";-164.98;EDeg;
"Power Factor [THD]";-0.96581;;
"Power Factor [Phasor] (leading)";1;;
"Power Factor Angle [Phasor]";0;EDeg;
"Load Angle [Phasor]";0;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";7.5801;Volts;
"Rotor Inertia";0.00058208;kg.m©÷;
"Shaft Inertia";2.3205E-005;kg.m©÷;
"Total Inertia";0.00060529;kg.m©÷;
"Torque per rotor volume";-0.007575;kNm/m©ø;
"Rotor peripheral velocity (on load)";3.7176;m/s;
"Flux Linkage D (Q axis current)";20.5043;mVs;
"Flux Linkage Q (Q axis current)";0.00419225;mVs;
"Flux linkage D (On load)";20.5099;mVs;
"Flux linkage Q (On load)";0.00581274;mVs;
"Torque Constant (Kt)";-INF;Nm/A;
"Motor Constant (Km)";-INF;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.178441;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.177297;Vs/Rad;
"Stall Current";391.507;Amps;
"Stall Torque";-INF;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";1000;Hz;
"Fundamental Frequency";83.3333;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.6;mm;
"Magnetic Axial Length (Slice2)";5.6;mm;
"Magnetic Axial Length (Slice3)";5.6;mm;
