Drive
"DC Bus Voltage";46;Volts;
"Line-Line Supply Voltage (rms)";32.53;Volts;
"Phase Supply Voltage (rms)";18.78;Volts;
"Line-Line Terminal Voltage (peak)";45.78;Volts;
"Line-Line Terminal Voltage (rms)";31.46;Volts;
"Phase Terminal Voltage (peak)";25.82;Volts;
"Phase Terminal Voltage (rms)";18.19;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.892;%;
"Harmonic Distortion Phase Terminal Voltage";6.365;%;
"Back EMF Line-Line Voltage (peak)";40.68;Volts;
"Back EMF Phase Voltage (peak)";23.48;Volts;
"Back EMF Line-Line Voltage (rms)";28.76;Volts;
"Back EMF Phase Voltage (rms)";16.61;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";10.77;Amps;
"Line Current (peak)";13.02;Amps;
"Line Current (rms)";9.207;Amps;
"Phase Current (peak)";13.02;Amps;
"Phase Current (rms)";9.207;Amps;
"Phase Advance";5.673;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";4.527;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.07171;mH;
"Q Axis Inductance";0.1027;mH;
"Line-Line Inductance (DQ)";0.1744;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.002014;mH;
"D Axis Phase Current (average rms)";-0.9101;Amps;
"Q Axis Phase Current (average rms)";9.161;Amps;
"Torque Constant (Kt)";0.1587;Nm/A;
"Motor Constant (Km)";0.3387;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.1837;Vs/Rad;
"Electrical Constant";0.596;msec;
"Electrical Loading";2.084E004;Amps/m;
"Stall Current";157.2;Amps;
"Stall Torque";24.94;Nm;
"Short Circuit Line Current (peak)";64.92;Amps;
"Short Circuit Current Density (peak)";105.9;Amps/mm©÷;
"Short Circuit Current Density (rms)";74.9;Amps/mm©÷;
"Short Circuit Braking Torque";-4.176;Nm;
"Short Circuit Max Braking Torque";-5.777;Nm;
"Short Circuit Max Braking Torque Speed";918.3;rpm;
"Fundamental Frequency";740.3;Hz;
"Shaft Speed";2115;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 4.527 EDeg)";2.0774;Nm;
"Average torque (Maxwell stress)";2.0649;Nm;
"Average torque (loop torque)";2.0678;Nm;
"Torque Ripple (MsVw)";0.23352;Nm;
"Torque Ripple (MsVw) [%]";11.303;%;
"Cogging Torque Ripple (Vw)";0.14834;Nm;
