Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";33.94;Volts;
"Line-Line Terminal Voltage (peak)";52.78;Volts;
"Line-Line Terminal Voltage (rms)";38.26;Volts;
"Phase Terminal Voltage (peak)";52.78;Volts;
"Phase Terminal Voltage (rms)";38.26;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";7.106;%;
"Harmonic Distortion Phase Terminal Voltage";7.106;%;
"Back EMF Line-Line Voltage (peak)";47.66;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";50.73;Volts;
"Back EMF Phase Voltage (peak)";47.66;Volts;
"Back EMF Line-Line Voltage (rms)";35.92;Volts;
"Back EMF Phase Voltage (rms)";35.92;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";5.458;%;
"Harmonic Distortion Back EMF Phase Voltage";5.458;%;
"Max Line-Line / Phase Voltage Ratio";1;;
"DC Supply Current (mean)";7.752;Amps;
"Line Current (peak)";6.788;Amps;
"Line Current (rms)";4.8;Amps;
"Phase Current (peak)";3.919;Amps;
"Phase Current (rms)";2.771;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";2.867;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"D Axis Inductance";0.3716;mH;
"Q Axis Inductance";0.4691;mH;
"Line-Line Inductance (DQ)";0.2802;mH;
"Self Inductance";0.4633;mH;
"Mutual Inductance";-0.03235;mH;
"Line-Line Inductance";0.3305;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.01487;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";2.771;Amps;
"Torque Constant (Kt)";0.1375;Nm/A;
"Motor Constant (Km)";0.2588;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1507;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1604;Vs/Rad;
"Electrical Constant";0.7448;msec;
"Mechanical Constant";2.149;msec;
"Electrical Loading";2.58E004;Amps/m;
"Stall Current";127.6;Amps;
"Stall Torque";17.54;Nm;
"Short Circuit Line Current (peak)";34.59;Amps;
"Short Circuit Current Density (peak)";81.08;Amps/mm©÷;
"Short Circuit Current Density (rms)";57.33;Amps/mm©÷;
"Short Circuit Braking Torque";-1.068;Nm;
"Short Circuit Max Braking Torque";-2.484;Nm;
"Short Circuit Max Braking Torque Speed";688.6;rpm;
"Fundamental Frequency";1057;Hz;
"Shaft Speed";3020;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 2.867 EDeg)";0.93997;Nm;
"Average torque (virtual work)";0.93513;Nm;
"Average torque (loop torque)";0.93545;Nm;
"Torque Ripple (MsVw)";0.071086;Nm;
"Torque Ripple (MsVw) [%]";7.6171;%;
"Cogging Torque Ripple (Vw)";0.054874;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";2664.8;rpm;
"No load speed";3041.4;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";295.14;Watts;
"Input Power";308.7;Watts;
"Total Losses (on load)";34.14;Watts;
"Output Power_Operating point outside voltage limit.";274.56;Watts;
"Converter Efficiency";82.961;%;
"Motor Efficiency";88.941;%;
"System Efficiency";73.786;%;
"Shaft Torque";0.86815;Nm;
"Power Factor [Waveform] (leading)";0.97454;;
"Power Factor Angle [Waveform]";12.957;EDeg;
"Power Factor [THD]";0.97209;;
"Power Factor [Phasor] (leading)";0.97437;;
"Power Factor Angle [Phasor]";13;EDeg;
"Load Angle [Phasor]";12.97;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";38.47;Volts;
"Rotor Inertia";7.8908E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";7.8908E-005;kg.m©÷;
"Torque per rotor volume";127.12;kNm/m©ø;
"Rotor peripheral velocity (on load)";12.808;m/s;
"Flux Linkage D (Q axis current)";7.60434;mVs;
"Flux Linkage Q (Q axis current)";1.81932;mVs;
"Flux linkage D (On load)";7.59115;mVs;
"Flux linkage Q (On load)";1.82309;mVs;
"Torque Constant (Kt)";0.13748;Nm/A;
"Motor Constant (Km)";0.258807;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.150711;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.160405;Vs/Rad;
"Stall Current";127.577;Amps;
"Stall Torque";17.5393;Nm;
"Cogging Period";1.42857;MDeg;
"Cogging Frequency";12684;Hz;
"Fundamental Frequency";1057;Hz;
"Mechanical Frequency";50.3333;Hz;
"Optimum Skewing Angle";1.42857;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";6;;
"Magnetic Axial Length (Slice1)";8.4;mm;

Phasor Diagram
