Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";33.94;Volts;
"Line-Line Terminal Voltage (peak)";26.84;Volts;
"Line-Line Terminal Voltage (rms)";17.56;Volts;
"Phase Terminal Voltage (peak)";26.84;Volts;
"Phase Terminal Voltage (rms)";17.56;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";14.21;%;
"Harmonic Distortion Phase Terminal Voltage";14.21;%;
"Back EMF Line-Line Voltage (peak)";22.23;Volts;
"Back EMF Phase Voltage (peak)";22.23;Volts;
"Back EMF Line-Line Voltage (rms)";15.72;Volts;
"Back EMF Phase Voltage (rms)";15.72;Volts;
"Max Line-Line / Phase Voltage Ratio";1;;
"DC Supply Current (mean)";3.795;Amps;
"Line Current (peak)";5.657;Amps;
"Line Current (rms)";4;Amps;
"Phase Current (peak)";3.266;Amps;
"Phase Current (rms)";2.309;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";420;EDeg;
"Drive Offset Angle (On load)";60;EDeg;
"Phase Advance to give maximum torque";1.102;EDeg;
"Phasor Offset Angle";315;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"D Axis Inductance";0.132;mH;
"Q Axis Inductance";0.1514;mH;
"Line-Line Inductance (DQ)";0.09446;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.05755;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";2.309;Amps;
"Torque Constant (Kt)";0.05741;Nm/A;
"Motor Constant (Km)";0.08913;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.06912;Vs/Rad;
"Electrical Constant";0.1708;msec;
"Electrical Loading";2.15E004;Amps/m;
"Stall Current";86.78;Amps;
"Stall Torque";4.982;Nm;
"Short Circuit Line Current (peak)";31.69;Amps;
"Short Circuit Current Density (peak)";74.29;Amps/mm©÷;
"Short Circuit Current Density (rms)";52.53;Amps/mm©÷;
"Short Circuit Braking Torque";-1.295;Nm;
"Short Circuit Max Braking Torque";-1.299;Nm;
"Short Circuit Max Braking Torque Speed";2856;rpm;
"Fundamental Frequency";1075;Hz;
"Shaft Speed";3072;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 1.102 EDeg)";0.33866;Nm;
"Average torque (Maxwell stress)";0.32376;Nm;
"Average torque (loop torque)";0.32898;Nm;
"Torque Ripple (MsVw)";0.1055;Nm;
"Torque Ripple (MsVw) [%]";32.487;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";6191.8;rpm;
"No load speed";6631.8;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";104.47;Watts;
"Input Power";118.78;Watts;
"Total Losses (on load)";35.521;Watts;
"Output Power";83.261;Watts;
"Converter Efficiency";65.2;%;
"Motor Efficiency";70.096;%;
"System Efficiency";45.702;%;
"Shaft Torque";0.25882;Nm;
"Power Factor [Waveform] (lagging)";0.98964;;
"Power Factor Angle [Waveform]";8.2554;EDeg;
"Power Factor [THD]";0.97979;;
"Power Factor [Phasor] (lagging)";0.99027;;
"Power Factor Angle [Phasor]";8;EDeg;
"Load Angle [Phasor]";7.6272;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";17.796;Volts;
"Rotor Inertia";6.8016E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";6.8016E-005;kg.m©÷;
"Torque per rotor volume";51.276;kNm/m©ø;
"Rotor peripheral velocity (on load)";13.029;m/s;
"Flux Linkage D (Q axis current)";3.29126;mVs;
"Flux Linkage Q (Q axis current)";0.491196;mVs;
"Flux linkage D (On load)";3.20357;mVs;
"Flux linkage Q (On load)";0.523581;mVs;
"Torque Constant (Kt)";0.0574087;Nm/A;
"Motor Constant (Km)";0.0891315;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.0691166;Vs/Rad;
"Stall Current";86.778;Amps;
"Stall Torque";4.98181;Nm;
"Cogging Period";1.42857;MDeg;
"Cogging Frequency";12902.4;Hz;
"Fundamental Frequency";1075.2;Hz;
"Mechanical Frequency";51.2;Hz;
"Optimum Skewing Angle";1.42857;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";6;;
"Magnetic Axial Length (Slice1)";7.76;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 1.102 EDeg)";0.33866;Nm;
"Average torque (Maxwell stress)";0.32376;Nm;
"Average torque (loop torque)";0.32898;Nm;
"Torque Ripple (MsVw)";0.1055;Nm;
"Torque Ripple (MsVw) [%]";32.487;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";6191.8;rpm;
"No load speed";6631.8;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";104.47;Watts;
"Input Power";118.78;Watts;
"Total Losses (on load)";35.521;Watts;
"Output Power";83.261;Watts;
