Drive
"DC Bus Voltage";0;Volts;
"Line-Line Supply Voltage (rms)";0;Volts;
"Phase Supply Voltage (rms)";0;Volts;
"Line-Line Terminal Voltage (peak)";12.28;Volts;
"Line-Line Terminal Voltage (rms)";8.8;Volts;
"Phase Terminal Voltage (peak)";6.758;Volts;
"Phase Terminal Voltage (rms)";5.091;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.8234;%;
"Harmonic Distortion Phase Terminal Voltage";6.482;%;
"Back EMF Line-Line Voltage (peak)";12.46;Volts;
"Back EMF Phase Voltage (peak)";7.193;Volts;
"Back EMF Line-Line Voltage (rms)";8.809;Volts;
"Back EMF Phase Voltage (rms)";5.086;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";-INF;Amps;
"Line Current (peak)";0;Amps;
"Line Current (rms)";0;Amps;
"Phase Current (peak)";0;Amps;
"Phase Current (rms)";0;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0;mH;
"Q Axis Inductance";0;mH;
"Line-Line Inductance (DQ)";0;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008073;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";0;Amps;
"Torque Constant (Kt)";-INF;Nm/A;
"Motor Constant (Km)";-INF;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.119;Vs/Rad;
"Electrical Constant";0;msec;
"Electrical Loading";0;Amps/m;
"Stall Current";0;Amps;
"Stall Torque";0;Nm;
"Short Circuit Line Current (peak)";23.59;Amps;
"Short Circuit Current Density (peak)";71.09;Amps/mm©÷;
"Short Circuit Current Density (rms)";50.27;Amps/mm©÷;
"Short Circuit Braking Torque";-2.43;Nm;
"Short Circuit Max Braking Torque";0;Nm;
"Short Circuit Max Braking Torque Speed";0;rpm;
"Fundamental Frequency";233.3;Hz;
"Shaft Speed";1000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";0;Nm;
"Average torque (virtual work)";-0.00048197;Nm;
"Average torque (loop torque)";0;Nm;
"Torque Ripple (MsVw)";0.024554;Nm;
"Torque Ripple (MsVw) [%]";-116.93;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";0;rpm;
"No load speed";0;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";-2.1991;Watts;
"Input Power";-3.4107;Watts;
"Total Losses (on load)";1.2472;Watts;
"Output Power_Operating point outside voltage limit.";-2.1635;Watts;
"System Efficiency";63.433;%;
"Shaft Torque";-0.03257;Nm;
"Power Factor [Waveform] (leading)";-0.70687;;
"Power Factor Angle [Waveform]";134.98;EDeg;
"Power Factor [THD]";-0.70539;;
"Power Factor [Phasor] (leading)";1;;
"Power Factor Angle [Phasor]";0;EDeg;
"Load Angle [Phasor]";0;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";5.0859;Volts;
"Rotor Inertia";3.292E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";3.292E-005;kg.m©÷;
"Torque per rotor volume";-3.7127;kNm/m©ø;
"Rotor peripheral velocity (on load)";3.2201;m/s;
"Flux Linkage D (Q axis current)";4.90599;mVs;
"Flux Linkage Q (Q axis current)";-0.0110455;mVs;
"Flux linkage D (On load)";4.90972;mVs;
"Flux linkage Q (On load)";-0.00167065;mVs;
"Torque Constant (Kt)";-INF;Nm/A;
"Motor Constant (Km)";-INF;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.118964;Vs/Rad;
"Stall Current";0;Amps;
"Stall Torque";0;Nm;
"Cogging Period";2.14286;MDeg;
"Cogging Frequency";2800;Hz;
"Fundamental Frequency";233.333;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";2.14286;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";4;;
"Magnetic Axial Length (Slice1)";9.6;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";0;Nm;
"Average torque (virtual work)";-0.00048197;Nm;
"Average torque (loop torque)";0;Nm;
"Torque Ripple (MsVw)";0.024554;Nm;
"Torque Ripple (MsVw) [%]";-116.93;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";0;rpm;
"No load speed";0;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";-2.1991;Watts;
"Input Power";-3.4107;Watts;
"Total Losses (on load)";1.2472;Watts;
"Output Power_Operating point outside voltage limit.";-2.1635;Watts;
"System Efficiency";63.433;%;
"Shaft Torque";-0.03257;Nm;
"Power Factor [Waveform] (leading)";-0.70687;;
"Power Factor Angle [Waveform]";134.98;EDeg;
"Power Factor [THD]";-0.70539;;
"Power Factor [Phasor] (leading)";1;;
"Power Factor Angle [Phasor]";0;EDeg;
"Load Angle [Phasor]";0;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";5.0859;Volts;
"Rotor Inertia";3.292E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";3.292E-005;kg.m©÷;
"Torque per rotor volume";-3.7127;kNm/m©ø;
"Rotor peripheral velocity (on load)";3.2201;m/s;
"Flux Linkage D (Q axis current)";4.90599;mVs;
"Flux Linkage Q (Q axis current)";-0.0110455;mVs;
