Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";33.47;Volts;
"Line-Line Terminal Voltage (rms)";23.77;Volts;
"Phase Terminal Voltage (peak)";19.34;Volts;
"Phase Terminal Voltage (rms)";13.72;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.5674;%;
"Harmonic Distortion Phase Terminal Voltage";0.9081;%;
"Back EMF Line-Line Voltage (peak)";32.16;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";32.2;Volts;
"Back EMF Phase Voltage (peak)";18.54;Volts;
"Back EMF Line-Line Voltage (rms)";22.77;Volts;
"Back EMF Phase Voltage (rms)";13.15;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.2706;%;
"Harmonic Distortion Back EMF Phase Voltage";0.632;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";5.434;Amps;
"Line Current (peak)";8.672;Amps;
"Line Current (rms)";6.132;Amps;
"Phase Current (peak)";8.672;Amps;
"Phase Current (rms)";6.132;Amps;
"Phase Advance";0.08233;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.08016;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2082;mH;
"Q Axis Inductance";0.2105;mH;
"Line-Line Inductance (DQ)";0.4187;mH;
"Self Inductance";0.3352;mH;
"Mutual Inductance";-0.03491;mH;
"Line-Line Inductance";0.7401;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.009298;mH;
"D Axis Phase Current (average rms)";-0.008811;Amps;
"Q Axis Phase Current (average rms)";6.132;Amps;
"Torque Constant (Kt)";0.106;Nm/A;
"Motor Constant (Km)";0.2984;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1228;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.123;Vs/Rad;
"Electrical Constant";2.49;msec;
"Mechanical Constant";0.7237;msec;
"Electrical Loading";1.451E004;Amps/m;
"Stall Current";285.5;Amps;
"Stall Torque";30.25;Nm;
"Short Circuit Line Current (peak)";65.08;Amps;
"Short Circuit Current Density (peak)";48.58;Amps/mm©÷;
"Short Circuit Current Density (rms)";34.35;Amps/mm©÷;
"Short Circuit Braking Torque";-2.041;Nm;
"Short Circuit Max Braking Torque";-3.622;Nm;
"Short Circuit Max Braking Torque Speed";771.3;rpm;
"Fundamental Frequency";208.3;Hz;
"Shaft Speed";2500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.08016 EDeg)";0.92226;Nm;
"Average torque (virtual work)";0.92112;Nm;
"Average torque (loop torque)";0.91634;Nm;
"Torque Ripple (MsVw)";0.030783;Nm;
"Torque Ripple (MsVw) [%]";3.3498;%;
"Cogging Torque Ripple (Vw)";0.032353;Nm;
"Speed limit for constant torque_(For Phase Advance of 0.08233 EDeg)";3606.1;rpm;
"No load speed";3731.9;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";240.58;Watts;
"Input Power";250.3;Watts;
"Total Losses (on load)";50.917;Watts;
"Output Power";199.38;Watts;
"Converter Efficiency";95.959;%;
"Motor Efficiency";79.657;%;
"System Efficiency";76.439;%;
"Shaft Torque";0.76158;Nm;
"Power Factor [Waveform] (lagging)";0.99283;;
"Power Factor Angle [Waveform]";6.8655;EDeg;
"Power Factor [THD]";0.99279;;
"Power Factor [Phasor] (lagging)";0.99255;;
"Power Factor Angle [Phasor]";7;EDeg;
"Load Angle [Phasor]";7.0535;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";13.764;Volts;
"Rotor Inertia";0.00011203;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";0.00011803;kg.m©÷;
"Torque per rotor volume";13.003;kNm/m©ø;
"Rotor peripheral velocity (on load)";6.2086;m/s;
"Flux Linkage D (Q axis current)";14.1799;mVs;
"Flux Linkage Q (Q axis current)";1.80994;mVs;
"Flux linkage D (On load)";14.1899;mVs;
"Flux linkage Q (On load)";1.79601;mVs;
"Torque Constant (Kt)";0.105967;Nm/A;
"Motor Constant (Km)";0.298394;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.122823;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.123004;Vs/Rad;
"Stall Current";285.455;Amps;
"Stall Torque";30.2489;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2500;Hz;
"Fundamental Frequency";208.333;Hz;
"Mechanical Frequency";41.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
