Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";33.91;Volts;
"Line-Line Terminal Voltage (rms)";23.97;Volts;
"Phase Terminal Voltage (peak)";19.61;Volts;
"Phase Terminal Voltage (rms)";13.84;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.6552;%;
"Harmonic Distortion Phase Terminal Voltage";1.619;%;
"Back EMF Line-Line Voltage (peak)";32.46;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";32.53;Volts;
"Back EMF Phase Voltage (peak)";18.83;Volts;
"Back EMF Line-Line Voltage (rms)";23.01;Volts;
"Back EMF Phase Voltage (rms)";13.28;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.3347;%;
"Harmonic Distortion Back EMF Phase Voltage";0.5046;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";5.445;Amps;
"Line Current (peak)";8.615;Amps;
"Line Current (rms)";6.092;Amps;
"Phase Current (peak)";8.615;Amps;
"Phase Current (rms)";6.092;Amps;
"Phase Advance";0.4642;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.4009;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1998;mH;
"Q Axis Inductance";0.2114;mH;
"Line-Line Inductance (DQ)";0.4113;mH;
"Self Inductance";0.3478;mH;
"Mutual Inductance";-0.03592;mH;
"Line-Line Inductance";0.7675;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.009284;mH;
"D Axis Phase Current (average rms)";-0.04936;Amps;
"Q Axis Phase Current (average rms)";6.092;Amps;
"Torque Constant (Kt)";0.1068;Nm/A;
"Motor Constant (Km)";0.2994;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.124;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1243;Vs/Rad;
"Electrical Constant";2.423;msec;
"Mechanical Constant";0.8956;msec;
"Electrical Loading";1.379E004;Amps/m;
"Stall Current";282.8;Amps;
"Stall Torque";30.21;Nm;
"Short Circuit Line Current (peak)";68.1;Amps;
"Short Circuit Current Density (peak)";51.31;Amps/mm©÷;
"Short Circuit Current Density (rms)";36.28;Amps/mm©÷;
"Short Circuit Braking Torque";-2.256;Nm;
"Short Circuit Max Braking Torque";-3.844;Nm;
"Short Circuit Max Braking Torque Speed";811.2;rpm;
"Fundamental Frequency";208.3;Hz;
"Shaft Speed";2500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.4009 EDeg)";0.92438;Nm;
"Average torque (virtual work)";0.92303;Nm;
"Average torque (loop torque)";0.91894;Nm;
"Torque Ripple (MsVw)";0.015228;Nm;
"Torque Ripple (MsVw) [%]";1.6546;%;
"Cogging Torque Ripple (Vw)";0.016335;Nm;
"Speed limit for constant torque_(For Phase Advance of 0.4642 EDeg)";3577.4;rpm;
"No load speed";3696.3;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";240.96;Watts;
"Input Power";250.84;Watts;
"Total Losses (on load)";51.539;Watts;
"Output Power";199.3;Watts;
"Converter Efficiency";95.968;%;
"Motor Efficiency";79.454;%;
"System Efficiency";76.25;%;
"Shaft Torque";0.76128;Nm;
"Power Factor [Waveform] (lagging)";0.99366;;
"Power Factor Angle [Waveform]";6.4547;EDeg;
"Power Factor [THD]";0.99353;;
"Power Factor [Phasor] (lagging)";0.99255;;
"Power Factor Angle [Phasor]";7;EDeg;
"Load Angle [Phasor]";6.99;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";13.89;Volts;
"Rotor Inertia";0.00013979;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";0.00014579;kg.m©÷;
"Torque per rotor volume";11.899;kNm/m©ø;
"Rotor peripheral velocity (on load)";6.4952;m/s;
"Flux Linkage D (Q axis current)";14.3055;mVs;
"Flux Linkage Q (Q axis current)";1.80189;mVs;
"Flux linkage D (On load)";14.312;mVs;
"Flux linkage Q (On load)";1.79975;mVs;
"Torque Constant (Kt)";0.10683;Nm/A;
"Motor Constant (Km)";0.299399;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.124007;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.124271;Vs/Rad;
"Stall Current";282.758;Amps;
"Stall Torque";30.2072;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2500;Hz;
"Fundamental Frequency";208.333;Hz;
"Mechanical Frequency";41.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
