Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";43.71;Volts;
"Line-Line Terminal Voltage (rms)";30.7;Volts;
"Phase Terminal Voltage (peak)";25.48;Volts;
"Phase Terminal Voltage (rms)";17.79;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.165;%;
"Harmonic Distortion Phase Terminal Voltage";8.824;%;
"Back EMF Line-Line Voltage (peak)";37.12;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";37.24;Volts;
"Back EMF Phase Voltage (peak)";21.4;Volts;
"Back EMF Line-Line Voltage (rms)";26.34;Volts;
"Back EMF Phase Voltage (rms)";15.21;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.3727;%;
"Harmonic Distortion Back EMF Phase Voltage";0.5464;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";20.17;Amps;
"Line Current (peak)";28.38;Amps;
"Line Current (rms)";20.07;Amps;
"Phase Current (peak)";28.38;Amps;
"Phase Current (rms)";20.07;Amps;
"Phase Advance";1.704;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.5768;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2626;mH;
"Q Axis Inductance";0.2672;mH;
"Line-Line Inductance (DQ)";0.5299;mH;
"Self Inductance";0.3711;mH;
"Mutual Inductance";-0.04207;mH;
"Line-Line Inductance";0.8263;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.00844;mH;
"D Axis Phase Current (average rms)";-0.5968;Amps;
"Q Axis Phase Current (average rms)";20.06;Amps;
"Torque Constant (Kt)";0.097;Nm/A;
"Motor Constant (Km)";0.2874;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1181;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1186;Vs/Rad;
"Electrical Constant";3.49;msec;
"Mechanical Constant";0.5913;msec;
"Electrical Loading";4.96E004;Amps/m;
"Stall Current";316.1;Amps;
"Stall Torque";30.67;Nm;
"Short Circuit Line Current (peak)";48.6;Amps;
"Short Circuit Current Density (peak)";33.21;Amps/mm©÷;
"Short Circuit Current Density (rms)";23.49;Amps/mm©÷;
"Short Circuit Braking Torque";-0.8563;Nm;
"Short Circuit Max Braking Torque";-2.406;Nm;
"Short Circuit Max Braking Torque Speed";552;rpm;
"Fundamental Frequency";250;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.5768 EDeg)";2.7632;Nm;
"Average torque (virtual work)";2.7585;Nm;
"Average torque (loop torque)";2.7444;Nm;
"Torque Ripple (MsVw)";0.030027;Nm;
"Torque Ripple (MsVw) [%]";1.0906;%;
"Cogging Torque Ripple (Vw)";0.023001;Nm;
"Speed limit for constant torque_(For Phase Advance of 1.704 EDeg)";3321.3;rpm;
"No load speed";3879.6;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";864.94;Watts;
"Input Power";957.64;Watts;
"Total Losses (on load)";146.16;Watts;
"Output Power";811.48;Watts;
"Converter Efficiency";98.911;%;
"Motor Efficiency";84.738;%;
"System Efficiency";83.815;%;
"Shaft Torque";2.583;Nm;
"Power Factor [Waveform] (lagging)";0.89804;;
"Power Factor Angle [Waveform]";26.099;EDeg;
"Power Factor [THD]";0.89456;;
"Power Factor [Phasor] (lagging)";0.90631;;
"Power Factor Angle [Phasor]";25;EDeg;
"Load Angle [Phasor]";27.19;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";18.529;Volts;
"Rotor Inertia";8.9263E-005;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";9.5269E-005;kg.m©÷;
"Torque per rotor volume";42.574;kNm/m©ø;
"Rotor peripheral velocity (on load)";7.1267;m/s;
"Flux Linkage D (Q axis current)";12.9798;mVs;
"Flux Linkage Q (Q axis current)";7.36324;mVs;
"Flux linkage D (On load)";12.7722;mVs;
"Flux linkage Q (On load)";7.41462;mVs;
"Torque Constant (Kt)";0.0970004;Nm/A;
"Motor Constant (Km)";0.287449;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.118148;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.118551;Vs/Rad;
"Stall Current";316.137;Amps;
"Stall Torque";30.6655;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";3000;Hz;
"Fundamental Frequency";250;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
