Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";44.25;Volts;
"Line-Line Terminal Voltage (rms)";31.05;Volts;
"Phase Terminal Voltage (peak)";25.73;Volts;
"Phase Terminal Voltage (rms)";17.99;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.179;%;
"Harmonic Distortion Phase Terminal Voltage";8.721;%;
"Back EMF Line-Line Voltage (peak)";37.25;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";37.38;Volts;
"Back EMF Phase Voltage (peak)";21.48;Volts;
"Back EMF Line-Line Voltage (rms)";26.43;Volts;
"Back EMF Phase Voltage (rms)";15.26;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.3907;%;
"Harmonic Distortion Back EMF Phase Voltage";0.5664;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";20.35;Amps;
"Line Current (peak)";28.3;Amps;
"Line Current (rms)";20.01;Amps;
"Phase Current (peak)";28.3;Amps;
"Phase Current (rms)";20.01;Amps;
"Phase Advance";1.698;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.5176;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2662;mH;
"Q Axis Inductance";0.2703;mH;
"Line-Line Inductance (DQ)";0.5365;mH;
"Self Inductance";0.3739;mH;
"Mutual Inductance";-0.04264;mH;
"Line-Line Inductance";0.8331;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.00801;mH;
"D Axis Phase Current (average rms)";-0.5929;Amps;
"Q Axis Phase Current (average rms)";20;Amps;
"Torque Constant (Kt)";0.09726;Nm/A;
"Motor Constant (Km)";0.2745;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1186;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.119;Vs/Rad;
"Electrical Constant";3.206;msec;
"Mechanical Constant";0.65;msec;
"Electrical Loading";4.942E004;Amps/m;
"Stall Current";286.8;Amps;
"Stall Torque";27.9;Nm;
"Short Circuit Line Current (peak)";47.96;Amps;
"Short Circuit Current Density (peak)";36.14;Amps/mm©÷;
"Short Circuit Current Density (rms)";25.55;Amps/mm©÷;
"Short Circuit Braking Torque";-0.9191;Nm;
"Short Circuit Max Braking Torque";-2.388;Nm;
"Short Circuit Max Braking Torque Speed";600.4;rpm;
"Fundamental Frequency";250;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.5176 EDeg)";2.7634;Nm;
"Average torque (virtual work)";2.7588;Nm;
"Average torque (loop torque)";2.7447;Nm;
"Torque Ripple (MsVw)";0.027781;Nm;
"Torque Ripple (MsVw) [%]";1.0093;%;
"Cogging Torque Ripple (Vw)";0.022328;Nm;
"Speed limit for constant torque_(For Phase Advance of 1.698 EDeg)";3282.5;rpm;
"No load speed";3866;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";864.69;Watts;
"Input Power";966.17;Watts;
"Total Losses (on load)";154.95;Watts;
"Output Power";811.23;Watts;
"Converter Efficiency";98.921;%;
"Motor Efficiency";83.963;%;
"System Efficiency";83.057;%;
"Shaft Torque";2.5822;Nm;
"Power Factor [Waveform] (lagging)";0.89859;;
"Power Factor Angle [Waveform]";26.027;EDeg;
"Power Factor [THD]";0.89519;;
"Power Factor [Phasor] (lagging)";0.90631;;
"Power Factor Angle [Phasor]";25;EDeg;
"Load Angle [Phasor]";27.109;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";18.747;Volts;
"Rotor Inertia";8.9572E-005;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";9.5579E-005;kg.m©÷;
"Torque per rotor volume";42.506;kNm/m©ø;
"Rotor peripheral velocity (on load)";7.1314;m/s;
"Flux Linkage D (Q axis current)";13.0196;mVs;
"Flux Linkage Q (Q axis current)";7.42529;mVs;
"Flux linkage D (On load)";12.8113;mVs;
"Flux linkage Q (On load)";7.47786;mVs;
"Torque Constant (Kt)";0.0972637;Nm/A;
"Motor Constant (Km)";0.274536;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.118562;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.118993;Vs/Rad;
"Stall Current";286.813;Amps;
"Stall Torque";27.8965;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";3000;Hz;
"Fundamental Frequency";250;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
