Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";41.02;Volts;
"Line-Line Terminal Voltage (rms)";28.79;Volts;
"Phase Terminal Voltage (peak)";23.87;Volts;
"Phase Terminal Voltage (rms)";16.69;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.187;%;
"Harmonic Distortion Phase Terminal Voltage";8.774;%;
"Back EMF Line-Line Voltage (peak)";34.76;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";34.89;Volts;
"Back EMF Phase Voltage (peak)";20.05;Volts;
"Back EMF Line-Line Voltage (rms)";24.67;Volts;
"Back EMF Phase Voltage (rms)";14.24;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.3907;%;
"Harmonic Distortion Back EMF Phase Voltage";0.5664;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";20.19;Amps;
"Line Current (peak)";30.32;Amps;
"Line Current (rms)";21.44;Amps;
"Phase Current (peak)";30.32;Amps;
"Phase Current (rms)";21.44;Amps;
"Phase Advance";1.746;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.5167;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2319;mH;
"Q Axis Inductance";0.2355;mH;
"Line-Line Inductance (DQ)";0.4675;mH;
"Self Inductance";0.3258;mH;
"Mutual Inductance";-0.03715;mH;
"Line-Line Inductance";0.7259;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.007034;mH;
"D Axis Phase Current (average rms)";-0.6532;Amps;
"Q Axis Phase Current (average rms)";21.43;Amps;
"Torque Constant (Kt)";0.09078;Nm/A;
"Motor Constant (Km)";0.2856;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1107;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1111;Vs/Rad;
"Electrical Constant";3.471;msec;
"Mechanical Constant";0.6005;msec;
"Electrical Loading";4.942E004;Amps/m;
"Stall Current";356.4;Amps;
"Stall Torque";32.35;Nm;
"Short Circuit Line Current (peak)";51.52;Amps;
"Short Circuit Current Density (peak)";33.47;Amps/mm©÷;
"Short Circuit Current Density (rms)";23.67;Amps/mm©÷;
"Short Circuit Braking Torque";-0.8535;Nm;
"Short Circuit Max Braking Torque";-2.388;Nm;
"Short Circuit Max Braking Torque Speed";554.5;rpm;
"Fundamental Frequency";250;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.5167 EDeg)";2.7635;Nm;
"Average torque (virtual work)";2.7589;Nm;
"Average torque (loop torque)";2.7448;Nm;
"Torque Ripple (MsVw)";0.027814;Nm;
"Torque Ripple (MsVw) [%]";1.0105;%;
"Cogging Torque Ripple (Vw)";0.022328;Nm;
"Speed limit for constant torque_(For Phase Advance of 1.746 EDeg)";3558;rpm;
"No load speed";4142.2;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";864.72;Watts;
"Input Power";958.55;Watts;
"Total Losses (on load)";147.3;Watts;
"Output Power";811.25;Watts;
"Converter Efficiency";98.912;%;
"Motor Efficiency";84.633;%;
"System Efficiency";83.713;%;
"Shaft Torque";2.5823;Nm;
"Power Factor [Waveform] (lagging)";0.8974;;
"Power Factor Angle [Waveform]";26.181;EDeg;
"Power Factor [THD]";0.89397;;
"Power Factor [Phasor] (lagging)";0.89879;;
"Power Factor Angle [Phasor]";26;EDeg;
"Load Angle [Phasor]";27.296;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";17.385;Volts;
"Rotor Inertia";8.9572E-005;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";9.5579E-005;kg.m©÷;
"Torque per rotor volume";42.507;kNm/m©ø;
"Rotor peripheral velocity (on load)";7.1314;m/s;
"Flux Linkage D (Q axis current)";12.1516;mVs;
"Flux Linkage Q (Q axis current)";6.93203;mVs;
"Flux linkage D (On load)";11.9515;mVs;
"Flux linkage Q (On load)";6.98205;mVs;
"Torque Constant (Kt)";0.090779;Nm/A;
"Motor Constant (Km)";0.285627;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.110658;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.11106;Vs/Rad;
"Stall Current";356.394;Amps;
"Stall Torque";32.3531;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";3000;Hz;
"Fundamental Frequency";250;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
