Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";45.96;Volts;
"Line-Line Terminal Voltage (rms)";32.67;Volts;
"Phase Terminal Voltage (peak)";26.53;Volts;
"Phase Terminal Voltage (rms)";18.88;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.047;%;
"Harmonic Distortion Phase Terminal Voltage";4.777;%;
"Back EMF Line-Line Voltage (peak)";37.69;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";37.74;Volts;
"Back EMF Phase Voltage (peak)";21.89;Volts;
"Back EMF Line-Line Voltage (rms)";26.68;Volts;
"Back EMF Phase Voltage (rms)";15.41;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.1443;%;
"Harmonic Distortion Back EMF Phase Voltage";0.588;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";21.13;Amps;
"Line Current (peak)";27.45;Amps;
"Line Current (rms)";19.41;Amps;
"Phase Current (peak)";27.45;Amps;
"Phase Current (rms)";19.41;Amps;
"Phase Advance";2.268;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.3548;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2733;mH;
"Q Axis Inductance";0.2763;mH;
"Line-Line Inductance (DQ)";0.5497;mH;
"Self Inductance";0.3052;mH;
"Mutual Inductance";-0.03077;mH;
"Line-Line Inductance";0.6719;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.0107;mH;
"D Axis Phase Current (average rms)";-0.7681;Amps;
"Q Axis Phase Current (average rms)";19.39;Amps;
"Torque Constant (Kt)";0.1004;Nm/A;
"Motor Constant (Km)";0.236;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.12;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1201;Vs/Rad;
"Electrical Constant";2.276;msec;
"Mechanical Constant";1.192;msec;
"Electrical Loading";4.484E004;Amps/m;
"Stall Current";198.7;Amps;
"Stall Torque";19.96;Nm;
"Short Circuit Line Current (peak)";47.18;Amps;
"Short Circuit Current Density (peak)";49.64;Amps/mm©÷;
"Short Circuit Current Density (rms)";35.1;Amps/mm©÷;
"Short Circuit Braking Torque";-1.283;Nm;
"Short Circuit Max Braking Torque";-2.462;Nm;
"Short Circuit Max Braking Torque Speed";843.9;rpm;
"Fundamental Frequency";250;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.3548 EDeg)";2.7578;Nm;
"Average torque (virtual work)";2.7598;Nm;
"Average torque (loop torque)";2.7439;Nm;
"Torque Ripple (MsVw)";0.029331;Nm;
"Torque Ripple (MsVw) [%]";1.064;%;
"Cogging Torque Ripple (Vw)";0.029929;Nm;
"Speed limit for constant torque_(For Phase Advance of 2.268 EDeg)";3121.9;rpm;
"No load speed";3821;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";866.04;Watts;
"Input Power";1003.6;Watts;
"Total Losses (on load)";192.42;Watts;
"Output Power";811.22;Watts;
"Converter Efficiency";98.961;%;
"Motor Efficiency";80.828;%;
"System Efficiency";79.988;%;
"Shaft Torque";2.5822;Nm;
"Power Factor [Waveform] (lagging)";0.91276;;
"Power Factor Angle [Waveform]";24.11;EDeg;
"Power Factor [THD]";0.91172;;
"Power Factor [Phasor] (lagging)";0.91355;;
"Power Factor Angle [Phasor]";24;EDeg;
"Load Angle [Phasor]";26.042;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";19.387;Volts;
"Rotor Inertia";0.00011889;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";0.00012489;kg.m©÷;
"Torque per rotor volume";38.085;kNm/m©ø;
"Rotor peripheral velocity (on load)";7.5398;m/s;
"Flux Linkage D (Q axis current)";13.3951;mVs;
"Flux Linkage Q (Q axis current)";7.42756;mVs;
"Flux linkage D (On load)";13.1407;mVs;
"Flux linkage Q (On load)";7.47567;mVs;
"Torque Constant (Kt)";0.100426;Nm/A;
"Motor Constant (Km)";0.235957;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.119961;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.120118;Vs/Rad;
"Stall Current";198.735;Amps;
"Stall Torque";19.9582;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";3000;Hz;
"Fundamental Frequency";250;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
