Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";45.47;Volts;
"Line-Line Terminal Voltage (rms)";32.27;Volts;
"Phase Terminal Voltage (peak)";26.92;Volts;
"Phase Terminal Voltage (rms)";18.67;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.6553;%;
"Harmonic Distortion Phase Terminal Voltage";6.392;%;
"Back EMF Line-Line Voltage (peak)";40.08;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";40.45;Volts;
"Back EMF Phase Voltage (peak)";23.33;Volts;
"Back EMF Line-Line Voltage (rms)";28.61;Volts;
"Back EMF Phase Voltage (rms)";16.52;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.849;%;
"Harmonic Distortion Back EMF Phase Voltage";0.9249;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";20.12;Amps;
"Line Current (peak)";25.55;Amps;
"Line Current (rms)";18.07;Amps;
"Phase Current (peak)";25.55;Amps;
"Phase Current (rms)";18.07;Amps;
"Phase Advance";2.798;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";1.434;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2312;mH;
"Q Axis Inductance";0.2454;mH;
"Line-Line Inductance (DQ)";0.4766;mH;
"Self Inductance";0.3138;mH;
"Mutual Inductance";-0.03091;mH;
"Line-Line Inductance";0.6895;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.0102;mH;
"D Axis Phase Current (average rms)";-0.8821;Amps;
"Q Axis Phase Current (average rms)";18.05;Amps;
"Torque Constant (Kt)";0.1079;Nm/A;
"Motor Constant (Km)";0.2941;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1276;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1288;Vs/Rad;
"Electrical Constant";2.657;msec;
"Mechanical Constant";0.8237;msec;
"Electrical Loading";4.175E004;Amps/m;
"Stall Current";267.5;Amps;
"Stall Torque";28.86;Nm;
"Short Circuit Line Current (peak)";60.6;Amps;
"Short Circuit Current Density (peak)";47.46;Amps/mm©÷;
"Short Circuit Current Density (rms)";33.56;Amps/mm©÷;
"Short Circuit Braking Torque";-1.573;Nm;
"Short Circuit Max Braking Torque";-3.381;Nm;
"Short Circuit Max Braking Torque Speed";740.9;rpm;
"Fundamental Frequency";250;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 1.434 EDeg)";2.7671;Nm;
"Average torque (virtual work)";2.7612;Nm;
"Average torque (loop torque)";2.7473;Nm;
"Torque Ripple (MsVw)";0.038516;Nm;
"Torque Ripple (MsVw) [%]";1.3971;%;
"Cogging Torque Ripple (Vw)";0.055433;Nm;
"Speed limit for constant torque_(For Phase Advance of 2.798 EDeg)";3155.9;rpm;
"No load speed";3592.7;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";866.07;Watts;
"Input Power";955.33;Watts;
"Total Losses (on load)";143.14;Watts;
"Output Power";812.2;Watts;
"Converter Efficiency";98.909;%;
"Motor Efficiency";85.017;%;
"System Efficiency";84.089;%;
"Shaft Torque";2.5853;Nm;
"Power Factor [Waveform] (lagging)";0.94571;;
"Power Factor Angle [Waveform]";18.966;EDeg;
"Power Factor [THD]";0.94378;;
"Power Factor [Phasor] (lagging)";0.94552;;
"Power Factor Angle [Phasor]";19;EDeg;
"Load Angle [Phasor]";21.553;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";19.154;Volts;
"Rotor Inertia";0.00012638;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";0.00013239;kg.m©÷;
"Torque per rotor volume";37.152;kNm/m©ø;
"Rotor peripheral velocity (on load)";7.6341;m/s;
"Flux Linkage D (Q axis current)";14.4327;mVs;
"Flux Linkage Q (Q axis current)";6.12429;mVs;
"Flux linkage D (On load)";14.1555;mVs;
"Flux linkage Q (On load)";6.16047;mVs;
"Torque Constant (Kt)";0.107878;Nm/A;
"Motor Constant (Km)";0.294087;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.127583;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.128769;Vs/Rad;
"Stall Current";267.542;Amps;
"Stall Torque";28.8618;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";3000;Hz;
"Fundamental Frequency";250;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
