Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";42.68;Volts;
"Line-Line Terminal Voltage (rms)";30.04;Volts;
"Phase Terminal Voltage (peak)";24.84;Volts;
"Phase Terminal Voltage (rms)";17.37;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.6628;%;
"Harmonic Distortion Phase Terminal Voltage";5.556;%;
"Back EMF Line-Line Voltage (peak)";37.26;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";37.33;Volts;
"Back EMF Phase Voltage (peak)";21.44;Volts;
"Back EMF Line-Line Voltage (rms)";26.4;Volts;
"Back EMF Phase Voltage (rms)";15.24;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.4355;%;
"Harmonic Distortion Back EMF Phase Voltage";0.7157;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";20.06;Amps;
"Line Current (peak)";27.68;Amps;
"Line Current (rms)";19.57;Amps;
"Phase Current (peak)";27.68;Amps;
"Phase Current (rms)";19.57;Amps;
"Phase Advance";1.983;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2201;mH;
"Q Axis Inductance";0.2193;mH;
"Line-Line Inductance (DQ)";0.4395;mH;
"Self Inductance";0.3245;mH;
"Mutual Inductance";-0.03492;mH;
"Line-Line Inductance";0.7188;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008294;mH;
"D Axis Phase Current (average rms)";-0.6772;Amps;
"Q Axis Phase Current (average rms)";19.56;Amps;
"Torque Constant (Kt)";0.09945;Nm/A;
"Motor Constant (Km)";0.2955;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1186;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1188;Vs/Rad;
"Electrical Constant";2.91;msec;
"Mechanical Constant";0.5507;msec;
"Electrical Loading";4.87E004;Amps/m;
"Stall Current";317.8;Amps;
"Stall Torque";31.6;Nm;
"Short Circuit Line Current (peak)";59.1;Amps;
"Short Circuit Current Density (peak)";40.09;Amps/mm©÷;
"Short Circuit Current Density (rms)";28.35;Amps/mm©÷;
"Short Circuit Braking Torque";-1.259;Nm;
"Short Circuit Max Braking Torque";-3.02;Nm;
"Short Circuit Max Braking Torque Speed";655.3;rpm;
"Fundamental Frequency";250;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";2.7638;Nm;
"Average torque (virtual work)";2.7579;Nm;
"Average torque (loop torque)";2.7434;Nm;
"Torque Ripple (MsVw)";0.03418;Nm;
"Torque Ripple (MsVw) [%]";1.2419;%;
"Cogging Torque Ripple (Vw)";0.031338;Nm;
"Speed limit for constant torque_(For Phase Advance of 1.983 EDeg)";3409;rpm;
"No load speed";3865.1;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";864.66;Watts;
"Input Power";952.37;Watts;
"Total Losses (on load)";141.25;Watts;
"Output Power";811.12;Watts;
"Converter Efficiency";98.905;%;
"Motor Efficiency";85.168;%;
"System Efficiency";84.236;%;
"Shaft Torque";2.5819;Nm;
"Power Factor [Waveform] (lagging)";0.93592;;
"Power Factor Angle [Waveform]";20.622;EDeg;
"Power Factor [THD]";0.93448;;
"Power Factor [Phasor] (lagging)";0.93969;;
"Power Factor Angle [Phasor]";20;EDeg;
"Load Angle [Phasor]";22.389;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";17.826;Volts;
"Rotor Inertia";8.5999E-005;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";9.2006E-005;kg.m©÷;
"Torque per rotor volume";43.168;kNm/m©ø;
"Rotor peripheral velocity (on load)";7.0764;m/s;
"Flux Linkage D (Q axis current)";13.3148;mVs;
"Flux Linkage Q (Q axis current)";5.93334;mVs;
"Flux linkage D (On load)";13.115;mVs;
"Flux linkage Q (On load)";5.9664;mVs;
"Torque Constant (Kt)";0.0994468;Nm/A;
"Motor Constant (Km)";0.295474;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.11859;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.11882;Vs/Rad;
"Stall Current";317.805;Amps;
"Stall Torque";31.6047;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";3000;Hz;
"Fundamental Frequency";250;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
