Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";45.89;Volts;
"Line-Line Terminal Voltage (rms)";32.31;Volts;
"Phase Terminal Voltage (peak)";26.58;Volts;
"Phase Terminal Voltage (rms)";18.69;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.9688;%;
"Harmonic Distortion Phase Terminal Voltage";6.437;%;
"Back EMF Line-Line Voltage (peak)";39.48;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";39.61;Volts;
"Back EMF Phase Voltage (peak)";22.98;Volts;
"Back EMF Line-Line Voltage (rms)";28.01;Volts;
"Back EMF Phase Voltage (rms)";16.17;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.394;%;
"Harmonic Distortion Back EMF Phase Voltage";0.6589;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";20.14;Amps;
"Line Current (peak)";26.4;Amps;
"Line Current (rms)";18.67;Amps;
"Phase Current (peak)";26.4;Amps;
"Phase Current (rms)";18.67;Amps;
"Phase Advance";2.471;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.4866;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2805;mH;
"Q Axis Inductance";0.285;mH;
"Line-Line Inductance (DQ)";0.5655;mH;
"Self Inductance";0.3553;mH;
"Mutual Inductance";-0.03893;mH;
"Line-Line Inductance";0.7886;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.009614;mH;
"D Axis Phase Current (average rms)";-0.8049;Amps;
"Q Axis Phase Current (average rms)";18.65;Amps;
"Torque Constant (Kt)";0.1044;Nm/A;
"Motor Constant (Km)";0.2925;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1257;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1261;Vs/Rad;
"Electrical Constant";3.329;msec;
"Mechanical Constant";0.6313;msec;
"Electrical Loading";4.537E004;Amps/m;
"Stall Current";282.6;Amps;
"Stall Torque";29.5;Nm;
"Short Circuit Line Current (peak)";48.86;Amps;
"Short Circuit Current Density (peak)";36.59;Amps/mm©÷;
"Short Circuit Current Density (rms)";25.87;Amps/mm©÷;
"Short Circuit Braking Torque";-0.9682;Nm;
"Short Circuit Max Braking Torque";-2.605;Nm;
"Short Circuit Max Braking Torque Speed";578.3;rpm;
"Fundamental Frequency";250;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.4866 EDeg)";2.7642;Nm;
"Average torque (virtual work)";2.7613;Nm;
"Average torque (loop torque)";2.7461;Nm;
"Torque Ripple (MsVw)";0.028777;Nm;
"Torque Ripple (MsVw) [%]";1.0439;%;
"Cogging Torque Ripple (Vw)";0.036616;Nm;
"Speed limit for constant torque_(For Phase Advance of 2.471 EDeg)";3149.9;rpm;
"No load speed";3647.4;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";866.05;Watts;
"Input Power";955.94;Watts;
"Total Losses (on load)";143.9;Watts;
"Output Power";812.04;Watts;
"Converter Efficiency";98.909;%;
"Motor Efficiency";84.947;%;
"System Efficiency";84.021;%;
"Shaft Torque";2.5848;Nm;
"Power Factor [Waveform] (lagging)";0.91486;;
"Power Factor Angle [Waveform]";23.815;EDeg;
"Power Factor [THD]";0.91297;;
"Power Factor [Phasor] (lagging)";0.9205;;
"Power Factor Angle [Phasor]";23;EDeg;
"Load Angle [Phasor]";25.819;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";19.33;Volts;
"Rotor Inertia";9.7519E-005;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";0.00010353;kg.m©÷;
"Torque per rotor volume";41.2;kNm/m©ø;
"Rotor peripheral velocity (on load)";7.2492;m/s;
"Flux Linkage D (Q axis current)";13.9585;mVs;
"Flux Linkage Q (Q axis current)";7.34152;mVs;
"Flux linkage D (On load)";13.6636;mVs;
"Flux linkage Q (On load)";7.3894;mVs;
"Torque Constant (Kt)";0.104408;Nm/A;
"Motor Constant (Km)";0.292516;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.125668;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.12608;Vs/Rad;
"Stall Current";282.576;Amps;
"Stall Torque";29.5031;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";3000;Hz;
"Fundamental Frequency";250;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
