Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";47.9;Volts;
"Line-Line Terminal Voltage (rms)";33.86;Volts;
"Phase Terminal Voltage (peak)";27.47;Volts;
"Phase Terminal Voltage (rms)";19.59;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.352;%;
"Harmonic Distortion Phase Terminal Voltage";6.692;%;
"Back EMF Line-Line Voltage (peak)";40.18;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";40.26;Volts;
"Back EMF Phase Voltage (peak)";23.23;Volts;
"Back EMF Line-Line Voltage (rms)";28.47;Volts;
"Back EMF Phase Voltage (rms)";16.44;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.5959;%;
"Harmonic Distortion Back EMF Phase Voltage";0.8662;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";20.37;Amps;
"Line Current (peak)";26.12;Amps;
"Line Current (rms)";18.47;Amps;
"Phase Current (peak)";26.12;Amps;
"Phase Current (rms)";18.47;Amps;
"Phase Advance";2.593;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.3315;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.3306;mH;
"Q Axis Inductance";0.3337;mH;
"Line-Line Inductance (DQ)";0.6644;mH;
"Self Inductance";0.4045;mH;
"Mutual Inductance";-0.04689;mH;
"Line-Line Inductance";0.9028;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.009984;mH;
"D Axis Phase Current (average rms)";-0.8356;Amps;
"Q Axis Phase Current (average rms)";18.45;Amps;
"Torque Constant (Kt)";0.1054;Nm/A;
"Motor Constant (Km)";0.2735;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1279;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1282;Vs/Rad;
"Electrical Constant";3.354;msec;
"Mechanical Constant";0.7245;msec;
"Electrical Loading";4.479E004;Amps/m;
"Stall Current";242.3;Amps;
"Stall Torque";25.54;Nm;
"Short Circuit Line Current (peak)";41.8;Amps;
"Short Circuit Current Density (peak)";36.59;Amps/mm©÷;
"Short Circuit Current Density (rms)";25.87;Amps/mm©÷;
"Short Circuit Braking Torque";-0.8262;Nm;
"Short Circuit Max Braking Torque";-2.245;Nm;
"Short Circuit Max Braking Torque Speed";572.2;rpm;
"Fundamental Frequency";250;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.3315 EDeg)";2.756;Nm;
"Average torque (virtual work)";2.759;Nm;
"Average torque (loop torque)";2.7433;Nm;
"Torque Ripple (MsVw)";0.037146;Nm;
"Torque Ripple (MsVw) [%]";1.3491;%;
"Cogging Torque Ripple (Vw)";0.038953;Nm;
"Speed limit for constant torque_(For Phase Advance of 2.593 EDeg)";2996.5;rpm;
"No load speed";3583.9;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point near voltage limit.";864.97;Watts;
"Input Power";967.34;Watts;
"Total Losses (on load)";155.89;Watts;
"Output Power_Operating point near voltage limit.";811.45;Watts;
"Converter Efficiency";98.922;%;
"Motor Efficiency";83.885;%;
"System Efficiency";82.981;%;
"Shaft Torque";2.5829;Nm;
"Power Factor [Waveform] (lagging)";0.89307;;
"Power Factor Angle [Waveform]";26.738;EDeg;
"Power Factor [THD]";0.89108;;
"Power Factor [Phasor] (lagging)";0.89879;;
"Power Factor Angle [Phasor]";26;EDeg;
"Load Angle [Phasor]";28.683;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";20.326;Volts;
"Rotor Inertia";9.8609E-005;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";0.00010462;kg.m©÷;
"Torque per rotor volume";40.971;kNm/m©ø;
"Rotor peripheral velocity (on load)";7.2649;m/s;
"Flux Linkage D (Q axis current)";14.068;mVs;
"Flux Linkage Q (Q axis current)";8.5014;mVs;
"Flux linkage D (On load)";13.7328;mVs;
"Flux linkage Q (On load)";8.56317;mVs;
"Torque Constant (Kt)";0.105407;Nm/A;
"Motor Constant (Km)";0.273463;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.127895;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.12816;Vs/Rad;
"Stall Current";242.304;Amps;
"Stall Torque";25.5405;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";3000;Hz;
"Fundamental Frequency";250;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
