Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";43.43;Volts;
"Line-Line Terminal Voltage (rms)";31.03;Volts;
"Phase Terminal Voltage (peak)";25.31;Volts;
"Phase Terminal Voltage (rms)";17.92;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.55;%;
"Harmonic Distortion Phase Terminal Voltage";3.634;%;
"Back EMF Line-Line Voltage (peak)";39.3;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";39.62;Volts;
"Back EMF Phase Voltage (peak)";22.85;Volts;
"Back EMF Line-Line Voltage (rms)";28.02;Volts;
"Back EMF Phase Voltage (rms)";16.18;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";1.109;%;
"Harmonic Distortion Back EMF Phase Voltage";1.225;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";19.91;Amps;
"Line Current (peak)";25.58;Amps;
"Line Current (rms)";18.09;Amps;
"Phase Current (peak)";25.58;Amps;
"Phase Current (rms)";18.09;Amps;
"Phase Advance";2.287;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.6278;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1644;mH;
"Q Axis Inductance";0.1706;mH;
"Line-Line Inductance (DQ)";0.335;mH;
"Self Inductance";0.2839;mH;
"Mutual Inductance";-0.02627;mH;
"Line-Line Inductance";0.6204;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.009514;mH;
"D Axis Phase Current (average rms)";-0.7219;Amps;
"Q Axis Phase Current (average rms)";18.08;Amps;
"Torque Constant (Kt)";0.1073;Nm/A;
"Motor Constant (Km)";0.3042;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1251;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1261;Vs/Rad;
"Electrical Constant";2.02;msec;
"Mechanical Constant";0.8413;msec;
"Electrical Loading";4.117E004;Amps/m;
"Stall Current";289.5;Amps;
"Stall Torque";31.05;Nm;
"Short Circuit Line Current (peak)";83.3;Amps;
"Short Circuit Current Density (peak)";60.96;Amps/mm©÷;
"Short Circuit Current Density (rms)";43.11;Amps/mm©÷;
"Short Circuit Braking Torque";-2.747;Nm;
"Short Circuit Max Braking Torque";-4.72;Nm;
"Short Circuit Max Braking Torque Speed";963.2;rpm;
"Fundamental Frequency";250;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.6278 EDeg)";2.7598;Nm;
"Average torque (virtual work)";2.7501;Nm;
"Average torque (loop torque)";2.7385;Nm;
"Torque Ripple (MsVw)";0.043365;Nm;
"Torque Ripple (MsVw) [%]";1.5802;%;
"Cogging Torque Ripple (Vw)";0.093316;Nm;
"Speed limit for constant torque_(For Phase Advance of 2.287 EDeg)";3295.6;rpm;
"No load speed";3664.4;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";862.13;Watts;
"Input Power";945.25;Watts;
"Total Losses (on load)";136.88;Watts;
"Output Power";808.37;Watts;
"Converter Efficiency";98.897;%;
"Motor Efficiency";85.519;%;
"System Efficiency";84.576;%;
"Shaft Torque";2.5731;Nm;
"Power Factor [Waveform] (lagging)";0.97324;;
"Power Factor Angle [Waveform]";13.284;EDeg;
"Power Factor [THD]";0.9726;;
"Power Factor [Phasor] (lagging)";0.97437;;
"Power Factor Angle [Phasor]";13;EDeg;
"Load Angle [Phasor]";15.661;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";18.163;Volts;
"Rotor Inertia";0.00013616;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";0.00014216;kg.m©÷;
"Torque per rotor volume";35.867;kNm/m©ø;
"Rotor peripheral velocity (on load)";7.7519;m/s;
"Flux Linkage D (Q axis current)";14.3824;mVs;
"Flux Linkage Q (Q axis current)";4.28646;mVs;
"Flux linkage D (On load)";14.2176;mVs;
"Flux linkage Q (On load)";4.28284;mVs;
"Torque Constant (Kt)";0.107268;Nm/A;
"Motor Constant (Km)";0.30417;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.125087;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.126112;Vs/Rad;
"Stall Current";289.463;Amps;
"Stall Torque";31.0502;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";3000;Hz;
"Fundamental Frequency";250;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
