Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";31.21;Volts;
"Line-Line Terminal Voltage (rms)";22.22;Volts;
"Phase Terminal Voltage (peak)";17.95;Volts;
"Phase Terminal Voltage (rms)";12.84;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.8751;%;
"Harmonic Distortion Phase Terminal Voltage";3.737;%;
"Back EMF Line-Line Voltage (peak)";25.12;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";25.16;Volts;
"Back EMF Phase Voltage (peak)";14.59;Volts;
"Back EMF Line-Line Voltage (rms)";17.79;Volts;
"Back EMF Phase Voltage (rms)";10.27;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.1441;%;
"Harmonic Distortion Back EMF Phase Voltage";0.588;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";12.97;Amps;
"Line Current (peak)";23.96;Amps;
"Line Current (rms)";16.94;Amps;
"Phase Current (peak)";23.96;Amps;
"Phase Current (rms)";16.94;Amps;
"Phase Advance";2.463;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.4167;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2766;mH;
"Q Axis Inductance";0.2807;mH;
"Line-Line Inductance (DQ)";0.5573;mH;
"Self Inductance";0.3053;mH;
"Mutual Inductance";-0.03077;mH;
"Line-Line Inductance";0.672;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.0107;mH;
"D Axis Phase Current (average rms)";-0.728;Amps;
"Q Axis Phase Current (average rms)";16.92;Amps;
"Torque Constant (Kt)";0.1011;Nm/A;
"Motor Constant (Km)";0.2376;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.12;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1201;Vs/Rad;
"Electrical Constant";2.307;msec;
"Mechanical Constant";1.183;msec;
"Electrical Loading";3.914E004;Amps/m;
"Stall Current";198.7;Amps;
"Stall Torque";20.1;Nm;
"Short Circuit Line Current (peak)";45.02;Amps;
"Short Circuit Current Density (peak)";47.37;Amps/mm©÷;
"Short Circuit Current Density (rms)";33.5;Amps/mm©÷;
"Short Circuit Braking Torque";-1.753;Nm;
"Short Circuit Max Braking Torque";-2.468;Nm;
"Short Circuit Max Braking Torque Speed";833.8;rpm;
"Fundamental Frequency";166.7;Hz;
"Shaft Speed";2000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.4167 EDeg)";2.4242;Nm;
"Average torque (virtual work)";2.4256;Nm;
"Average torque (loop torque)";2.4104;Nm;
"Torque Ripple (MsVw)";0.026938;Nm;
"Torque Ripple (MsVw) [%]";1.1118;%;
"Cogging Torque Ripple (Vw)";0.029929;Nm;
"Speed limit for constant torque_(For Phase Advance of 2.463 EDeg)";3229.2;rpm;
"No load speed";3820.9;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";507.47;Watts;
"Input Power";611.83;Watts;
"Total Losses (on load)";132.71;Watts;
"Output Power";479.11;Watts;
"Converter Efficiency";98.306;%;
"Motor Efficiency";78.309;%;
"System Efficiency";76.982;%;
"Shaft Torque";2.2876;Nm;
"Power Factor [Waveform] (lagging)";0.93714;;
"Power Factor Angle [Waveform]";20.423;EDeg;
"Power Factor [THD]";0.93649;;
"Power Factor [Phasor] (lagging)";0.93969;;
"Power Factor Angle [Phasor]";20;EDeg;
"Load Angle [Phasor]";22.699;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";13.12;Volts;
"Rotor Inertia";0.00011889;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";0.00012489;kg.m©÷;
"Torque per rotor volume";33.475;kNm/m©ø;
"Rotor peripheral velocity (on load)";5.0265;m/s;
"Flux Linkage D (Q axis current)";13.4919;mVs;
"Flux Linkage Q (Q axis current)";6.59098;mVs;
"Flux linkage D (On load)";13.2409;mVs;
"Flux linkage Q (On load)";6.63205;mVs;
"Torque Constant (Kt)";0.101139;Nm/A;
"Motor Constant (Km)";0.237633;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.119962;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.120119;Vs/Rad;
"Stall Current";198.735;Amps;
"Stall Torque";20.0999;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2000;Hz;
"Fundamental Frequency";166.667;Hz;
"Mechanical Frequency";33.3333;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
