Drive
"DC Bus Voltage";0;Volts;
"Line-Line Supply Voltage (rms)";0;Volts;
"Phase Supply Voltage (rms)";0;Volts;
"Line-Line Terminal Voltage (peak)";12.28;Volts;
"Line-Line Terminal Voltage (rms)";8.725;Volts;
"Phase Terminal Voltage (peak)";7.086;Volts;
"Phase Terminal Voltage (rms)";5.038;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.4449;%;
"Harmonic Distortion Phase Terminal Voltage";0.5708;%;
"Back EMF Line-Line Voltage (peak)";12.28;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";12.34;Volts;
"Back EMF Phase Voltage (peak)";7.086;Volts;
"Back EMF Line-Line Voltage (rms)";8.725;Volts;
"Back EMF Phase Voltage (rms)";5.038;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.4449;%;
"Harmonic Distortion Back EMF Phase Voltage";0.5708;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";INF;Amps;
"Line Current (peak)";0;Amps;
"Line Current (rms)";0;Amps;
"Phase Current (peak)";0;Amps;
"Phase Current (rms)";0;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0;mH;
"Q Axis Inductance";0;mH;
"Line-Line Inductance (DQ)";0;mH;
"Self Inductance";0.3756;mH;
"Mutual Inductance";-0.0426;mH;
"Line-Line Inductance";0.8363;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008089;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";0;Amps;
"Torque Constant (Kt)";-INF;Nm/A;
"Motor Constant (Km)";-INF;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1172;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1178;Vs/Rad;
"Electrical Constant";0;msec;
"Mechanical Constant";0;msec;
"Electrical Loading";0;Amps/m;
"Stall Current";0;Amps;
"Stall Torque";0;Nm;
"Short Circuit Line Current (peak)";106.5;Amps;
"Short Circuit Current Density (peak)";69.2;Amps/mm©÷;
"Short Circuit Current Density (rms)";48.93;Amps/mm©÷;
"Short Circuit Braking Torque";-10.89;Nm;
"Short Circuit Max Braking Torque";0;Nm;
"Short Circuit Max Braking Torque Speed";0;rpm;
"Fundamental Frequency";83.33;Hz;
"Shaft Speed";1000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";0;Nm;
"Average torque (virtual work)";-0.00025203;Nm;
"Average torque (loop torque)";0;Nm;
"Torque Ripple (MsVw)";0.017024;Nm;
"Torque Ripple (MsVw) [%]";-14732;%;
"Cogging Torque Ripple (Vw)";0.018323;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";0;rpm;
"No load speed";0;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";-0.012101;Watts;
"Input Power";-13.829;Watts;
"Total Losses (on load)";13.847;Watts;
"Output Power_Operating point outside voltage limit.";0.017346;Watts;
"Converter Efficiency";56.749;%;
"Motor Efficiency";0.12543;%;
"System Efficiency";0.071181;%;
"Shaft Torque";-0.13206;Nm;
"Power Factor [Waveform] (leading)";-0.96621;;
"Power Factor Angle [Waveform]";-165.06;EDeg;
"Power Factor [THD]";-0.96619;;
"Power Factor [Phasor] (leading)";1;;
"Power Factor Angle [Phasor]";0;EDeg;
"Load Angle [Phasor]";0;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";5.0376;Volts;
"Rotor Inertia";8.9572E-005;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";9.5579E-005;kg.m©÷;
"Torque per rotor volume";-0.0017846;kNm/m©ø;
"Rotor peripheral velocity (on load)";2.3771;m/s;
"Flux Linkage D (Q axis current)";13.6317;mVs;
"Flux Linkage Q (Q axis current)";-0.0142508;mVs;
"Flux linkage D (On load)";13.631;mVs;
"Flux linkage Q (On load)";-0.0147749;mVs;
"Torque Constant (Kt)";-INF;Nm/A;
"Motor Constant (Km)";-INF;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.117239;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.117832;Vs/Rad;
"Stall Current";0;Amps;
"Stall Torque";0;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";1000;Hz;
"Fundamental Frequency";83.3333;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
"Magnetic Axial Length (Slice3)";5.53;mm;
"Magnetic Axial Length (Slice4)";5.53;mm;
"Magnetic Axial Length (Slice5)";5.53;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";0;Nm;
"Average torque (virtual work)";-0.00025203;Nm;
"Average torque (loop torque)";0;Nm;
"Torque Ripple (MsVw)";0.017024;Nm;
"Torque Ripple (MsVw) [%]";-14732;%;
"Cogging Torque Ripple (Vw)";0.018323;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";0;rpm;
"No load speed";0;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";-0.012101;Watts;
"Input Power";-13.829;Watts;
"Total Losses (on load)";13.847;Watts;
