Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";43.98;Volts;
"Line-Line Terminal Voltage (rms)";30.91;Volts;
"Phase Terminal Voltage (peak)";25.54;Volts;
"Phase Terminal Voltage (rms)";17.91;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.176;%;
"Harmonic Distortion Phase Terminal Voltage";8.7;%;
"Back EMF Line-Line Voltage (peak)";37.26;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";37.54;Volts;
"Back EMF Phase Voltage (peak)";21.56;Volts;
"Back EMF Line-Line Voltage (rms)";26.55;Volts;
"Back EMF Phase Voltage (rms)";15.33;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.8294;%;
"Harmonic Distortion Back EMF Phase Voltage";0.9296;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";20.22;Amps;
"Line Current (peak)";28.4;Amps;
"Line Current (rms)";20.08;Amps;
"Phase Current (peak)";28.4;Amps;
"Phase Current (rms)";20.08;Amps;
"Phase Advance";1.811;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.3808;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2715;mH;
"Q Axis Inductance";0.2746;mH;
"Line-Line Inductance (DQ)";0.5461;mH;
"Self Inductance";0.3735;mH;
"Mutual Inductance";-0.04247;mH;
"Line-Line Inductance";0.8319;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008089;mH;
"D Axis Phase Current (average rms)";-0.6346;Amps;
"Q Axis Phase Current (average rms)";20.07;Amps;
"Torque Constant (Kt)";0.09771;Nm/A;
"Motor Constant (Km)";0.297;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1186;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1195;Vs/Rad;
"Electrical Constant";3.783;msec;
"Mechanical Constant";0.5579;msec;
"Electrical Loading";4.959E004;Amps/m;
"Stall Current";332.5;Amps;
"Stall Torque";32.49;Nm;
"Short Circuit Line Current (peak)";47.48;Amps;
"Short Circuit Current Density (peak)";30.85;Amps/mm©÷;
"Short Circuit Current Density (rms)";21.81;Amps/mm©÷;
"Short Circuit Braking Torque";-0.777;Nm;
"Short Circuit Max Braking Torque";-2.361;Nm;
"Short Circuit Max Braking Torque Speed";507.7;rpm;
"Fundamental Frequency";250;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.3808 EDeg)";2.7848;Nm;
"Average torque (virtual work)";2.781;Nm;
"Average torque (loop torque)";2.766;Nm;
"Torque Ripple (MsVw)";0.027649;Nm;
"Torque Ripple (MsVw) [%]";0.99647;%;
"Cogging Torque Ripple (Vw)";0.02465;Nm;
"Speed limit for constant torque_(For Phase Advance of 1.811 EDeg)";3296.1;rpm;
"No load speed";3865.1;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";871.69;Watts;
"Input Power";959.97;Watts;
"Total Losses (on load)";148.55;Watts;
"Output Power";811.42;Watts;
"Converter Efficiency";98.914;%;
"Motor Efficiency";84.526;%;
"System Efficiency";83.608;%;
"Shaft Torque";2.5828;Nm;
"Power Factor [Waveform] (lagging)";0.89373;;
"Power Factor Angle [Waveform]";26.654;EDeg;
"Power Factor [THD]";0.89037;;
"Power Factor [Phasor] (lagging)";0.89879;;
"Power Factor Angle [Phasor]";26;EDeg;
"Load Angle [Phasor]";27.8;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";18.658;Volts;
"Rotor Inertia";8.9572E-005;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";9.5579E-005;kg.m©÷;
"Torque per rotor volume";42.85;kNm/m©ø;
"Rotor peripheral velocity (on load)";7.1314;m/s;
"Flux Linkage D (Q axis current)";13.0753;mVs;
"Flux Linkage Q (Q axis current)";7.57337;mVs;
"Flux linkage D (On load)";12.8479;mVs;
"Flux linkage Q (On load)";7.62923;mVs;
"Torque Constant (Kt)";0.0977083;Nm/A;
"Motor Constant (Km)";0.296953;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.11859;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.119495;Vs/Rad;
"Stall Current";332.517;Amps;
"Stall Torque";32.4897;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";3000;Hz;
"Fundamental Frequency";250;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
