Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";44.31;Volts;
"Line-Line Terminal Voltage (rms)";31.24;Volts;
"Phase Terminal Voltage (peak)";25.73;Volts;
"Phase Terminal Voltage (rms)";18.1;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.276;%;
"Harmonic Distortion Phase Terminal Voltage";8.393;%;
"Back EMF Line-Line Voltage (peak)";37.63;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";37.91;Volts;
"Back EMF Phase Voltage (peak)";21.76;Volts;
"Back EMF Line-Line Voltage (rms)";26.81;Volts;
"Back EMF Phase Voltage (rms)";15.48;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";1.021;%;
"Harmonic Distortion Back EMF Phase Voltage";1.126;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";20.56;Amps;
"Line Current (peak)";28.62;Amps;
"Line Current (rms)";20.24;Amps;
"Phase Current (peak)";28.62;Amps;
"Phase Current (rms)";20.24;Amps;
"Phase Advance";2.828;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.3656;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2816;mH;
"Q Axis Inductance";0.2846;mH;
"Line-Line Inductance (DQ)";0.5662;mH;
"Self Inductance";0.373;mH;
"Mutual Inductance";-0.04233;mH;
"Line-Line Inductance";0.8306;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008089;mH;
"D Axis Phase Current (average rms)";-0.9986;Amps;
"Q Axis Phase Current (average rms)";20.22;Amps;
"Torque Constant (Kt)";0.09862;Nm/A;
"Motor Constant (Km)";0.2997;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1198;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1207;Vs/Rad;
"Electrical Constant";3.922;msec;
"Mechanical Constant";0.5474;msec;
"Electrical Loading";4.999E004;Amps/m;
"Stall Current";332.5;Amps;
"Stall Torque";32.79;Nm;
"Short Circuit Line Current (peak)";46.22;Amps;
"Short Circuit Current Density (peak)";30.03;Amps/mm©÷;
"Short Circuit Current Density (rms)";21.23;Amps/mm©÷;
"Short Circuit Braking Torque";-0.7362;Nm;
"Short Circuit Max Braking Torque";-2.316;Nm;
"Short Circuit Max Braking Torque Speed";489.5;rpm;
"Fundamental Frequency";250;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.3656 EDeg)";2.8315;Nm;
"Average torque (virtual work)";2.829;Nm;
"Average torque (loop torque)";2.813;Nm;
"Torque Ripple (MsVw)";0.026343;Nm;
"Torque Ripple (MsVw) [%]";0.93324;%;
"Cogging Torque Ripple (Vw)";0.028557;Nm;
"Speed limit for constant torque_(For Phase Advance of 2.828 EDeg)";3262.8;rpm;
"No load speed";3827.1;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";886.8;Watts;
"Input Power";976.51;Watts;
"Total Losses (on load)";165.45;Watts;
"Output Power";811.06;Watts;
"Converter Efficiency";98.932;%;
"Motor Efficiency";83.057;%;
"System Efficiency";82.171;%;
"Shaft Torque";2.5817;Nm;
"Power Factor [Waveform] (lagging)";0.89203;;
"Power Factor Angle [Waveform]";26.87;EDeg;
"Power Factor [THD]";0.88891;;
"Power Factor [Phasor] (lagging)";0.89879;;
"Power Factor Angle [Phasor]";26;EDeg;
"Load Angle [Phasor]";28.907;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";18.842;Volts;
"Rotor Inertia";8.9572E-005;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";9.5579E-005;kg.m©÷;
"Torque per rotor volume";43.593;kNm/m©ø;
"Rotor peripheral velocity (on load)";7.1314;m/s;
"Flux Linkage D (Q axis current)";13.1891;mVs;
"Flux Linkage Q (Q axis current)";7.91304;mVs;
"Flux linkage D (On load)";12.8206;mVs;
"Flux linkage Q (On load)";7.99408;mVs;
"Torque Constant (Kt)";0.0986166;Nm/A;
"Motor Constant (Km)";0.299713;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.11977;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.120668;Vs/Rad;
"Stall Current";332.517;Amps;
"Stall Torque";32.7917;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";3000;Hz;
"Fundamental Frequency";250;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
