Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";43.57;Volts;
"Line-Line Terminal Voltage (rms)";30.58;Volts;
"Phase Terminal Voltage (peak)";25.39;Volts;
"Phase Terminal Voltage (rms)";17.73;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.192;%;
"Harmonic Distortion Phase Terminal Voltage";8.952;%;
"Back EMF Line-Line Voltage (peak)";37.11;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";37.24;Volts;
"Back EMF Phase Voltage (peak)";21.4;Volts;
"Back EMF Line-Line Voltage (rms)";26.33;Volts;
"Back EMF Phase Voltage (rms)";15.2;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.3685;%;
"Harmonic Distortion Back EMF Phase Voltage";0.5418;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";20.08;Amps;
"Line Current (peak)";28.43;Amps;
"Line Current (rms)";20.1;Amps;
"Phase Current (peak)";28.43;Amps;
"Phase Current (rms)";20.1;Amps;
"Phase Advance";1.684;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.5264;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2635;mH;
"Q Axis Inductance";0.2677;mH;
"Line-Line Inductance (DQ)";0.5312;mH;
"Self Inductance";0.3734;mH;
"Mutual Inductance";-0.04256;mH;
"Line-Line Inductance";0.8319;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008089;mH;
"D Axis Phase Current (average rms)";-0.5907;Amps;
"Q Axis Phase Current (average rms)";20.09;Amps;
"Torque Constant (Kt)";0.09686;Nm/A;
"Motor Constant (Km)";0.2944;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1181;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1185;Vs/Rad;
"Electrical Constant";3.68;msec;
"Mechanical Constant";0.565;msec;
"Electrical Loading";4.964E004;Amps/m;
"Stall Current";332.5;Amps;
"Stall Torque";32.21;Nm;
"Short Circuit Line Current (peak)";48.48;Amps;
"Short Circuit Current Density (peak)";31.5;Amps/mm©÷;
"Short Circuit Current Density (rms)";22.27;Amps/mm©÷;
"Short Circuit Braking Torque";-0.8101;Nm;
"Short Circuit Max Braking Torque";-2.393;Nm;
"Short Circuit Max Braking Torque Speed";523.2;rpm;
"Fundamental Frequency";250;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.5264 EDeg)";2.7647;Nm;
"Average torque (virtual work)";2.7598;Nm;
"Average torque (loop torque)";2.7457;Nm;
"Torque Ripple (MsVw)";0.027357;Nm;
"Torque Ripple (MsVw) [%]";0.99361;%;
"Cogging Torque Ripple (Vw)";0.021491;Nm;
"Speed limit for constant torque_(For Phase Advance of 1.684 EDeg)";3332.7;rpm;
"No load speed";3880.2;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";864.98;Watts;
"Input Power";953.43;Watts;
"Total Losses (on load)";141.96;Watts;
"Output Power";811.47;Watts;
"Converter Efficiency";98.907;%;
"Motor Efficiency";85.111;%;
"System Efficiency";84.18;%;
"Shaft Torque";2.583;Nm;
"Power Factor [Waveform] (lagging)";0.8964;;
"Power Factor Angle [Waveform]";26.311;EDeg;
"Power Factor [THD]";0.89283;;
"Power Factor [Phasor] (lagging)";0.89879;;
"Power Factor Angle [Phasor]";26;EDeg;
"Load Angle [Phasor]";27.359;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";18.475;Volts;
"Rotor Inertia";8.9572E-005;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";9.5579E-005;kg.m©÷;
"Torque per rotor volume";42.52;kNm/m©ø;
"Rotor peripheral velocity (on load)";7.1314;m/s;
"Flux Linkage D (Q axis current)";12.9676;mVs;
"Flux Linkage Q (Q axis current)";7.38432;mVs;
"Flux linkage D (On load)";12.7608;mVs;
"Flux linkage Q (On load)";7.43675;mVs;
"Torque Constant (Kt)";0.0968603;Nm/A;
"Motor Constant (Km)";0.294375;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.11813;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.118531;Vs/Rad;
"Stall Current";332.517;Amps;
"Stall Torque";32.2077;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";3000;Hz;
"Fundamental Frequency";250;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
