Drive
"Line-Line Supply Voltage (rms)";220;Volts;
"Phase Supply Voltage (rms)";220;Volts;
"No Load Line Current (rms)";0.2652;Amps;
"No Load Input active power";31.27;Watts;
"Fundamental Frequency";60;Hz;
"Synchronous speed";1800;rpm;
"Shaft Speed";1697;rpm;
Slip_(Motoring);0.05745;;
"Drive frequency";60;Hz;
"Slip Frequency";56.55;Hz;
"Mechanical Frequency";28.28;Hz;
"Locked rotor airgap torque";0.2548;Nm;
"Locked rotor line current (rms)";1.174;Amps;
"Locked rotor input power";237.6;Watts;
"Breakdown airgap torque";0.6221;Nm;
"Breakdown shaft torque";0.6014;Nm;
"Breakdown line current (rms)";0.8542;Amps;
"Breakdown slip";0.3103;p.u.;
"Breakdown speed";1241;rpm;
"Breakdown input active power";180.1;Watts;
"Breakdown output active power";78.18;Watts;
"Ratio Locked rotor / on load airgap torque";1.003;p.u.;
"Ratio Locked rotor / on load current";3.262;p.u.;
"Ratio Breakdown / on load airgap torque";2.448;p.u.;
"Ratio Breakdown / on load current";2.374;p.u.;
"Ratio Breakdown / locked rotor airgap torque";2.442;p.u.;
"Ratio Breakdown / locked rotor current";0.7279;p.u.;

E-Magnetics
"Requested on load torque";0.2295;Nm;
"Airgap Torque (on load)";0.25413;Nm;
"Pulsating Torque";0.21856;Nm;
"Shaft Torque";0.23342;Nm;
"Output Mechanical Power";41.471;Watts;
"Input Active Electrical Power (from Power Balance)";87.44;Watts;
"Input Active Electrical Power (ideal)";70.422;Watts;
"Power Factor (on load) (Phasor)";0.88971;;
"System Efficiency";47.428;%;
"Rotor Inertia";0.00014353;kg.m©÷;
"Shaft Inertia";4.0823E-006;kg.m©÷;
"Total Inertia";0.00014762;kg.m©÷;
"Torque per rotor volume";0;kNm/m©ø;
"Rotor peripheral velocity (on load)";0;m/s;
"Magnetic Axial Length";45;mm;
"Magnetic Axial Length Multiplier";1;;
"Stator Carter Coefficient";1.2643;;
"Rotor Carter Coefficient";1.0342;;
"Total Carter Coefficient";1.3075;;
"Stator Terminal Phase Voltage (rms) (on load)";220;Volts;
"Aux Stator Voltage (rms)";234.54;Volts;
"Aux Stator Voltage Angle";97.926;EDeg;
"Voltage drop across stator phase resistance (rms)";28.724;Volts;
"Aux Winding Stator Voltage (rms)";26.674;Volts;
"Main Winding Back EMF Phase Voltage (rms) (on load)";196.22;Volts;
"Aux Winding Back EMF Phase Voltage (rms) (on load)";205.49;Volts;
"Ideal Back EMF Phase Voltage (rms)";285.25;Volts;
"Auxiliary Capacitance Voltage";342.99;Volts;
"Auxiliary Resistor Voltage";0;Volts;
"Line Current (rms) (on load)";0.35978;Amps;
"Main Winding Phase Current (rms)";0.41461;Amps;
"Main Winding Phase Current Angle";284.12;EDeg;
"Aux Winding Phase Current (rms)";0.32326;Amps;
"Aux Winding Phase Current Angle";47.367;EDeg;
"Main Winding Referred Rotor Current (H1)";0.093038;Amps;
"Aux Winding Referred Rotor Current (H1)";0.20259;Amps;
"Magnetizing Current (no load)";0.42725;Amps;
"Magnetizing Current (rms) (on load)";0.33466;Amps;
"Aux Magnetizing Current (rms) (on load)";0.32121;Amps;
"Main Winding Torque Production Current (rms) (on load)";0.41136;Amps;
"Aux Winding Torque Production Current (rms) (on load)";0.30064;Amps;
"Main Winding Core Loss Current (rms) (on load)";0.042721;Amps;
