Drive
"DC Bus Voltage";430;Volts;
"Line-Line Supply Voltage (rms)";304.1;Volts;
"Phase Supply Voltage (rms)";175.5;Volts;
"Line-Line Terminal Voltage (peak)";884.7;Volts;
"Line-Line Terminal Voltage (rms)";620.6;Volts;
"Phase Terminal Voltage (peak)";476.9;Volts;
"Phase Terminal Voltage (rms)";361.1;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";12.28;%;
"Harmonic Distortion Phase Terminal Voltage";17.54;%;
"Back EMF Line-Line Voltage (peak)";669.9;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";651;Volts;
"Back EMF Phase Voltage (peak)";378.4;Volts;
"Back EMF Line-Line Voltage (rms)";460.6;Volts;
"Back EMF Phase Voltage (rms)";267.2;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";3.423;%;
"Harmonic Distortion Back EMF Phase Voltage";10.33;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";737;Amps;
"Line Current (peak)";480.8;Amps;
"Line Current (rms)";340;Amps;
"Phase Current (peak)";480.8;Amps;
"Phase Current (rms)";340;Amps;
"Phase Advance";45;EDeg;
"Drive Offset Angle (Open Circuit)";0;EDeg;
"Drive Offset Angle (On load)";0;EDeg;
"Phase Advance to give maximum torque";32.77;EDeg;
"Phasor Offset Angle";345;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1115;mH;
"Q Axis Inductance";0.2826;mH;
"Line-Line Inductance (DQ)";0.4011;mH;
"Armature End Winding Inductance_(Hanselman)";0.00308;mH;
"D Axis Phase Current (average rms)";-240.4;Amps;
"Q Axis Phase Current (average rms)";240.4;Amps;
"Torque Constant (Kt)";0.5133;Nm/A;
"Motor Constant (Km)";4.268;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.5331;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.5181;Vs/Rad;
"Electrical Constant";20.44;msec;
"Mechanical Constant";1.032;msec;
"Electrical Loading";9.839E004;Amps/m;
"Stall Current";2.23E004;Amps;
"Stall Torque";1.145E004;Nm;
"Short Circuit Line Current (peak)";566.5;Amps;
"Short Circuit Current Density (peak)";28.18;Amps/mm©÷;
"Short Circuit Current Density (rms)";19.92;Amps/mm©÷;
"Short Circuit Braking Torque";-3.693;Nm;
"Short Circuit Max Braking Torque";-129.5;Nm;
"Short Circuit Max Braking Torque Speed";183.1;rpm;
"Fundamental Frequency";800;Hz;
"Shaft Speed";1.2E004;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 32.77 EDeg)";260.68;Nm;
"Average torque (virtual work)";247.02;Nm;
"Average torque (loop torque)";246.84;Nm;
"Torque Ripple (MsVw)";24.982;Nm;
"Torque Ripple (MsVw) [%]";10.122;%;
"Cogging Torque Ripple (Vw)";18.226;Nm;
"Speed limit for constant torque_(For Phase Advance of 45 EDeg)";5872.9;rpm;
"No load speed";7702.4;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";3.1013E005;Watts;
"Input Power";3.169E005;Watts;
"Total Losses (on load)";9146.4;Watts;
"Output Power_Operating point outside voltage limit.";3.0775E005;Watts;
"System Efficiency";97.114;%;
"Shaft Torque";244.9;Nm;
"Power Factor [Waveform] (lagging)";0.8648;;
"Power Factor Angle [Waveform]";30.14;EDeg;
"Power Factor [THD]";0.8518;;
"Power Factor [Phasor] (lagging)";0.91355;;
"Power Factor Angle [Phasor]";24;EDeg;
"Load Angle [Phasor]";68.604;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";369.28;Volts;
"Rotor Inertia";0.029292;kg.m©÷;
"Shaft Inertia";0.00045362;kg.m©÷;
"Total Inertia";0.029745;kg.m©÷;
"Torque per rotor volume";123.96;kNm/m©ø;
"Rotor peripheral velocity (on load)";81.681;m/s;
"Flux Linkage D (Q axis current)";62.9378;mVs;
"Flux Linkage Q (Q axis current)";87.8602;mVs;
"Flux linkage D (On load)";25.0141;mVs;
"Flux linkage Q (On load)";96.0854;mVs;
"Torque Constant (Kt)";0.513268;Nm/A;
"Motor Constant (Km)";4.26842;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.533106;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.518064;Vs/Rad;
"Stall Current";22303.7;Amps;
"Stall Torque";11447.7;Nm;
"Cogging Period";7.5;MDeg;
"Cogging Frequency";9600;Hz;
"Fundamental Frequency";800;Hz;
"Mechanical Frequency";200;Hz;
"Optimum Skewing Angle";7.5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";150;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 32.77 EDeg)";260.68;Nm;
"Average torque (virtual work)";247.02;Nm;
"Average torque (loop torque)";246.84;Nm;
"Torque Ripple (MsVw)";24.982;Nm;
"Torque Ripple (MsVw) [%]";10.122;%;
"Cogging Torque Ripple (Vw)";18.226;Nm;
"Speed limit for constant torque_(For Phase Advance of 45 EDeg)";5872.9;rpm;
"No load speed";7702.4;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";3.1013E005;Watts;
"Input Power";3.169E005;Watts;
"Total Losses (on load)";9146.4;Watts;
"Output Power_Operating point outside voltage limit.";3.0775E005;Watts;
"System Efficiency";97.114;%;
"Shaft Torque";244.9;Nm;
"Power Factor [Waveform] (lagging)";0.8648;;
"Power Factor Angle [Waveform]";30.14;EDeg;
"Power Factor [THD]";0.8518;;
"Power Factor [Phasor] (lagging)";0.91355;;
"Power Factor Angle [Phasor]";24;EDeg;
"Load Angle [Phasor]";68.604;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";369.28;Volts;
"Rotor Inertia";0.029292;kg.m©÷;
"Shaft Inertia";0.00045362;kg.m©÷;
"Total Inertia";0.029745;kg.m©÷;
"Torque per rotor volume";123.96;kNm/m©ø;
"Rotor peripheral velocity (on load)";81.681;m/s;
"Flux Linkage D (Q axis current)";62.9378;mVs;
"Flux Linkage Q (Q axis current)";87.8602;mVs;
"Flux linkage D (On load)";25.0141;mVs;
"Flux linkage Q (On load)";96.0854;mVs;
"Torque Constant (Kt)";0.513268;Nm/A;
"Motor Constant (Km)";4.26842;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.533106;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.518064;Vs/Rad;
"Stall Current";22303.7;Amps;
"Stall Torque";11447.7;Nm;
"Cogging Period";7.5;MDeg;
"Cogging Frequency";9600;Hz;
"Fundamental Frequency";800;Hz;
