Drive
"DC Bus Voltage";400;Volts;
"Line-Line Supply Voltage (rms)";282.8;Volts;
"Phase Supply Voltage (rms)";163.3;Volts;
"Line Current (rms)";460;Amps;
"Line Current (peak)";650.5;Amps;
"No Load Input active power";10.34;kW;
"Fundamental Frequency";757.6;Hz;
"Synchronous speed";1.515E004;rpm;
"Shaft Speed";1.5E004;rpm;
Slip_(Motoring);0.01;;
"Drive frequency";757.6;Hz;
"Slip Frequency";750;Hz;
"Mechanical Frequency";250;Hz;
"Skew factor of first harmonic";0.9956;;

E-Magnetics
"Airgap Torque (on load)";120.19;Nm;
"Shaft Torque";118.99;Nm;
"Output Mechanical Power_Operating point outside voltage limit.";186.91;kW;
"Input Active Electrical Power (from Power Balance)";195.93;kW;
"Input Active Electrical Power (ideal)";196.19;kW;
"Input Reactive Power (on load)";1.282E005;VA;
"Apparent Power";2.3437E005;VA;
"Power Factor (on load) (Phasor)";0.83712;;
"Power Factor (on load) (from Power Balance)";0.83602;;
"System Efficiency";95.394;%;
"Rotor Inertia";0.038531;kg.m©÷;
"Shaft Inertia";0.0014301;kg.m©÷;
"Total Inertia";0.039961;kg.m©÷;
"Torque per rotor volume";52.053;kNm/m©ø;
"Rotor peripheral velocity (on load)";109.96;m/s;
"Magnetic Symmetry Factor";1;;
"Magnetic Axial Length";150;mm;
"Magnetic Axial Length Multiplier";1;;
"Stator Carter Coefficient";1.1247;;
"Rotor Carter Coefficient";1.0014;;
"Total Carter Coefficient";1.1263;;
"Back EMF Line Voltage (rms)(on load)(T circuit)";267.93;Volts;
"Back EMF Line Voltage (rms) (on load)(L circuit)";290.24;Volts;
"Back EMF Phase Voltage (rms)(on load)(T circuit)";154.69;Volts;
"Back EMF Phase Voltage (rms) (on load)(L circuit)";167.57;Volts;
"Stator Terminal Line Voltage (rms) (on load)";294.16;Volts;
"Stator Terminal Phase Voltage (rms) (on load)";169.83;Volts;
"Voltage drop across stator phase resistance (rms)";2.7095;Volts;
"Voltage drop across rotor leakage reactance (rms)";46.374;Volts;
"Ideal Back EMF Phase Voltage (rms)";150.27;Volts;
"Line Current (rms) (on load)";460;Amps;
"Phase Current (rms) (on load)";460;Amps;
"Referred Rotor Current (rms) (on load)";430.85;Amps;
"Rotor Bar Current (rms) (on load)";511.09;Amps;
"Endring Current (rms) (on load)";1579.6;Amps;
"Magnetizing Current (no load)";219.91;Amps;
"Magnetizing Current (rms) (on load)";70.841;Amps;
"Core Loss Current (rms) (on load) (T circuit)";3.2101;Amps;
"Core Loss Current (rms) (on load) (L circuit)";2.9634;Amps;

Equivalent Circuit
"Magnetizing Inductance (Unsaturated) (no skew)";0.4717;mH;
"Magnetizing Inductance (Unsaturated)";0.4717;mH;
"Magnetizing Inductance (Saturated) (on load)";0.4586;mH;
"Magnetizing Reactance (Unsaturated)";2.245;Ohms;
"Magnetizing Reactance (Saturated) (on load)";2.183;Ohms;
"Saturation Factor (on load)";0.9723;;
"Core Loss Resistance (no load)";5.094;Ohms;
"Core Loss Resistance (Analytic on load)";48.19;Ohms;
"Rotor to Stator Transform for Impedance";27.21;;
"Rotor to Stator Transform for Current";1.186;;
"Leakage Factor";1.026;;
"Phase Resistance";0.00589;Ohms;
"Rotor Bar Resistance (no skin effects)";0.0001079;Ohms;
"Rotor Bar Resistance (skin effects)";0.0001088;Ohms;
"Endring Resistance";8.358E-007;Ohms;
"Rotor Resistance (total)";0.0001248;Ohms;
"Referred Rotor Bar Resistance (no skin effects)";0.002934;Ohms;
"Referred Rotor Bar Resistance (skin effects)";0.00296;Ohms;
"Referred Endring Resistance";2.274E-005;Ohms;
"Referred Rotor Resistance (Total) (Skewed)";0.003424;Ohms;
"K Rotor";1.009;;
"K Endring";1.161;;
"Rotor Bar Cross sectional area";42.41;mm©÷;
"Top Rotor Bar cross sectional area";42.35;mm©÷;
"Top Rotor Bar Opening cross sectional area";0.06001;mm©÷;
