Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";33.95;Volts;
"Line-Line Terminal Voltage (rms)";23.77;Volts;
"Phase Terminal Voltage (peak)";19.61;Volts;
"Phase Terminal Voltage (rms)";13.72;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";3.407;%;
"Harmonic Distortion Phase Terminal Voltage";3.411;%;
"Back EMF Line-Line Voltage (peak)";28.25;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";28.8;Volts;
"Back EMF Phase Voltage (peak)";16.75;Volts;
"Back EMF Line-Line Voltage (rms)";20.38;Volts;
"Back EMF Phase Voltage (rms)";11.77;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";3.796;%;
"Harmonic Distortion Back EMF Phase Voltage";3.796;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";17.15;Amps;
"Line Current (peak)";30.69;Amps;
"Line Current (rms)";21.7;Amps;
"Phase Current (peak)";30.69;Amps;
"Phase Current (rms)";21.7;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";390;EDeg;
"Drive Offset Angle (On load)";30;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";330;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1351;mH;
"Q Axis Inductance";0.1323;mH;
"Line-Line Inductance (DQ)";0.2675;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.004249;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";21.7;Amps;
"Torque Constant (Kt)";0.07719;Nm/A;
"Motor Constant (Km)";0.2671;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.08993;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.09167;Vs/Rad;
"Electrical Constant";2.402;msec;
"Mechanical Constant";0.65;msec;
"Electrical Loading";5.305E004;Amps/m;
"Stall Current";431.1;Amps;
"Stall Torque";33.28;Nm;
"Short Circuit Line Current (peak)";62.45;Amps;
"Short Circuit Current Density (peak)";47.12;Amps/mm©÷;
"Short Circuit Current Density (rms)";33.32;Amps/mm©÷;
"Short Circuit Braking Torque";-1.037;Nm;
"Short Circuit Max Braking Torque";-2.486;Nm;
"Short Circuit Max Braking Torque Speed";655.7;rpm;
"Fundamental Frequency";300;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";2.3862;Nm;
"Average torque (virtual work)";2.3691;Nm;
"Average torque (loop torque)";2.365;Nm;
"Torque Ripple (MsVw)";0.14027;Nm;
"Torque Ripple (MsVw) [%]";5.9209;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";4360.9;rpm;
"No load speed";5096.9;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";744.23;Watts;
"Input Power";822.98;Watts;
"Total Losses (on load)";91.467;Watts;
"Output Power";731.51;Watts;
"System Efficiency";88.886;%;
"Shaft Torque";2.3285;Nm;
"Power Factor [Waveform] (lagging)";0.92126;;
"Power Factor Angle [Waveform]";22.889;EDeg;
"Power Factor [THD]";0.92072;;
"Power Factor [Phasor] (lagging)";0.9205;;
"Power Factor Angle [Phasor]";23;EDeg;
"Load Angle [Phasor]";22.647;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";14.058;Volts;
"Rotor Inertia";8.1047E-005;kg.m©÷;
"Shaft Inertia";2.369E-005;kg.m©÷;
"Total Inertia";0.00010474;kg.m©÷;
"Torque per rotor volume";46.528;kNm/m©ø;
"Rotor peripheral velocity (on load)";7.6969;m/s;
"Flux Linkage D (Q axis current)";8.63946;mVs;
"Flux Linkage Q (Q axis current)";3.99118;mVs;
"Flux linkage D (On load)";8.57858;mVs;
"Flux linkage Q (On load)";4.00421;mVs;
"Torque Constant (Kt)";0.0771943;Nm/A;
"Motor Constant (Km)";0.26712;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.0899313;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.0916691;Vs/Rad;
"Stall Current";431.069;Amps;
"Stall Torque";33.276;Nm;
"Cogging Period";10;MDeg;
"Cogging Frequency";1800;Hz;
"Fundamental Frequency";300;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";10;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";6;;
"Magnetic Axial Length (Slice1)";3.44;mm;
"Magnetic Axial Length (Slice2)";3.44;mm;
"Magnetic Axial Length (Slice3)";3.44;mm;
"Magnetic Axial Length (Slice4)";3.44;mm;
"Magnetic Axial Length (Slice5)";3.44;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";2.3862;Nm;
