Drive
"DC Bus Voltage";150;Volts;
"Line-Line Supply Voltage (rms)";106.1;Volts;
"Phase Supply Voltage (rms)";61.24;Volts;
"Line-Line Terminal Voltage (peak)";100.9;Volts;
"Line-Line Terminal Voltage (rms)";71.69;Volts;
"Phase Terminal Voltage (peak)";60.23;Volts;
"Phase Terminal Voltage (rms)";41.39;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";5.144;%;
"Harmonic Distortion Phase Terminal Voltage";5.154;%;
"Back EMF Line-Line Voltage (peak)";74.13;Volts;
"Back EMF Phase Voltage (peak)";42.8;Volts;
"Back EMF Line-Line Voltage (rms)";52.41;Volts;
"Back EMF Phase Voltage (rms)";30.26;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";0.2202;Amps;
"Line Current (peak)";0.4101;Amps;
"Line Current (rms)";0.29;Amps;
"Phase Current (peak)";0.4101;Amps;
"Phase Current (rms)";0.29;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";150;EDeg;
"Drive Offset Angle (On load)";150;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";30.25;mH;
"Q Axis Inductance";30.24;mH;
"Line-Line Inductance (DQ)";60.48;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.6905;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";0.29;Amps;
"Torque Constant (Kt)";0.1384;Nm/A;
"Motor Constant (Km)";0.02267;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.1573;Vs/Rad;
"Electrical Constant";1.218;msec;
"Electrical Loading";1.629E004;Amps/m;
"Stall Current";3.019;Amps;
"Stall Torque";0.4179;Nm;
"Short Circuit Line Current (peak)";0.6881;Amps;
"Short Circuit Current Density (peak)";21.9;Amps/mm©÷;
"Short Circuit Current Density (rms)";15.49;Amps/mm©÷;
"Short Circuit Braking Torque";-0.03744;Nm;
"Short Circuit Max Braking Torque";-0.05113;Nm;
"Short Circuit Max Braking Torque Speed";1960;rpm;
"Fundamental Frequency";300;Hz;
"Shaft Speed";4500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";0.055869;Nm;
"Average torque (Maxwell stress)";0.056687;Nm;
"Average torque (loop torque)";0.056441;Nm;
"Torque Ripple (MsVw)";0.020416;Nm;
"Torque Ripple (MsVw) [%]";35.969;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";7154.1;rpm;
"No load speed";9106.2;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";26.747;Watts;
"Input Power";33.027;Watts;
"Total Losses (on load)";6.9736;Watts;
"Output Power";26.054;Watts;
