Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";33.94;Volts;
"Line-Line Terminal Voltage (peak)";29.66;Volts;
"Line-Line Terminal Voltage (rms)";19.87;Volts;
"Phase Terminal Voltage (peak)";29.66;Volts;
"Phase Terminal Voltage (rms)";19.87;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";7.228;%;
"Harmonic Distortion Phase Terminal Voltage";7.228;%;
"Back EMF Line-Line Voltage (peak)";17.42;Volts;
"Back EMF Phase Voltage (peak)";17.42;Volts;
"Back EMF Line-Line Voltage (rms)";12.32;Volts;
"Back EMF Phase Voltage (rms)";12.32;Volts;
"Max Line-Line / Phase Voltage Ratio";1;;
"DC Supply Current (mean)";21.97;Amps;
"Line Current (peak)";47.38;Amps;
"Line Current (rms)";33.5;Amps;
"Phase Current (peak)";27.35;Amps;
"Phase Current (rms)";19.34;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";90;EDeg;
"Drive Offset Angle (On load)";90;EDeg;
"Phase Advance to give maximum torque";9.567;EDeg;
"Phasor Offset Angle";10;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"D Axis Inductance";0.2429;mH;
"Q Axis Inductance";0.3334;mH;
"Line-Line Inductance (DQ)";0.1921;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.007176;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";19.34;Amps;
"Torque Constant (Kt)";0.09566;Nm/A;
"Motor Constant (Km)";0.2411;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.1125;Vs/Rad;
"Electrical Constant";0.9156;msec;
"Electrical Loading";8.817E004;Amps/m;
"Stall Current";228.8;Amps;
"Stall Torque";21.88;Nm;
"Short Circuit Line Current (peak)";70.16;Amps;
"Short Circuit Current Density (peak)";91.69;Amps/mm©÷;
"Short Circuit Current Density (rms)";64.83;Amps/mm©÷;
"Short Circuit Braking Torque";-5.004;Nm;
"Short Circuit Max Braking Torque";-5.008;Nm;
"Short Circuit Max Braking Torque Speed";1535;rpm;
"Fundamental Frequency";197.1;Hz;
"Shaft Speed";1478;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 9.567 EDeg)";4.686;Nm;
"Average torque (Maxwell stress)";4.5242;Nm;
"Average torque (loop torque)";4.5359;Nm;
"Torque Ripple (MsVw)";0.25431;Nm;
"Torque Ripple (MsVw) [%]";5.6116;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";2887.2;rpm;
"No load speed";4073.2;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";701.43;Watts;
"Input Power";1054.7;Watts;
"Total Losses (on load)";358.71;Watts;
"Output Power";695.98;Watts;
"System Efficiency";65.989;%;
"Shaft Torque";4.4967;Nm;
"Power Factor [Waveform] (lagging)";0.91787;;
"Power Factor Angle [Waveform]";-336.62;EDeg;
"Power Factor [THD]";0.91548;;
"Power Factor [Phasor] (lagging)";0.9205;;
"Power Factor Angle [Phasor]";23;EDeg;
"Load Angle [Phasor]";23.453;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";20.06;Volts;
"Rotor Inertia";0.00010912;kg.m©÷;
"Shaft Inertia";0.00013514;kg.m©÷;
"Total Inertia";0.00024426;kg.m©÷;
"Torque per rotor volume";61.333;kNm/m©ø;
"Rotor peripheral velocity (on load)";4.3337;m/s;
"Flux Linkage D (Q axis current)";14.0667;mVs;
"Flux Linkage Q (Q axis current)";8.94319;mVs;
"Flux linkage D (On load)";13.8445;mVs;
"Flux linkage Q (On load)";8.98974;mVs;
"Torque Constant (Kt)";0.0956574;Nm/A;
"Motor Constant (Km)";0.241143;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.112533;Vs/Rad;
"Stall Current";228.778;Amps;
"Stall Torque";21.8843;Nm;
"Cogging Period";2.5;MDeg;
"Cogging Frequency";3547.2;Hz;
"Fundamental Frequency";197.067;Hz;
"Mechanical Frequency";24.6333;Hz;
"Optimum Skewing Angle";2.5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";27.9;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 9.567 EDeg)";4.686;Nm;
"Average torque (Maxwell stress)";4.5242;Nm;
"Average torque (loop torque)";4.5359;Nm;
"Torque Ripple (MsVw)";0.25431;Nm;
"Torque Ripple (MsVw) [%]";5.6116;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";2887.2;rpm;
"No load speed";4073.2;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";701.43;Watts;
"Input Power";1054.7;Watts;
"Total Losses (on load)";358.71;Watts;
"Output Power";695.98;Watts;
"System Efficiency";65.989;%;
"Shaft Torque";4.4967;Nm;
