Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";33.94;Volts;
"Line-Line Terminal Voltage (peak)";31.55;Volts;
"Line-Line Terminal Voltage (rms)";23.08;Volts;
"Phase Terminal Voltage (peak)";31.55;Volts;
"Phase Terminal Voltage (rms)";23.08;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";5.562;%;
"Harmonic Distortion Phase Terminal Voltage";5.562;%;
"Back EMF Line-Line Voltage (peak)";21.13;Volts;
"Back EMF Phase Voltage (peak)";21.13;Volts;
"Back EMF Line-Line Voltage (rms)";14.94;Volts;
"Back EMF Phase Voltage (rms)";14.94;Volts;
"Max Line-Line / Phase Voltage Ratio";1;;
"DC Supply Current (mean)";35.48;Amps;
"Line Current (peak)";61.94;Amps;
"Line Current (rms)";43.8;Amps;
"Phase Current (peak)";35.76;Amps;
"Phase Current (rms)";25.29;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";90;EDeg;
"Drive Offset Angle (On load)";90;EDeg;
"Phase Advance to give maximum torque";0.3942;EDeg;
"Phasor Offset Angle";10;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"D Axis Inductance";0.1656;mH;
"Q Axis Inductance";0.1689;mH;
"Line-Line Inductance (DQ)";0.1115;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.007845;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";25.29;Amps;
"Torque Constant (Kt)";0.1164;Nm/A;
"Motor Constant (Km)";0.298;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.1365;Vs/Rad;
"Electrical Constant";0.5476;msec;
"Electrical Loading";1.204E005;Amps/m;
"Stall Current";235.8;Amps;
"Stall Torque";27.45;Nm;
"Short Circuit Line Current (peak)";99.49;Amps;
"Short Circuit Current Density (peak)";117;Amps/mm©÷;
"Short Circuit Current Density (rms)";82.74;Amps/mm©÷;
"Short Circuit Braking Torque";-9.765;Nm;
"Short Circuit Max Braking Torque";-10.55;Nm;
"Short Circuit Max Braking Torque Speed";2201;rpm;
"Fundamental Frequency";197.1;Hz;
"Shaft Speed";1478;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.3942 EDeg)";7.323;Nm;
"Average torque (Maxwell stress)";7.2065;Nm;
"Average torque (loop torque)";7.2123;Nm;
"Torque Ripple (MsVw)";0.22008;Nm;
"Torque Ripple (MsVw) [%]";3.0516;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";2477.2;rpm;
"No load speed";3357.8;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";1116.3;Watts;
"Input Power";1702.9;Watts;
"Total Losses (on load)";591.85;Watts;
"Output Power";1111;Watts;
"System Efficiency";65.243;%;
"Shaft Torque";7.1781;Nm;
"Power Factor [Waveform] (lagging)";0.97424;;
"Power Factor Angle [Waveform]";-346.97;EDeg;
"Power Factor [THD]";0.97274;;
"Power Factor [Phasor] (lagging)";0.97437;;
"Power Factor Angle [Phasor]";13;EDeg;
"Load Angle [Phasor]";13.134;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";23.272;Volts;
"Rotor Inertia";0.00013785;kg.m©÷;
"Shaft Inertia";0.00013514;kg.m©÷;
"Total Inertia";0.00027299;kg.m©÷;
"Torque per rotor volume";91.781;kNm/m©ø;
"Rotor peripheral velocity (on load)";4.4692;m/s;
"Flux Linkage D (Q axis current)";17.0636;mVs;
"Flux Linkage Q (Q axis current)";5.99239;mVs;
"Flux linkage D (On load)";16.8368;mVs;
"Flux linkage Q (On load)";5.93737;mVs;
"Torque Constant (Kt)";0.116434;Nm/A;
"Motor Constant (Km)";0.297957;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.136509;Vs/Rad;
"Stall Current";235.751;Amps;
"Stall Torque";27.4493;Nm;
"Cogging Period";2.5;MDeg;
"Cogging Frequency";3547.2;Hz;
"Fundamental Frequency";197.067;Hz;
"Mechanical Frequency";24.6333;Hz;
"Optimum Skewing Angle";2.5;MDeg;
"Magnetic Symmetry Factor_(User specified not to use symmetry)";1;;
"Magnetic Axial Length (Slice1)";27.9;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0.3942 EDeg)";7.323;Nm;
"Average torque (Maxwell stress)";7.2065;Nm;
"Average torque (loop torque)";7.2123;Nm;
"Torque Ripple (MsVw)";0.22008;Nm;
"Torque Ripple (MsVw) [%]";3.0516;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";2477.2;rpm;
"No load speed";3357.8;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";1116.3;Watts;
"Input Power";1702.9;Watts;
"Total Losses (on load)";591.85;Watts;
"Output Power";1111;Watts;
"System Efficiency";65.243;%;
"Shaft Torque";7.1781;Nm;
