Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";41.16;Volts;
"Line-Line Terminal Voltage (rms)";28.35;Volts;
"Phase Terminal Voltage (peak)";23.61;Volts;
"Phase Terminal Voltage (rms)";16.37;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";5.804;%;
"Harmonic Distortion Phase Terminal Voltage";5.805;%;
"Back EMF Line-Line Voltage (peak)";36.32;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";36.91;Volts;
"Back EMF Phase Voltage (peak)";21.11;Volts;
"Back EMF Line-Line Voltage (rms)";26.14;Volts;
"Back EMF Phase Voltage (rms)";15.09;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";5.646;%;
"Harmonic Distortion Back EMF Phase Voltage";5.646;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";14.3;Amps;
"Line Current (peak)";20.51;Amps;
"Line Current (rms)";14.5;Amps;
"Phase Current (peak)";20.51;Amps;
"Phase Current (rms)";14.5;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";30;EDeg;
"Drive Offset Angle (On load)";30;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";330;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1919;mH;
"Q Axis Inductance";0.1894;mH;
"Line-Line Inductance (DQ)";0.3814;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.003938;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";14.5;Amps;
"Torque Constant (Kt)";0.07237;Nm/A;
"Motor Constant (Km)";0.2575;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.08257;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.08392;Vs/Rad;
"Electrical Constant";3.621;msec;
"Mechanical Constant";0.4147;msec;
"Electrical Loading";2.977E004;Amps/m;
"Stall Current";455.7;Amps;
"Stall Torque";32.98;Nm;
"Short Circuit Line Current (peak)";62.71;Amps;
"Short Circuit Current Density (peak)";38.51;Amps/mm©÷;
"Short Circuit Current Density (rms)";27.23;Amps/mm©÷;
"Short Circuit Braking Torque";-0.7063;Nm;
"Short Circuit Max Braking Torque";-2.32;Nm;
"Short Circuit Max Braking Torque Speed";655;rpm;
"Fundamental Frequency";280;Hz;
"Shaft Speed";4200;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";1.4989;Nm;
"Average torque (virtual work)";1.4751;Nm;
"Average torque (loop torque)";1.4641;Nm;
"Torque Ripple (MsVw)";0.031533;Nm;
"Torque Ripple (MsVw) [%]";2.1249;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";4981.6;rpm;
"No load speed";5551.2;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";652.68;Watts;
"Input Power";686.16;Watts;
"Total Losses (on load)";49.091;Watts;
"Output Power";637.07;Watts;
"System Efficiency";92.846;%;
"Shaft Torque";1.4485;Nm;
"Power Factor [Waveform] (lagging)";0.9573;;
"Power Factor Angle [Waveform]";16.804;EDeg;
"Power Factor [THD]";0.95569;;
"Power Factor [Phasor] (lagging)";0.9563;;
"Power Factor Angle [Phasor]";17;EDeg;
"Load Angle [Phasor]";16.947;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";16.576;Volts;
"Rotor Inertia";4.7055E-005;kg.m©÷;
"Shaft Inertia";1.2538E-005;kg.m©÷;
"Total Inertia";5.9593E-005;kg.m©÷;
"Torque per rotor volume";38.111;kNm/m©ø;
"Rotor peripheral velocity (on load)";8.6425;m/s;
"Flux Linkage D (Q axis current)";12.1825;mVs;
"Flux Linkage Q (Q axis current)";3.83805;mVs;
"Flux linkage D (On load)";11.987;mVs;
"Flux linkage Q (On load)";3.80478;mVs;
"Torque Constant (Kt)";0.0723672;Nm/A;
"Motor Constant (Km)";0.257472;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.0825711;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.0839218;Vs/Rad;
"Stall Current";455.7;Amps;
"Stall Torque";32.9777;Nm;
"Cogging Period";15;MDeg;
"Cogging Frequency";1680;Hz;
"Fundamental Frequency";280;Hz;
"Mechanical Frequency";70;Hz;
"Optimum Skewing Angle";15;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";4;;
"Magnetic Axial Length (Slice1)";10.2667;mm;
"Magnetic Axial Length (Slice2)";10.2667;mm;
"Magnetic Axial Length (Slice3)";10.2667;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";1.4989;Nm;
"Average torque (virtual work)";1.4751;Nm;
"Average torque (loop torque)";1.4641;Nm;
