Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";38.18;Volts;
"Line-Line Terminal Voltage (rms)";26.34;Volts;
"Phase Terminal Voltage (peak)";21.29;Volts;
"Phase Terminal Voltage (rms)";15.23;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";2.183;%;
"Harmonic Distortion Phase Terminal Voltage";5.641;%;
"Back EMF Line-Line Voltage (peak)";33.61;Volts;
"Back EMF Phase Voltage (peak)";19.4;Volts;
"Back EMF Line-Line Voltage (rms)";23.77;Volts;
"Back EMF Phase Voltage (rms)";13.72;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";27.75;Amps;
"Line Current (peak)";43.13;Amps;
"Line Current (rms)";30.5;Amps;
"Phase Current (peak)";43.13;Amps;
"Phase Current (rms)";30.5;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";1.566;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1015;mH;
"Q Axis Inductance";0.1109;mH;
"Line-Line Inductance (DQ)";0.2124;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.005661;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";30.5;Amps;
"Torque Constant (Kt)";0.1109;Nm/A;
"Motor Constant (Km)";0.5427;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.1284;Vs/Rad;
"Electrical Constant";3.818;msec;
"Electrical Loading";4.404E004;Amps/m;
"Stall Current";862.9;Amps;
"Stall Torque";95.65;Nm;
"Short Circuit Line Current (peak)";143;Amps;
"Short Circuit Current Density (peak)";40.46;Amps/mm©÷;
"Short Circuit Current Density (rms)";28.61;Amps/mm©÷;
"Short Circuit Braking Torque";-3.258;Nm;
"Short Circuit Max Braking Torque";-8.136;Nm;
"Short Circuit Max Braking Torque Speed";523.3;rpm;
"Fundamental Frequency";208.3;Hz;
"Shaft Speed";2500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 1.566 EDeg)";4.7974;Nm;
"Average torque (Maxwell stress)";4.7809;Nm;
"Average torque (loop torque)";4.7825;Nm;
"Torque Ripple (MsVw)";0.16582;Nm;
"Torque Ripple (MsVw) [%]";3.4678;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3257.6;rpm;
"No load speed";3570.4;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";1251.8;Watts;
"Input Power";1331.8;Watts;
"Total Losses (on load)";90.208;Watts;
"Output Power";1241.6;Watts;
"System Efficiency";93.227;%;
"Shaft Torque";4.7425;Nm;
"Power Factor [Waveform] (lagging)";0.95714;;
"Power Factor Angle [Waveform]";16.836;EDeg;
"Power Factor [THD]";0.95562;;
"Power Factor [Phasor] (lagging)";0.9563;;
"Power Factor Angle [Phasor]";17;EDeg;
"Load Angle [Phasor]";16.903;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";15.227;Volts;
"Rotor Inertia";0.00014951;kg.m©÷;
"Shaft Inertia";0.00011048;kg.m©÷;
"Total Inertia";0.00026;kg.m©÷;
"Torque per rotor volume";62.027;kNm/m©ø;
"Rotor peripheral velocity (on load)";7.4875;m/s;
"Flux Linkage D (Q axis current)";14.824;mVs;
"Flux Linkage Q (Q axis current)";4.74383;mVs;
"Flux linkage D (On load)";14.8106;mVs;
"Flux linkage Q (On load)";4.75893;mVs;
"Torque Constant (Kt)";0.110858;Nm/A;
"Motor Constant (Km)";0.542732;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.12838;Vs/Rad;
"Stall Current";862.86;Amps;
"Stall Torque";95.6549;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2500;Hz;
"Fundamental Frequency";208.333;Hz;
"Mechanical Frequency";41.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";29.1;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 1.566 EDeg)";4.7974;Nm;
"Average torque (Maxwell stress)";4.7809;Nm;
"Average torque (loop torque)";4.7825;Nm;
"Torque Ripple (MsVw)";0.16582;Nm;
"Torque Ripple (MsVw) [%]";3.4678;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3257.6;rpm;
"No load speed";3570.4;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";1251.8;Watts;
"Input Power";1331.8;Watts;
"Total Losses (on load)";90.208;Watts;
"Output Power";1241.6;Watts;
"System Efficiency";93.227;%;
