Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";43.47;Volts;
"Line-Line Terminal Voltage (rms)";30.29;Volts;
"Phase Terminal Voltage (peak)";24.16;Volts;
"Phase Terminal Voltage (rms)";17.51;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.803;%;
"Harmonic Distortion Phase Terminal Voltage";5.415;%;
"Back EMF Line-Line Voltage (peak)";39.24;Volts;
"Back EMF Phase Voltage (peak)";22.66;Volts;
"Back EMF Line-Line Voltage (rms)";27.75;Volts;
"Back EMF Phase Voltage (rms)";16.02;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";16.72;Amps;
"Line Current (peak)";22.2;Amps;
"Line Current (rms)";15.7;Amps;
"Phase Current (peak)";22.2;Amps;
"Phase Current (rms)";15.7;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";1.191;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1483;mH;
"Q Axis Inductance";0.1618;mH;
"Line-Line Inductance (DQ)";0.3101;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.01305;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";15.7;Amps;
"Torque Constant (Kt)";0.1079;Nm/A;
"Motor Constant (Km)";0.344;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.1249;Vs/Rad;
"Electrical Constant";2.366;msec;
"Electrical Loading";3.297E004;Amps/m;
"Stall Current";366.2;Amps;
"Stall Torque";39.5;Nm;
"Short Circuit Line Current (peak)";93.65;Amps;
"Short Circuit Current Density (peak)";53;Amps/mm©÷;
"Short Circuit Current Density (rms)";37.47;Amps/mm©÷;
"Short Circuit Braking Torque";-2.744;Nm;
"Short Circuit Max Braking Torque";-5.271;Nm;
"Short Circuit Max Braking Torque Speed";843.9;rpm;
"Fundamental Frequency";250;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 1.191 EDeg)";2.4024;Nm;
"Average torque (Maxwell stress)";2.3945;Nm;
"Average torque (loop torque)";2.396;Nm;
"Torque Ripple (MsVw)";0.084973;Nm;
"Torque Ripple (MsVw) [%]";3.548;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3379;rpm;
"No load speed";3669.5;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";752.39;Watts;
"Input Power";802.46;Watts;
"Total Losses (on load)";58.545;Watts;
"Output Power";743.91;Watts;
"System Efficiency";92.704;%;
"Shaft Torque";2.368;Nm;
"Power Factor [Waveform] (lagging)";0.97404;;
"Power Factor Angle [Waveform]";13.085;EDeg;
"Power Factor [THD]";0.97261;;
"Power Factor [Phasor] (lagging)";0.97437;;
"Power Factor Angle [Phasor]";13;EDeg;
"Load Angle [Phasor]";13.172;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";17.51;Volts;
"Rotor Inertia";9.9674E-005;kg.m©÷;
"Shaft Inertia";9.3536E-005;kg.m©÷;
"Total Inertia";0.00019321;kg.m©÷;
"Torque per rotor volume";46.599;kNm/m©ø;
"Rotor peripheral velocity (on load)";8.985;m/s;
"Flux Linkage D (Q axis current)";14.4235;mVs;
"Flux Linkage Q (Q axis current)";3.57157;mVs;
"Flux linkage D (On load)";14.4146;mVs;
"Flux linkage Q (On load)";3.56562;mVs;
"Torque Constant (Kt)";0.107864;Nm/A;
"Motor Constant (Km)";0.344032;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.124911;Vs/Rad;
"Stall Current";366.224;Amps;
"Stall Torque";39.5024;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";3000;Hz;
"Fundamental Frequency";250;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";19.4;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 1.191 EDeg)";2.4024;Nm;
"Average torque (Maxwell stress)";2.3945;Nm;
"Average torque (loop torque)";2.396;Nm;
"Torque Ripple (MsVw)";0.084973;Nm;
"Torque Ripple (MsVw) [%]";3.548;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3379;rpm;
"No load speed";3669.5;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";752.39;Watts;
"Input Power";802.46;Watts;
"Total Losses (on load)";58.545;Watts;
"Output Power";743.91;Watts;
"System Efficiency";92.704;%;
"Shaft Torque";2.368;Nm;
