Drive
"DC Bus Voltage";580;Volts;
"Line-Line Supply Voltage (rms)";410.1;Volts;
"Phase Supply Voltage (rms)";236.8;Volts;
"Line-Line Terminal Voltage (peak)";415.4;Volts;
"Line-Line Terminal Voltage (rms)";291.6;Volts;
"Phase Terminal Voltage (peak)";235.7;Volts;
"Phase Terminal Voltage (rms)";168.8;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";6.207;%;
"Harmonic Distortion Phase Terminal Voltage";9.104;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";6.61;Amps;
"Line Current (peak)";14.2;Amps;
"Line Current (rms)";10.04;Amps;
"Phase Current (peak)";14.2;Amps;
"Phase Current (rms)";10.04;Amps;
"Phase Advance";61.77;EDeg;
"Drive Offset Angle (Open Circuit)";30;EDeg;
"Drive Offset Angle (On load)";30;EDeg;
"Phase Advance to give maximum torque";45;EDeg;
"Phasor Offset Angle";20;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";11.19;mH;
"Q Axis Inductance";77.82;mH;
"Line-Line Inductance (DQ)";87.98;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.6001;mH;
"D Axis Phase Current (average rms)";-8.846;Amps;
"Q Axis Phase Current (average rms)";4.749;Amps;
"Torque Constant (Kt)";1.179;Nm/A;
"Motor Constant (Km)";0.9225;Nm/(Watts^0.5);
"Electrical Constant";40.9;msec;
"Electrical Loading";3.196E004;Amps/m;
"Stall Current";266.5;Amps;
"Stall Torque";314.1;Nm;
"Short Circuit Line Current (peak)";0.0004069;Amps;
"Short Circuit Current Density (peak)";0.0002895;Amps/mm©÷;
"Short Circuit Current Density (rms)";0.0002047;Amps/mm©÷;
"Short Circuit Braking Torque";-1.29E-009;Nm;
"Short Circuit Max Braking Torque";-5.071E-009;Nm;
"Short Circuit Max Braking Torque Speed";285.3;rpm;
"Fundamental Frequency";66.67;Hz;
"Shaft Speed";2000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 45 EDeg)";20.147;Nm;
"Average torque (virtual work)";16.752;Nm;
