Drive
"DC Bus Voltage";375;Volts;
"Line-Line Supply Voltage (rms)";265.2;Volts;
"Phase Supply Voltage (rms)";153.1;Volts;
"Line-Line Terminal Voltage (peak)";403;Volts;
"Line-Line Terminal Voltage (rms)";269.4;Volts;
"Phase Terminal Voltage (peak)";206.6;Volts;
"Phase Terminal Voltage (rms)";157.6;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";8.798;%;
"Harmonic Distortion Phase Terminal Voltage";18.66;%;
"Back EMF Line-Line Voltage (peak)";266.1;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";255.9;Volts;
"Back EMF Phase Voltage (peak)";149.5;Volts;
"Back EMF Line-Line Voltage (rms)";181;Volts;
"Back EMF Phase Voltage (rms)";105;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";3.664;%;
"Harmonic Distortion Back EMF Phase Voltage";10.5;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";141.3;Amps;
"Line Current (peak)";267;Amps;
"Line Current (rms)";188.8;Amps;
"Phase Current (peak)";267;Amps;
"Phase Current (rms)";188.8;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";0;EDeg;
"Drive Offset Angle (On load)";0;EDeg;
"Phase Advance to give maximum torque";40;EDeg;
"Phasor Offset Angle";345;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1506;mH;
"Q Axis Inductance";0.4061;mH;
"Line-Line Inductance (DQ)";0.5567;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.005136;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";188.8;Amps;
"Torque Constant (Kt)";0.463;Nm/A;
"Motor Constant (Km)";3.595;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.6354;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.6108;Vs/Rad;
"Electrical Constant";25.17;msec;
"Mechanical Constant";1.061;msec;
"Electrical Loading";6.556E004;Amps/m;
"Stall Current";1.695E004;Amps;
"Stall Torque";7850;Nm;
"Short Circuit Line Current (peak)";507.9;Amps;
"Short Circuit Current Density (peak)";25.26;Amps/mm©÷;
"Short Circuit Current Density (rms)";17.86;Amps/mm©÷;
"Short Circuit Braking Torque";-10.22;Nm;
"Short Circuit Max Braking Torque";-142.8;Nm;
"Short Circuit Max Braking Torque Speed";153.5;rpm;
"Fundamental Frequency";266.7;Hz;
"Shaft Speed";4000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 40 EDeg)";166.83;Nm;
"Average torque (virtual work)";123.8;Nm;
"Average torque (loop torque)";122.72;Nm;
"Torque Ripple (MsVw)";21.16;Nm;
"Torque Ripple (MsVw) [%]";17.116;%;
"Cogging Torque Ripple (Vw)";18.093;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3863.8;rpm;
"No load speed";5636.2;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";51785;Watts;
"Input Power";52972;Watts;
"Total Losses (on load)";2519.6;Watts;
"Output Power_Operating point outside voltage limit.";50453;Watts;
"System Efficiency";95.244;%;
"Shaft Torque";120.45;Nm;
"Power Factor [Waveform] (lagging)";0.6025;;
"Power Factor Angle [Waveform]";52.951;EDeg;
"Power Factor [THD]";0.59227;;
"Power Factor [Phasor] (lagging)";0.64279;;
"Power Factor Angle [Phasor]";50;EDeg;
"Load Angle [Phasor]";50.175;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";167.26;Volts;
"Rotor Inertia";0.028234;kg.m©÷;
"Shaft Inertia";0.00049545;kg.m©÷;
"Total Inertia";0.028729;kg.m©÷;
"Torque per rotor volume";62.093;kNm/m©ø;
"Rotor peripheral velocity (on load)";27.227;m/s;
"Flux Linkage D (Q axis current)";76.5282;mVs;
"Flux Linkage Q (Q axis current)";104.79;mVs;
"Flux linkage D (On load)";77.1687;mVs;
"Flux linkage Q (On load)";104.55;mVs;
"Torque Constant (Kt)";0.463022;Nm/A;
"Motor Constant (Km)";3.59491;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.635352;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.610845;Vs/Rad;
"Stall Current";16953.8;Amps;
"Stall Torque";7849.97;Nm;
"Cogging Period";7.5;MDeg;
"Cogging Frequency";3200;Hz;
"Fundamental Frequency";266.667;Hz;
"Mechanical Frequency";66.6667;Hz;
"Optimum Skewing Angle";7.5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";150;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 40 EDeg)";166.83;Nm;
"Average torque (virtual work)";123.8;Nm;
"Average torque (loop torque)";122.72;Nm;
"Torque Ripple (MsVw)";21.16;Nm;
"Torque Ripple (MsVw) [%]";17.116;%;
"Cogging Torque Ripple (Vw)";18.093;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3863.8;rpm;
"No load speed";5636.2;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";51785;Watts;
"Input Power";52972;Watts;
"Total Losses (on load)";2519.6;Watts;
"Output Power_Operating point outside voltage limit.";50453;Watts;
"System Efficiency";95.244;%;
"Shaft Torque";120.45;Nm;
"Power Factor [Waveform] (lagging)";0.6025;;
"Power Factor Angle [Waveform]";52.951;EDeg;
"Power Factor [THD]";0.59227;;
"Power Factor [Phasor] (lagging)";0.64279;;
"Power Factor Angle [Phasor]";50;EDeg;
"Load Angle [Phasor]";50.175;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";167.26;Volts;
"Rotor Inertia";0.028234;kg.m©÷;
"Shaft Inertia";0.00049545;kg.m©÷;
"Total Inertia";0.028729;kg.m©÷;
"Torque per rotor volume";62.093;kNm/m©ø;
"Rotor peripheral velocity (on load)";27.227;m/s;
"Flux Linkage D (Q axis current)";76.5282;mVs;
"Flux Linkage Q (Q axis current)";104.79;mVs;
"Flux linkage D (On load)";77.1687;mVs;
"Flux linkage Q (On load)";104.55;mVs;
"Torque Constant (Kt)";0.463022;Nm/A;
"Motor Constant (Km)";3.59491;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.635352;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.610845;Vs/Rad;
"Stall Current";16953.8;Amps;
"Stall Torque";7849.97;Nm;
"Cogging Period";7.5;MDeg;
"Cogging Frequency";3200;Hz;
"Fundamental Frequency";266.667;Hz;
"Mechanical Frequency";66.6667;Hz;
"Optimum Skewing Angle";7.5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";150;mm;

Equivalent Circuit
"Phase Resistance";0.01106;Ohms;
"D Axis Inductance";0.1506;mH;
"Q Axis Inductance";0.4061;mH;
"Stator Slot Leakage Inductance";0.04725;mH;
"Stator Differential Leakage Inductance";0.02023;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.005136;mH;
"Stator Leakage Inductance (Total)";0.07261;mH;
"Magnetizing Inductance (D Axis)";0.07798;mH;
"Magnetizing Inductance (Q Axis)";0.3335;mH;
"D Axis Reactance";0.2523;Ohms;
"Q Axis Reactance";0.6804;Ohms;
"Stator Slot Leakage Reactance";0.07917;Ohms;
"Stator Differential Leakage Reactance";0.03389;Ohms;
"Armature End Winding Reactance";0.008606;Ohms;
"Stator Leakage Reactance (Total)";0.1217;Ohms;
"Magnetizing Reactance (D Axis)";0.1307;Ohms;
"Magnetizing Reactance (Q Axis)";0.5587;Ohms;
"Rotor Referred Resistance";0.5775;Ohms;
"First Order Transient Reactance (D Axis)";0.1217;Ohms;
"First Order Transient Reactance (Q Axis)";0.6804;Ohms;
"Excitation Time Constant (Te)";0.000135;secs;
"First Order Transient Time Constant (Td')";6.511E-005;secs;
"Armature Time Constant (Ta)";0.02164;secs;

Flux Densities
"Airgap flux density (mean)";0.7522;Tesla;
"Airgap Flux Density (peak)";1.251;Tesla;
"Stator Tooth Flux Density (peak)";1.904;Tesla;
"Stator Tooth Tip Flux Density (peak)";1.611;Tesla;
"Stator Back Iron Flux Density (peak)";1.66;Tesla;
"Rotor Back Iron Flux Density (peak)";0.3565;Tesla;

Losses
"Armature DC Copper Loss (on load)";1183;Watts;
"Magnet Loss (on load)";4.963;Watts;
"Stator iron Loss [total] (on load)";1197;Watts;
"Rotor iron Loss [total] (on load)";74.81;Watts;
"Wedge Loss (on load)";0;Watts;
"Windage Loss (user input)";0;Watts;
"Friction Loss (user input)";60;Watts;
"Shaft Loss [total] (on load)";0;Watts;
"Total Losses (on load)";2520;Watts;
"Magnet Block Width";13.9;mm;
"Magnet Loss Factor";0.1983;;
"Magnet Loss (on load)";4.963;Watts;
"Stator back iron Loss [hysteresis - fundamental] (on load)";331.7;Watts;
"Stator back iron Loss [hysteresis - minor loops] (on load)";1.596;Watts;
"Stator back iron Loss [hysteresis] (on load)";333.3;Watts;
"Stator back iron Loss [eddy] (on load)";243.8;Watts;
"Stator back iron Loss [excess] (on load)";0;Watts;
"Stator back iron Loss [total] (on load)";577.1;Watts;
"Stator tooth Loss [hysteresis - fundamental] (on load)";273.1;Watts;
"Stator tooth Loss [hysteresis - minor loops] (on load)";5.653;Watts;
"Stator tooth Loss [hysteresis] (on load)";278.8;Watts;
"Stator tooth Loss [eddy] (on load)";341.4;Watts;
"Stator tooth Loss [excess] (on load)";0;Watts;
"Stator tooth Loss [total] (on load)";620.1;Watts;
"Stator iron Loss [total] (on load)";1197;Watts;
