Drive
"DC Bus Voltage";0;Volts;
"Line-Line Supply Voltage (rms)";0;Volts;
"Phase Supply Voltage (rms)";0;Volts;
"Line-Line Terminal Voltage (peak)";46.08;Volts;
"Line-Line Terminal Voltage (rms)";32.02;Volts;
"Phase Terminal Voltage (peak)";26.65;Volts;
"Phase Terminal Voltage (rms)";18.52;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.777;%;
"Harmonic Distortion Phase Terminal Voltage";6.411;%;
"Back EMF Line-Line Voltage (peak)";40.36;Volts;
"Back EMF Phase Voltage (peak)";23.3;Volts;
"Back EMF Line-Line Voltage (rms)";28.54;Volts;
"Back EMF Phase Voltage (rms)";16.48;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";INF;Amps;
"Line Current (peak)";4.808;Amps;
"Line Current (rms)";3.4;Amps;
"Phase Current (peak)";4.808;Amps;
"Phase Current (rms)";3.4;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";4.643;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2551;mH;
"Q Axis Inductance";0.3473;mH;
"Line-Line Inductance (DQ)";0.6024;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.009493;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";3.4;Amps;
"Torque Constant (Kt)";0.1124;Nm/A;
"Motor Constant (Km)";0.1459;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.1311;Vs/Rad;
"Electrical Constant";0.7605;msec;
"Electrical Loading";1.605E004;Amps/m;
"Stall Current";0;Amps;
"Stall Torque";0;Nm;
"Short Circuit Line Current (peak)";20.02;Amps;
"Short Circuit Current Density (peak)";70.79;Amps/mm©÷;
"Short Circuit Current Density (rms)";50.06;Amps/mm©÷;
"Short Circuit Braking Torque";-0.7731;Nm;
"Short Circuit Max Braking Torque";-1.231;Nm;
"Short Circuit Max Braking Torque Speed";1052;rpm;
"Fundamental Frequency";686;Hz;
"Shaft Speed";2940;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 4.643 EDeg)";0.54774;Nm;
"Average torque (Maxwell stress)";0.54031;Nm;
"Average torque (loop torque)";0.54494;Nm;
"Torque Ripple (MsVw)";0.021173;Nm;
"Torque Ripple (MsVw) [%]";3.9166;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";0;rpm;
"No load speed";0;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";166.44;Watts;
"Input Power";181.28;Watts;
"Total Losses (on load)";25.575;Watts;
"Output Power_Operating point outside voltage limit.";155.71;Watts;
"Converter Efficiency";97.316;%;
"Motor Efficiency";85.892;%;
"System Efficiency";83.587;%;
"Shaft Torque";0.50575;Nm;
"Power Factor [Waveform] (leading)";0.96364;;
"Power Factor Angle [Waveform]";15.499;EDeg;
"Power Factor [THD]";0.96166;;
"Power Factor [Phasor] (leading)";0.96126;;
"Power Factor Angle [Phasor]";16;EDeg;
"Load Angle [Phasor]";15.937;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";18.537;Volts;
"Rotor Inertia";4.952E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";4.952E-005;kg.m©÷;
"Torque per rotor volume";64.818;kNm/m©ø;
"Rotor peripheral velocity (on load)";9.4672;m/s;
"Flux Linkage D (Q axis current)";5.40652;mVs;
"Flux Linkage Q (Q axis current)";1.63902;mVs;
"Flux linkage D (On load)";5.40664;mVs;
"Flux linkage Q (On load)";1.6234;mVs;
"Torque Constant (Kt)";0.11243;Nm/A;
"Motor Constant (Km)";0.145867;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.131101;Vs/Rad;
"Stall Current";0;Amps;
"Stall Torque";0;Nm;
"Cogging Period";2.14286;MDeg;
"Cogging Frequency";8232;Hz;
"Fundamental Frequency";686;Hz;
"Mechanical Frequency";49;Hz;
"Optimum Skewing Angle";2.14286;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";9.7;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 4.643 EDeg)";0.54774;Nm;
"Average torque (Maxwell stress)";0.54031;Nm;
"Average torque (loop torque)";0.54494;Nm;
"Torque Ripple (MsVw)";0.021173;Nm;
"Torque Ripple (MsVw) [%]";3.9166;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";0;rpm;
"No load speed";0;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";166.44;Watts;
"Input Power";181.28;Watts;
"Total Losses (on load)";25.575;Watts;
"Output Power_Operating point outside voltage limit.";155.71;Watts;
"Converter Efficiency";97.316;%;
"Motor Efficiency";85.892;%;
"System Efficiency";83.587;%;
"Shaft Torque";0.50575;Nm;
"Power Factor [Waveform] (leading)";0.96364;;
"Power Factor Angle [Waveform]";15.499;EDeg;
"Power Factor [THD]";0.96166;;
"Power Factor [Phasor] (leading)";0.96126;;
"Power Factor Angle [Phasor]";16;EDeg;
"Load Angle [Phasor]";15.937;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";18.537;Volts;
"Rotor Inertia";4.952E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";4.952E-005;kg.m©÷;
"Torque per rotor volume";64.818;kNm/m©ø;
