Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";50.75;Volts;
"Line-Line Terminal Voltage (rms)";32.79;Volts;
"Phase Terminal Voltage (peak)";26.42;Volts;
"Phase Terminal Voltage (rms)";18.84;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";6.409;%;
"Harmonic Distortion Phase Terminal Voltage";7.93;%;
"Back EMF Line-Line Voltage (peak)";-0.5208;Volts;
"Back EMF Phase Voltage (peak)";-0.3007;Volts;
"Back EMF Line-Line Voltage (rms)";-0.3683;Volts;
"Back EMF Phase Voltage (rms)";-0.2126;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";6.17;Amps;
"Line Current (peak)";23.79;Amps;
"Line Current (rms)";16.82;Amps;
"Phase Current (peak)";23.79;Amps;
"Phase Current (rms)";16.82;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2493;mH;
"Q Axis Inductance";0.2504;mH;
"Line-Line Inductance (DQ)";0.4996;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.01084;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";16.82;Amps;
"Torque Constant (Kt)";0.001336;Nm/A;
"Motor Constant (Km)";0.001898;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";-0.001692;Vs/Rad;
"Electrical Constant";0.7569;msec;
"Electrical Loading";7.94E004;Amps/m;
"Stall Current";72.71;Amps;
"Stall Torque";0.09713;Nm;
"Short Circuit Line Current (peak)";0.2675;Amps;
"Short Circuit Current Density (peak)";0.9462;Amps/mm©÷;
"Short Circuit Current Density (rms)";0.6691;Amps/mm©÷;
"Short Circuit Braking Torque";-0.0001151;Nm;
"Short Circuit Max Braking Torque";-0.000205;Nm;
"Short Circuit Max Braking Torque Speed";903.2;rpm;
"Fundamental Frequency";686;Hz;
"Shaft Speed";2940;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";-0.03485;Nm;
"Average torque (Maxwell stress)";0.045289;Nm;
"Average torque (loop torque)";0.023402;Nm;
"Torque Ripple (MsVw)";0.15936;Nm;
"Torque Ripple (MsVw) [%]";501.54;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3054.2;rpm;
"No load speed";-2.7095E005;rpm;
"Speed limit for zero q axis current";3150.9;rpm;
"Electromagnetic Power";9.7826;Watts;
"Input Power";290.66;Watts;
"Total Losses (on load)";289.46;Watts;
"Output Power";1.1959;Watts;
"Converter Efficiency";98.143;%;
"Motor Efficiency";0.41144;%;
"System Efficiency";0.4038;%;
"Shaft Torque";0.0038843;Nm;
"Power Factor [Waveform] (leading)";0.30313;;
"Power Factor Angle [Waveform]";-287.65;EDeg;
"Power Factor [THD]";0.30218;;
"Power Factor [Phasor] (leading)";0.27564;;
"Power Factor Angle [Phasor]";74;EDeg;
"Load Angle [Phasor]";73.609;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";18.921;Volts;
"Rotor Inertia";4.952E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";4.952E-005;kg.m©÷;
"Torque per rotor volume";3.8098;kNm/m©ø;
"Rotor peripheral velocity (on load)";9.4672;m/s;
"Flux Linkage D (Q axis current)";-0.0697649;mVs;
"Flux Linkage Q (Q axis current)";5.97331;mVs;
"Flux linkage D (On load)";0.0410919;mVs;
"Flux linkage Q (On load)";5.99396;mVs;
"Torque Constant (Kt)";0.00133578;Nm/A;
"Motor Constant (Km)";0.00189841;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";-0.00169171;Vs/Rad;
"Stall Current";72.7128;Amps;
"Stall Torque";0.0971284;Nm;
"Cogging Period";2.14286;MDeg;
"Cogging Frequency";8232;Hz;
"Fundamental Frequency";686;Hz;
"Mechanical Frequency";49;Hz;
"Optimum Skewing Angle";2.14286;MDeg;
"Magnetic Symmetry Factor_(User specified not to use symmetry)";1;;
"Magnetic Axial Length (Slice1)";9.7;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";-0.03485;Nm;
"Average torque (Maxwell stress)";0.045289;Nm;
"Average torque (loop torque)";0.023402;Nm;
"Torque Ripple (MsVw)";0.15936;Nm;
"Torque Ripple (MsVw) [%]";501.54;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3054.2;rpm;
"No load speed";-2.7095E005;rpm;
"Speed limit for zero q axis current";3150.9;rpm;
"Electromagnetic Power";9.7826;Watts;
