Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";48.58;Volts;
"Line-Line Terminal Voltage (rms)";34.18;Volts;
"Phase Terminal Voltage (peak)";27.48;Volts;
"Phase Terminal Voltage (rms)";19.76;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.5121;%;
"Harmonic Distortion Phase Terminal Voltage";4.69;%;
"Back EMF Line-Line Voltage (peak)";44.88;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";44.84;Volts;
"Back EMF Phase Voltage (peak)";24.82;Volts;
"Back EMF Line-Line Voltage (rms)";31.7;Volts;
"Back EMF Phase Voltage (rms)";18.32;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.1683;%;
"Harmonic Distortion Back EMF Phase Voltage";4.234;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";4.095;Amps;
"Line Current (peak)";4.667;Amps;
"Line Current (rms)";3.3;Amps;
"Phase Current (peak)";4.667;Amps;
"Phase Current (rms)";3.3;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";2.343;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2414;mH;
"Q Axis Inductance";0.294;mH;
"Line-Line Inductance (DQ)";0.5354;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.01139;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";3.3;Amps;
"Torque Constant (Kt)";0.1253;Nm/A;
"Motor Constant (Km)";0.1811;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1458;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1456;Vs/Rad;
"Electrical Constant";0.8389;msec;
"Mechanical Constant";0.7869;msec;
"Electrical Loading";1.476E004;Amps/m;
"Stall Current";75.2;Amps;
"Stall Torque";9.425;Nm;
"Short Circuit Line Current (peak)";23.72;Amps;
"Short Circuit Current Density (peak)";83.89;Amps/mm©÷;
"Short Circuit Current Density (rms)";59.32;Amps/mm©÷;
"Short Circuit Braking Torque";-0.8747;Nm;
"Short Circuit Max Braking Torque";-1.571;Nm;
"Short Circuit Max Braking Torque Speed";900;rpm;
"Fundamental Frequency";686;Hz;
"Shaft Speed";2940;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 2.343 EDeg)";0.58671;Nm;
"Average torque (Maxwell stress)";0.58675;Nm;
"Average torque (loop torque)";0.58605;Nm;
"Torque Ripple (MsVw)";0.0064862;Nm;
"Torque Ripple (MsVw) [%]";1.109;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";2918.6;rpm;
"No load speed";3144.4;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point near voltage limit.";180.07;Watts;
"Input Power";191.54;Watts;
"Total Losses (on load)";22.264;Watts;
"Output Power_Operating point near voltage limit.";169.28;Watts;
"Converter Efficiency";97.456;%;
"Motor Efficiency";88.376;%;
"System Efficiency";86.128;%;
"Shaft Torque";0.54982;Nm;
"Power Factor [Waveform] (leading)";0.97814;;
"Power Factor Angle [Waveform]";12.001;EDeg;
"Power Factor [THD]";0.97707;;
"Power Factor [Phasor] (leading)";0.97815;;
"Power Factor Angle [Phasor]";12;EDeg;
"Load Angle [Phasor]";12.182;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";19.817;Volts;
"Rotor Inertia";4.5047E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";4.5047E-005;kg.m©÷;
"Torque per rotor volume";74.405;kNm/m©ø;
"Rotor peripheral velocity (on load)";9.4672;m/s;
"Flux Linkage D (Q axis current)";5.98151;mVs;
"Flux Linkage Q (Q axis current)";1.36058;mVs;
"Flux linkage D (On load)";5.99076;mVs;
"Flux linkage Q (On load)";1.34712;mVs;
"Torque Constant (Kt)";0.125324;Nm/A;
"Motor Constant (Km)";0.181137;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.145771;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.145628;Vs/Rad;
"Stall Current";75.2044;Amps;
"Stall Torque";9.42495;Nm;
"Cogging Period";2.14286;MDeg;
"Cogging Frequency";8232;Hz;
"Fundamental Frequency";686;Hz;
"Mechanical Frequency";49;Hz;
"Optimum Skewing Angle";2.14286;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";9.7;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 2.343 EDeg)";0.58671;Nm;
"Average torque (Maxwell stress)";0.58675;Nm;
