Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";14.72;Volts;
"Line-Line Terminal Voltage (rms)";10.43;Volts;
"Phase Terminal Voltage (peak)";8.571;Volts;
"Phase Terminal Voltage (rms)";6.038;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";0.5877;%;
"Harmonic Distortion Phase Terminal Voltage";6.612;%;
"Back EMF Line-Line Voltage (peak)";6.721;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";6.708;Volts;
"Back EMF Phase Voltage (peak)";3.691;Volts;
"Back EMF Line-Line Voltage (rms)";4.743;Volts;
"Back EMF Phase Voltage (rms)";2.742;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.2262;%;
"Harmonic Distortion Back EMF Phase Voltage";4.78;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";3.865;Amps;
"Line Current (peak)";14.85;Amps;
"Line Current (rms)";10.5;Amps;
"Phase Current (peak)";14.85;Amps;
"Phase Current (rms)";10.5;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";8.971;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1973;mH;
"Q Axis Inductance";0.252;mH;
"Line-Line Inductance (DQ)";0.4493;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.009925;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";10.5;Amps;
"Torque Constant (Kt)";0.104;Nm/A;
"Motor Constant (Km)";0.1549;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1284;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1281;Vs/Rad;
"Electrical Constant";0.7471;msec;
"Mechanical Constant";1.015;msec;
"Electrical Loading";4.174E004;Amps/m;
"Stall Current";79.82;Amps;
"Stall Torque";8.302;Nm;
"Short Circuit Line Current (peak)";10.95;Amps;
"Short Circuit Current Density (peak)";35.56;Amps/mm©÷;
"Short Circuit Current Density (rms)";25.15;Amps/mm©÷;
"Short Circuit Braking Torque";-1.033;Nm;
"Short Circuit Max Braking Torque";-1.327;Nm;
"Short Circuit Max Braking Torque Speed";1036;rpm;
"Fundamental Frequency";116.7;Hz;
"Shaft Speed";500;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 8.971 EDeg)";1.566;Nm;
"Average torque (Maxwell stress)";1.5458;Nm;
"Average torque (loop torque)";1.5445;Nm;
"Torque Ripple (MsVw)";0.015215;Nm;
"Torque Ripple (MsVw) [%]";0.98512;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";2637.6;rpm;
"No load speed";3571.1;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";80.869;Watts;
"Input Power";180.51;Watts;
"Total Losses (on load)";101.37;Watts;
"Output Power";79.143;Watts;
"Converter Efficiency";97.305;%;
"Motor Efficiency";43.843;%;
"System Efficiency";42.662;%;
"Shaft Torque";1.5115;Nm;
"Power Factor [Waveform] (leading)";0.9501;;
"Power Factor Angle [Waveform]";18.176;EDeg;
"Power Factor [THD]";0.94803;;
"Power Factor [Phasor] (leading)";0.95106;;
"Power Factor Angle [Phasor]";18;EDeg;
"Load Angle [Phasor]";18.202;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";6.2098;Volts;
"Rotor Inertia";4.5047E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";4.5047E-005;kg.m©÷;
"Torque per rotor volume";196.48;kNm/m©ø;
"Rotor peripheral velocity (on load)";1.6101;m/s;
"Flux Linkage D (Q axis current)";4.95737;mVs;
"Flux Linkage Q (Q axis current)";3.62406;mVs;
"Flux linkage D (On load)";4.96206;mVs;
"Flux linkage Q (On load)";3.62743;mVs;
"Torque Constant (Kt)";0.104011;Nm/A;
"Motor Constant (Km)";0.154872;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.128355;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.128119;Vs/Rad;
"Stall Current";79.8153;Amps;
"Stall Torque";8.3017;Nm;
"Cogging Period";2.14286;MDeg;
"Cogging Frequency";1400;Hz;
"Fundamental Frequency";116.667;Hz;
"Mechanical Frequency";8.33333;Hz;
"Optimum Skewing Angle";2.14286;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";9.7;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 8.971 EDeg)";1.566;Nm;
"Average torque (Maxwell stress)";1.5458;Nm;
"Average torque (loop torque)";1.5445;Nm;
