Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";45.4;Volts;
"Line-Line Terminal Voltage (rms)";31.64;Volts;
"Phase Terminal Voltage (peak)";26.14;Volts;
"Phase Terminal Voltage (rms)";18.29;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.332;%;
"Harmonic Distortion Phase Terminal Voltage";4.657;%;
"Back EMF Line-Line Voltage (peak)";41.93;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";41.52;Volts;
"Back EMF Phase Voltage (peak)";23.63;Volts;
"Back EMF Line-Line Voltage (rms)";29.36;Volts;
"Back EMF Phase Voltage (rms)";16.95;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";1.322;%;
"Harmonic Distortion Back EMF Phase Voltage";2.231;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";3.792;Amps;
"Line Current (peak)";4.667;Amps;
"Line Current (rms)";3.3;Amps;
"Phase Current (peak)";4.667;Amps;
"Phase Current (rms)";3.3;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";3.801;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.202;mH;
"Q Axis Inductance";0.2812;mH;
"Line-Line Inductance (DQ)";0.4832;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.008463;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";3.3;Amps;
"Torque Constant (Kt)";0.1157;Nm/A;
"Motor Constant (Km)";0.1719;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1362;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1349;Vs/Rad;
"Electrical Constant";0.7996;msec;
"Mechanical Constant";0.8635;msec;
"Electrical Loading";1.476E004;Amps/m;
"Stall Current";79.43;Amps;
"Stall Torque";9.193;Nm;
"Short Circuit Line Current (peak)";25.94;Amps;
"Short Circuit Current Density (peak)";90.36;Amps/mm©÷;
"Short Circuit Current Density (rms)";63.89;Amps/mm©÷;
"Short Circuit Braking Torque";-0.9906;Nm;
"Short Circuit Max Braking Torque";-1.629;Nm;
"Short Circuit Max Braking Torque Speed";1012;rpm;
"Fundamental Frequency";686;Hz;
"Shaft Speed";2940;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 3.801 EDeg)";0.54264;Nm;
"Average torque (Maxwell stress)";0.54182;Nm;
"Average torque (loop torque)";0.54092;Nm;
"Torque Ripple (MsVw)";0.010711;Nm;
"Torque Ripple (MsVw) [%]";1.9831;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3163.9;rpm;
"No load speed";3365.3;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";166.28;Watts;
"Input Power";177.04;Watts;
"Total Losses (on load)";21.836;Watts;
"Output Power";155.2;Watts;
"Converter Efficiency";97.253;%;
"Motor Efficiency";87.666;%;
"System Efficiency";85.258;%;
"Shaft Torque";0.5041;Nm;
"Power Factor [Waveform] (leading)";0.97673;;
"Power Factor Angle [Waveform]";12.384;EDeg;
"Power Factor [THD]";0.97567;;
"Power Factor [Phasor] (leading)";0.97437;;
"Power Factor Angle [Phasor]";13;EDeg;
"Load Angle [Phasor]";12.561;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";18.389;Volts;
"Rotor Inertia";4.5047E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";4.5047E-005;kg.m©÷;
"Torque per rotor volume";68.709;kNm/m©ø;
"Rotor peripheral velocity (on load)";9.4672;m/s;
"Flux Linkage D (Q axis current)";5.52457;mVs;
"Flux Linkage Q (Q axis current)";1.29469;mVs;
"Flux linkage D (On load)";5.52945;mVs;
"Flux linkage Q (On load)";1.28715;mVs;
"Torque Constant (Kt)";0.11573;Nm/A;
"Motor Constant (Km)";0.171908;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.136205;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.13486;Vs/Rad;
"Stall Current";79.4333;Amps;
"Stall Torque";9.19283;Nm;
"Cogging Period";2.14286;MDeg;
"Cogging Frequency";8232;Hz;
"Fundamental Frequency";686;Hz;
"Mechanical Frequency";49;Hz;
"Optimum Skewing Angle";2.14286;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";9.7;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 3.801 EDeg)";0.54264;Nm;
"Average torque (Maxwell stress)";0.54182;Nm;
"Average torque (loop torque)";0.54092;Nm;
