Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";40.02;Volts;
"Line-Line Terminal Voltage (rms)";27.91;Volts;
"Phase Terminal Voltage (peak)";22.87;Volts;
"Phase Terminal Voltage (rms)";16.13;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.3;%;
"Harmonic Distortion Phase Terminal Voltage";4.104;%;
"Back EMF Line-Line Voltage (peak)";37.27;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";36.91;Volts;
"Back EMF Phase Voltage (peak)";21.01;Volts;
"Back EMF Line-Line Voltage (rms)";26.1;Volts;
"Back EMF Phase Voltage (rms)";15.07;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";1.322;%;
"Harmonic Distortion Back EMF Phase Voltage";2.231;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";3.279;Amps;
"Line Current (peak)";4.525;Amps;
"Line Current (rms)";3.2;Amps;
"Phase Current (peak)";4.525;Amps;
"Phase Current (rms)";3.2;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";135;EDeg;
"Drive Offset Angle (On load)";135;EDeg;
"Phase Advance to give maximum torque";3.338;EDeg;
"Phasor Offset Angle";30;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1586;mH;
"Q Axis Inductance";0.2224;mH;
"Line-Line Inductance (DQ)";0.381;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.006616;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";3.2;Amps;
"Torque Constant (Kt)";0.1032;Nm/A;
"Motor Constant (Km)";0.1658;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1211;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1199;Vs/Rad;
"Electrical Constant";0.7378;msec;
"Mechanical Constant";0.9312;msec;
"Electrical Loading";1.272E004;Amps/m;
"Stall Current";92.95;Amps;
"Stall Torque";9.59;Nm;
"Short Circuit Line Current (peak)";29.17;Amps;
"Short Circuit Current Density (peak)";90.68;Amps/mm©÷;
"Short Circuit Current Density (rms)";64.12;Amps/mm©÷;
"Short Circuit Braking Torque";-1.07;Nm;
"Short Circuit Max Braking Torque";-1.649;Nm;
"Short Circuit Max Braking Torque Speed";1101;rpm;
"Fundamental Frequency";686;Hz;
"Shaft Speed";2940;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 3.338 EDeg)";0.46858;Nm;
"Average torque (Maxwell stress)";0.46865;Nm;
"Average torque (loop torque)";0.46718;Nm;
"Torque Ripple (MsVw)";0.009959;Nm;
"Torque Ripple (MsVw) [%]";2.1331;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";3606.9;rpm;
"No load speed";3785.9;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";143.74;Watts;
"Input Power";152.4;Watts;
"Total Losses (on load)";19.718;Watts;
"Output Power";132.68;Watts;
"Converter Efficiency";96.823;%;
"Motor Efficiency";87.061;%;
"System Efficiency";84.296;%;
"Shaft Torque";0.43095;Nm;
"Power Factor [Waveform] (leading)";0.98242;;
"Power Factor Angle [Waveform]";10.758;EDeg;
"Power Factor [THD]";0.9816;;
"Power Factor [Phasor] (leading)";0.98163;;
"Power Factor Angle [Phasor]";11;EDeg;
"Load Angle [Phasor]";10.922;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";16.188;Volts;
"Rotor Inertia";4.5047E-005;kg.m©÷;
"Shaft Inertia";0;kg.m©÷;
"Total Inertia";4.5047E-005;kg.m©÷;
"Torque per rotor volume";59.395;kNm/m©ø;
"Rotor peripheral velocity (on load)";9.4672;m/s;
"Flux Linkage D (Q axis current)";4.92214;mVs;
"Flux Linkage Q (Q axis current)";0.994058;mVs;
"Flux linkage D (On load)";4.92483;mVs;
"Flux linkage Q (On load)";0.987949;mVs;
"Torque Constant (Kt)";0.103169;Nm/A;
"Motor Constant (Km)";0.165779;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.121071;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.119875;Vs/Rad;
"Stall Current";92.9537;Amps;
"Stall Torque";9.58989;Nm;
"Cogging Period";2.14286;MDeg;
"Cogging Frequency";8232;Hz;
"Fundamental Frequency";686;Hz;
"Mechanical Frequency";49;Hz;
"Optimum Skewing Angle";2.14286;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";9.7;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 3.338 EDeg)";0.46858;Nm;
"Average torque (Maxwell stress)";0.46865;Nm;
"Average torque (loop torque)";0.46718;Nm;
