Drive
"DC Bus Voltage";100;Volts;
"Line-Line Supply Voltage (rms)";70.71;Volts;
"Phase Supply Voltage (rms)";40.82;Volts;
"Line-Line Terminal Voltage (peak)";1.065E004;Volts;
"Line-Line Terminal Voltage (rms)";7357;Volts;
"Phase Terminal Voltage (peak)";5709;Volts;
"Phase Terminal Voltage (rms)";4263;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";3.418;%;
"Harmonic Distortion Phase Terminal Voltage";9.289;%;
"Back EMF Line-Line Voltage (peak)";7173;Volts;
"Back EMF Phase Voltage (peak)";4141;Volts;
"Back EMF Line-Line Voltage (rms)";5072;Volts;
"Back EMF Phase Voltage (rms)";2928;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";320.8;Amps;
"Line Current (peak)";5;Amps;
"Line Current (rms)";3.536;Amps;
"Phase Current (peak)";5;Amps;
"Phase Current (rms)";3.536;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";30;EDeg;
"Drive Offset Angle (On load)";30;EDeg;
"Phase Advance to give maximum torque";25.57;EDeg;
"Phasor Offset Angle";15;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";224;mH;
"Q Axis Inductance";677.4;mH;
"Line-Line Inductance (DQ)";901.4;mH;
"Armature End Winding Inductance_(Rosa and Grover)";4.97;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";3.536;Amps;
"Torque Constant (Kt)";19.65;Nm/A;
"Motor Constant (Km)";2.819;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";22.83;Vs/Rad;
"Electrical Constant";13.92;msec;
"Electrical Loading";3.79E004;Amps/m;
"Stall Current";1.544;Amps;
"Stall Torque";30.33;Nm;
"Short Circuit Line Current (peak)";14.66;Amps;
"Short Circuit Current Density (peak)";62.16;Amps/mm©÷;
"Short Circuit Current Density (rms)";43.95;Amps/mm©÷;
"Short Circuit Braking Torque";-33.24;Nm;
"Short Circuit Max Braking Torque";-185.5;Nm;
"Short Circuit Max Braking Torque Speed";291.8;rpm;
"Fundamental Frequency";200;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 25.57 EDeg)";115.67;Nm;
"Average torque (virtual work)";98.535;Nm;
"Average torque (loop torque)";97.913;Nm;
"Torque Ripple (MsVw)";15.408;Nm;
"Torque Ripple (MsVw) [%]";15.684;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";0;rpm;
"No load speed";41.824;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";30862;Watts;
"Input Power";32078;Watts;
"Total Losses (on load)";1787.8;Watts;
"Output Power_Operating point outside voltage limit.";30290;Watts;
"System Efficiency";94.427;%;
"Shaft Torque";96.417;Nm;
"Power Factor [Waveform] (lagging)";0.71375;;
"Power Factor Angle [Waveform]";44.459;EDeg;
"Power Factor [THD]";0.71069;;
"Power Factor [Phasor] (lagging)";0.70711;;
"Power Factor Angle [Phasor]";45;EDeg;
"Load Angle [Phasor]";44.687;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";4279.9;Volts;
"Rotor Inertia";0.040992;kg.m©÷;
"Shaft Inertia";0.00056945;kg.m©÷;
"Total Inertia";0.041561;kg.m©÷;
"Torque per rotor volume";41.663;kNm/m©ø;
"Rotor peripheral velocity (on load)";22.076;m/s;
"Flux Linkage D (Q axis current)";3295.55;mVs;
"Flux Linkage Q (Q axis current)";3351.56;mVs;
"Flux linkage D (On load)";3287.74;mVs;
"Flux linkage Q (On load)";3352.21;mVs;
"Torque Constant (Kt)";19.6477;Nm/A;
"Motor Constant (Km)";2.81885;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";22.8323;Vs/Rad;
"Stall Current";1.54377;Amps;
"Stall Torque";30.3315;Nm;
"Cogging Period";7.5;MDeg;
"Cogging Frequency";2400;Hz;
"Fundamental Frequency";200;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";7.5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";150;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 25.57 EDeg)";115.67;Nm;
"Average torque (virtual work)";98.535;Nm;
"Average torque (loop torque)";97.913;Nm;
"Torque Ripple (MsVw)";15.408;Nm;
"Torque Ripple (MsVw) [%]";15.684;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";0;rpm;
"No load speed";41.824;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";30862;Watts;
"Input Power";32078;Watts;
"Total Losses (on load)";1787.8;Watts;
"Output Power_Operating point outside voltage limit.";30290;Watts;
"System Efficiency";94.427;%;
"Shaft Torque";96.417;Nm;
"Power Factor [Waveform] (lagging)";0.71375;;
"Power Factor Angle [Waveform]";44.459;EDeg;
"Power Factor [THD]";0.71069;;
"Power Factor [Phasor] (lagging)";0.70711;;
"Power Factor Angle [Phasor]";45;EDeg;
"Load Angle [Phasor]";44.687;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";4279.9;Volts;
"Rotor Inertia";0.040992;kg.m©÷;
"Shaft Inertia";0.00056945;kg.m©÷;
"Total Inertia";0.041561;kg.m©÷;
"Torque per rotor volume";41.663;kNm/m©ø;
"Rotor peripheral velocity (on load)";22.076;m/s;
"Flux Linkage D (Q axis current)";3295.55;mVs;
"Flux Linkage Q (Q axis current)";3351.56;mVs;
"Flux linkage D (On load)";3287.74;mVs;
"Flux linkage Q (On load)";3352.21;mVs;
"Torque Constant (Kt)";19.6477;Nm/A;
"Motor Constant (Km)";2.81885;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";22.8323;Vs/Rad;
"Stall Current";1.54377;Amps;
"Stall Torque";30.3315;Nm;
"Cogging Period";7.5;MDeg;
"Cogging Frequency";2400;Hz;
"Fundamental Frequency";200;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";7.5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";150;mm;

Equivalent Circuit
"Phase Resistance";32.39;Ohms;
"D Axis Inductance";224;mH;
"Q Axis Inductance";677.4;mH;
"Stator Slot Leakage Inductance";50.92;mH;
"Stator Differential Leakage Inductance";24.9;mH;
"Armature End Winding Inductance_(Rosa and Grover)";4.97;mH;
"Stator Leakage Inductance (Total)";80.79;mH;
"Magnetizing Inductance (D Axis)";143.2;mH;
"Magnetizing Inductance (Q Axis)";596.6;mH;
"D Axis Reactance";281.4;Ohms;
"Q Axis Reactance";851.3;Ohms;
"Stator Slot Leakage Reactance";63.99;Ohms;
"Stator Differential Leakage Reactance";31.28;Ohms;
"Armature End Winding Reactance";6.245;Ohms;
"Stator Leakage Reactance (Total)";101.5;Ohms;
"Magnetizing Reactance (D Axis)";179.9;Ohms;
"Magnetizing Reactance (Q Axis)";749.8;Ohms;
"Rotor Referred Resistance";571.6;Ohms;
"First Order Transient Reactance (D Axis)";101.5;Ohms;
"First Order Transient Reactance (Q Axis)";851.3;Ohms;
"Excitation Time Constant (Te)";0.0002505;secs;
"First Order Transient Time Constant (Td')";9.036E-005;secs;
"Armature Time Constant (Ta)";0.01171;secs;

Flux Densities
"Airgap flux density (mean)";0.7233;Tesla;
"Airgap Flux Density (peak)";1.216;Tesla;
"Stator Tooth Flux Density (peak)";1.694;Tesla;
"Stator Tooth Tip Flux Density (peak)";1.942;Tesla;
