Drive
"DC Bus Voltage";100;Volts;
"Line-Line Supply Voltage (rms)";70.71;Volts;
"Phase Supply Voltage (rms)";40.82;Volts;
"Line-Line Terminal Voltage (peak)";265.1;Volts;
"Line-Line Terminal Voltage (rms)";182.3;Volts;
"Phase Terminal Voltage (peak)";147;Volts;
"Phase Terminal Voltage (rms)";105.3;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";4.647;%;
"Harmonic Distortion Phase Terminal Voltage";5.925;%;
"Back EMF Line-Line Voltage (peak)";256;Volts;
"Back EMF Phase Voltage (peak)";147.8;Volts;
"Back EMF Line-Line Voltage (rms)";181.1;Volts;
"Back EMF Phase Voltage (rms)";104.5;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";11.59;Amps;
"Line Current (peak)";5;Amps;
"Line Current (rms)";3.536;Amps;
"Phase Current (peak)";5;Amps;
"Phase Current (rms)";3.536;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";30;EDeg;
"Drive Offset Angle (On load)";30;EDeg;
"Phase Advance to give maximum torque";1.003;EDeg;
"Phasor Offset Angle";15;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1891;mH;
"Q Axis Inductance";0.6012;mH;
"Line-Line Inductance (DQ)";0.7903;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.001717;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";3.536;Amps;
"Torque Constant (Kt)";0.7372;Nm/A;
"Motor Constant (Km)";4.685;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.815;Vs/Rad;
"Electrical Constant";23.94;msec;
"Electrical Loading";1137;Amps/m;
"Stall Current";3030;Amps;
"Stall Torque";2233;Nm;
"Short Circuit Line Current (peak)";621.4;Amps;
"Short Circuit Current Density (peak)";50.28;Amps/mm©÷;
"Short Circuit Current Density (rms)";35.55;Amps/mm©÷;
"Short Circuit Braking Torque";-30.43;Nm;
"Short Circuit Max Braking Torque";-285.2;Nm;
"Short Circuit Max Braking Torque Speed";173.3;rpm;
"Fundamental Frequency";200;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 1.003 EDeg)";3.5296;Nm;
"Average torque (virtual work)";3.5444;Nm;
"Average torque (loop torque)";3.5271;Nm;
"Torque Ripple (MsVw)";7.6162;Nm;
"Torque Ripple (MsVw) [%]";206.63;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";1169.6;rpm;
"No load speed";1171.7;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";1157.9;Watts;
"Input Power";1158.8;Watts;
"Total Losses (on load)";142.1;Watts;
"Output Power_Operating point outside voltage limit.";1016.7;Watts;
"System Efficiency";87.737;%;
"Shaft Torque";3.2362;Nm;
"Power Factor [Waveform] (lagging)";0.99967;;
"Power Factor Angle [Waveform]";1.4674;EDeg;
"Power Factor [THD]";0.99792;;
"Power Factor [Phasor] (lagging)";0.99985;;
"Power Factor Angle [Phasor]";1;EDeg;
"Load Angle [Phasor]";1.463;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";104.62;Volts;
"Rotor Inertia";0.040992;kg.m©÷;
"Shaft Inertia";0.00056945;kg.m©÷;
"Total Inertia";0.041561;kg.m©÷;
"Torque per rotor volume";1.5632;kNm/m©ø;
"Rotor peripheral velocity (on load)";22.076;m/s;
"Flux Linkage D (Q axis current)";117.637;mVs;
"Flux Linkage Q (Q axis current)";3.0023;mVs;
"Flux linkage D (On load)";118.434;mVs;
"Flux linkage Q (On load)";3.03564;mVs;
"Torque Constant (Kt)";0.737169;Nm/A;
"Motor Constant (Km)";4.68532;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.815012;Vs/Rad;
"Stall Current";3029.74;Amps;
"Stall Torque";2233.43;Nm;
"Cogging Period";7.5;MDeg;
"Cogging Frequency";2400;Hz;
"Fundamental Frequency";200;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";7.5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";150;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 1.003 EDeg)";3.5296;Nm;
"Average torque (virtual work)";3.5444;Nm;
"Average torque (loop torque)";3.5271;Nm;
"Torque Ripple (MsVw)";7.6162;Nm;
"Torque Ripple (MsVw) [%]";206.63;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";1169.6;rpm;
"No load speed";1171.7;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";1157.9;Watts;
"Input Power";1158.8;Watts;
"Total Losses (on load)";142.1;Watts;
"Output Power_Operating point outside voltage limit.";1016.7;Watts;
"System Efficiency";87.737;%;
"Shaft Torque";3.2362;Nm;
"Power Factor [Waveform] (lagging)";0.99967;;
"Power Factor Angle [Waveform]";1.4674;EDeg;
"Power Factor [THD]";0.99792;;
"Power Factor [Phasor] (lagging)";0.99985;;
"Power Factor Angle [Phasor]";1;EDeg;
"Load Angle [Phasor]";1.463;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";104.62;Volts;
"Rotor Inertia";0.040992;kg.m©÷;
"Shaft Inertia";0.00056945;kg.m©÷;
"Total Inertia";0.041561;kg.m©÷;
"Torque per rotor volume";1.5632;kNm/m©ø;
"Rotor peripheral velocity (on load)";22.076;m/s;
"Flux Linkage D (Q axis current)";117.637;mVs;
"Flux Linkage Q (Q axis current)";3.0023;mVs;
"Flux linkage D (On load)";118.434;mVs;
"Flux linkage Q (On load)";3.03564;mVs;
"Torque Constant (Kt)";0.737169;Nm/A;
"Motor Constant (Km)";4.68532;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.815012;Vs/Rad;
"Stall Current";3029.74;Amps;
"Stall Torque";2233.43;Nm;
"Cogging Period";7.5;MDeg;
"Cogging Frequency";2400;Hz;
"Fundamental Frequency";200;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";7.5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";150;mm;

Equivalent Circuit
"Phase Resistance";0.0165;Ohms;
"D Axis Inductance";0.1891;mH;
"Q Axis Inductance";0.6012;mH;
"Stator Slot Leakage Inductance";0.04593;mH;
"Stator Differential Leakage Inductance";0.02241;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.001717;mH;
"Stator Leakage Inductance (Total)";0.07005;mH;
"Magnetizing Inductance (D Axis)";0.119;mH;
"Magnetizing Inductance (Q Axis)";0.5312;mH;
"D Axis Reactance";0.2376;Ohms;
"Q Axis Reactance";0.7555;Ohms;
"Stator Slot Leakage Reactance";0.05772;Ohms;
"Stator Differential Leakage Reactance";0.02816;Ohms;
"Armature End Winding Reactance";0.002158;Ohms;
"Stator Leakage Reactance (Total)";0.08803;Ohms;
"Magnetizing Reactance (D Axis)";0.1495;Ohms;
"Magnetizing Reactance (Q Axis)";0.6675;Ohms;
"Rotor Referred Resistance";0.5144;Ohms;
"First Order Transient Reactance (D Axis)";0.08803;Ohms;
"First Order Transient Reactance (Q Axis)";0.7555;Ohms;
"Excitation Time Constant (Te)";0.0002314;secs;
"First Order Transient Time Constant (Td')";8.572E-005;secs;
"Armature Time Constant (Ta)";0.02034;secs;

Flux Densities
"Airgap flux density (mean)";0.596;Tesla;
"Airgap Flux Density (peak)";0.9975;Tesla;
