Drive
"DC Bus Voltage";100;Volts;
"Line-Line Supply Voltage (rms)";70.71;Volts;
"Phase Supply Voltage (rms)";40.82;Volts;
"Line-Line Terminal Voltage (peak)";204.8;Volts;
"Line-Line Terminal Voltage (rms)";125.7;Volts;
"Phase Terminal Voltage (peak)";104.9;Volts;
"Phase Terminal Voltage (rms)";72.89;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";8.362;%;
"Harmonic Distortion Phase Terminal Voltage";12.55;%;
"Back EMF Line-Line Voltage (peak)";176.6;Volts;
"Back EMF Phase Voltage (peak)";102;Volts;
"Back EMF Line-Line Voltage (rms)";124.9;Volts;
"Back EMF Phase Voltage (rms)";72.12;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";6.895;Amps;
"Line Current (peak)";5;Amps;
"Line Current (rms)";3.536;Amps;
"Phase Current (peak)";5;Amps;
"Phase Current (rms)";3.536;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";360;EDeg;
"Drive Offset Angle (On load)";0;EDeg;
"Phase Advance to give maximum torque";1.51;EDeg;
"Phasor Offset Angle";345;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2371;mH;
"Q Axis Inductance";0.6655;mH;
"Line-Line Inductance (DQ)";0.9027;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.005235;mH;
"D Axis Phase Current (average rms)";0;Amps;
"Q Axis Phase Current (average rms)";3.536;Amps;
"Torque Constant (Kt)";0.4387;Nm/A;
"Motor Constant (Km)";3.232;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.5623;Vs/Rad;
"Electrical Constant";36.76;msec;
"Electrical Loading";1228;Amps/m;
"Stall Current";4073;Amps;
"Stall Torque";1786;Nm;
"Short Circuit Line Current (peak)";342.1;Amps;
"Short Circuit Current Density (peak)";18.91;Amps/mm©÷;
"Short Circuit Current Density (rms)";13.37;Amps/mm©÷;
"Short Circuit Braking Torque";-6.86;Nm;
"Short Circuit Max Braking Torque";-103.4;Nm;
"Short Circuit Max Braking Torque Speed";106.9;rpm;
"Fundamental Frequency";200;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 1.51 EDeg)";2.4356;Nm;
"Average torque (virtual work)";2.4454;Nm;
"Average torque (loop torque)";2.425;Nm;
"Torque Ripple (MsVw)";7.0441;Nm;
"Torque Ripple (MsVw) [%]";321.17;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";1695.1;rpm;
"No load speed";1698.3;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";689.03;Watts;
"Input Power";689.51;Watts;
"Total Losses (on load)";144.3;Watts;
"Output Power_Operating point outside voltage limit.";545.22;Watts;
"System Efficiency";79.073;%;
"Shaft Torque";1.7355;Nm;
"Power Factor [Waveform] (lagging)";0.99917;;
"Power Factor Angle [Waveform]";2.3282;EDeg;
"Power Factor [THD]";0.9914;;
"Power Factor [Phasor] (lagging)";0.99939;;
"Power Factor Angle [Phasor]";2;EDeg;
"Load Angle [Phasor]";2.3466;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";72.22;Volts;
"Rotor Inertia";0.025375;kg.m©÷;
"Shaft Inertia";0.0050604;kg.m©÷;
"Total Inertia";0.030435;kg.m©÷;
"Torque per rotor volume";1.1016;kNm/m©ø;
"Rotor peripheral velocity (on load)";20.42;m/s;
"Flux Linkage D (Q axis current)";81.1592;mVs;
"Flux Linkage Q (Q axis current)";3.31392;mVs;
"Flux linkage D (On load)";81.4264;mVs;
"Flux linkage Q (On load)";3.31248;mVs;
"Torque Constant (Kt)";0.438653;Nm/A;
"Motor Constant (Km)";3.23243;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.562288;Vs/Rad;
"Stall Current";4072.65;Amps;
"Stall Torque";1786.48;Nm;
"Cogging Period";7.5;MDeg;
"Cogging Frequency";2400;Hz;
"Fundamental Frequency";200;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";7.5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";150;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 1.51 EDeg)";2.4356;Nm;
"Average torque (virtual work)";2.4454;Nm;
"Average torque (loop torque)";2.425;Nm;
"Torque Ripple (MsVw)";7.0441;Nm;
"Torque Ripple (MsVw) [%]";321.17;%;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";1695.1;rpm;
"No load speed";1698.3;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";689.03;Watts;
"Input Power";689.51;Watts;
"Total Losses (on load)";144.3;Watts;
"Output Power_Operating point outside voltage limit.";545.22;Watts;
"System Efficiency";79.073;%;
"Shaft Torque";1.7355;Nm;
"Power Factor [Waveform] (lagging)";0.99917;;
"Power Factor Angle [Waveform]";2.3282;EDeg;
"Power Factor [THD]";0.9914;;
"Power Factor [Phasor] (lagging)";0.99939;;
"Power Factor Angle [Phasor]";2;EDeg;
"Load Angle [Phasor]";2.3466;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";72.22;Volts;
"Rotor Inertia";0.025375;kg.m©÷;
"Shaft Inertia";0.0050604;kg.m©÷;
"Total Inertia";0.030435;kg.m©÷;
"Torque per rotor volume";1.1016;kNm/m©ø;
"Rotor peripheral velocity (on load)";20.42;m/s;
"Flux Linkage D (Q axis current)";81.1592;mVs;
"Flux Linkage Q (Q axis current)";3.31392;mVs;
"Flux linkage D (On load)";81.4264;mVs;
"Flux linkage Q (On load)";3.31248;mVs;
"Torque Constant (Kt)";0.438653;Nm/A;
"Motor Constant (Km)";3.23243;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.562288;Vs/Rad;
"Stall Current";4072.65;Amps;
"Stall Torque";1786.48;Nm;
"Cogging Period";7.5;MDeg;
"Cogging Frequency";2400;Hz;
"Fundamental Frequency";200;Hz;
"Mechanical Frequency";50;Hz;
"Optimum Skewing Angle";7.5;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";8;;
"Magnetic Axial Length (Slice1)";150;mm;

Equivalent Circuit
"Phase Resistance";0.01228;Ohms;
"D Axis Inductance";0.2371;mH;
"Q Axis Inductance";0.6655;mH;
"Stator Slot Leakage Inductance";0.04601;mH;
"Stator Differential Leakage Inductance";0.01993;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.005235;mH;
"Stator Leakage Inductance (Total)";0.07118;mH;
"Magnetizing Inductance (D Axis)";0.1659;mH;
"Magnetizing Inductance (Q Axis)";0.5944;mH;
"D Axis Reactance";0.298;Ohms;
"Q Axis Reactance";0.8364;Ohms;
"Stator Slot Leakage Reactance";0.05782;Ohms;
"Stator Differential Leakage Reactance";0.02504;Ohms;
"Armature End Winding Reactance";0.006579;Ohms;
"Stator Leakage Reactance (Total)";0.08944;Ohms;
"Magnetizing Reactance (D Axis)";0.2085;Ohms;
"Magnetizing Reactance (Q Axis)";0.7469;Ohms;
"Rotor Referred Resistance";0.6566;Ohms;
"First Order Transient Reactance (D Axis)";0.08944;Ohms;
"First Order Transient Reactance (Q Axis)";0.8364;Ohms;
"Excitation Time Constant (Te)";0.0002527;secs;
"First Order Transient Time Constant (Td')";7.587E-005;secs;
"Armature Time Constant (Ta)";0.03;secs;

Flux Densities
"Airgap flux density (mean)";0.4615;Tesla;
"Airgap Flux Density (peak)";0.7623;Tesla;
