Drive
"DC Bus Voltage";400;Volts;
"Line-Line Supply Voltage (rms)";282.8;Volts;
"Phase Supply Voltage (rms)";163.3;Volts;
"Line-Line Terminal Voltage (peak)";413.3;Volts;
"Line-Line Terminal Voltage (rms)";286.8;Volts;
"Phase Terminal Voltage (peak)";252.8;Volts;
"Phase Terminal Voltage (rms)";166.9;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";4.523;%;
"Harmonic Distortion Phase Terminal Voltage";13.23;%;
"Back EMF Line-Line Voltage (peak)";325.6;Volts;
"Back EMF Phase Voltage (peak)";188;Volts;
"Back EMF Line-Line Voltage (rms)";230.2;Volts;
"Back EMF Phase Voltage (rms)";132.9;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";195.2;Amps;
"Line Current (peak)";232.4;Amps;
"Line Current (rms)";164.3;Amps;
"Phase Current (peak)";232.4;Amps;
"Phase Current (rms)";164.3;Amps;
"Phase Advance";50.09;EDeg;
"Drive Offset Angle (Open Circuit)";360;EDeg;
"Drive Offset Angle (On load)";0;EDeg;
"Phase Advance to give maximum torque";31;EDeg;
"Phasor Offset Angle";345;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2125;mH;
"Q Axis Inductance";0.5657;mH;
"Line-Line Inductance (DQ)";0.782;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.005235;mH;
"D Axis Phase Current (average rms)";-126.1;Amps;
"Q Axis Phase Current (average rms)";105.4;Amps;
"Torque Constant (Kt)";0.5273;Nm/A;
"Motor Constant (Km)";3.722;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.5182;Vs/Rad;
"Electrical Constant";29.09;msec;
"Electrical Loading";5.706E004;Amps/m;
"Stall Current";1.495E004;Amps;
"Stall Torque";7884;Nm;
"Short Circuit Line Current (peak)";353.2;Amps;
"Short Circuit Current Density (peak)";19.52;Amps/mm©÷;
"Short Circuit Current Density (rms)";13.8;Amps/mm©÷;
"Short Circuit Braking Torque";-3.984;Nm;
"Short Circuit Max Braking Torque";-96.96;Nm;
"Short Circuit Max Braking Torque Speed";132.1;rpm;
"Fundamental Frequency";400;Hz;
"Shaft Speed";6000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 31 EDeg)";139.92;Nm;
"Average torque (virtual work)";123.12;Nm;
"Average torque (loop torque)";122.34;Nm;
"Torque Ripple (MsVw)";20.648;Nm;
"Torque Ripple (MsVw) [%]";16.849;%;
"Speed limit for constant torque_(For Phase Advance of 50.09 EDeg)";5910.8;rpm;
"No load speed";7371.6;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point near voltage limit.";76998;Watts;
"Input Power";78082;Watts;
"Total Losses (on load)";2032.9;Watts;
"Output Power_Operating point near voltage limit.";76050;Watts;
"System Efficiency";97.397;%;
"Shaft Torque";121.04;Nm;
"Power Factor [Waveform] (lagging)";0.96096;;
"Power Factor Angle [Waveform]";16.062;EDeg;
"Power Factor [THD]";0.95266;;
"Power Factor [Phasor] (lagging)";0.96126;;
"Power Factor Angle [Phasor]";16;EDeg;
"Load Angle [Phasor]";66.152;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";165.73;Volts;
"Rotor Inertia";0.025375;kg.m©÷;
"Shaft Inertia";0.0050604;kg.m©÷;
"Total Inertia";0.030435;kg.m©÷;
"Torque per rotor volume";61.551;kNm/m©ø;
"Rotor peripheral velocity (on load)";40.841;m/s;
"Flux Linkage D (Q axis current)";74.791;mVs;
"Flux Linkage Q (Q axis current)";83.8216;mVs;
"Flux linkage D (On load)";36.9117;mVs;
"Flux linkage Q (On load)";84.3454;mVs;
"Torque Constant (Kt)";0.527308;Nm/A;
