Drive
"DC Bus Voltage";400;Volts;
"Line-Line Supply Voltage (rms)";282.8;Volts;
"Phase Supply Voltage (rms)";163.3;Volts;
"Line-Line Terminal Voltage (peak)";419.7;Volts;
"Line-Line Terminal Voltage (rms)";290;Volts;
"Phase Terminal Voltage (peak)";252.8;Volts;
"Phase Terminal Voltage (rms)";168.8;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";3.594;%;
"Harmonic Distortion Phase Terminal Voltage";13.22;%;
"Back EMF Line-Line Voltage (peak)";302.4;Volts;
"Back EMF Phase Voltage (peak)";174.6;Volts;
"Back EMF Line-Line Voltage (rms)";213.8;Volts;
"Back EMF Phase Voltage (rms)";123.5;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";197.9;Amps;
"Line Current (peak)";239.7;Amps;
"Line Current (rms)";169.5;Amps;
"Phase Current (peak)";239.7;Amps;
"Phase Current (rms)";169.5;Amps;
"Phase Advance";49.69;EDeg;
"Drive Offset Angle (Open Circuit)";360;EDeg;
"Drive Offset Angle (On load)";0;EDeg;
"Phase Advance to give maximum torque";32.06;EDeg;
"Phasor Offset Angle";345;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2141;mH;
"Q Axis Inductance";0.5664;mH;
"Line-Line Inductance (DQ)";0.7824;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.005235;mH;
"D Axis Phase Current (average rms)";-129.2;Amps;
"Q Axis Phase Current (average rms)";109.6;Amps;
"Torque Constant (Kt)";0.5166;Nm/A;
"Motor Constant (Km)";3.36;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.4813;Vs/Rad;
"Electrical Constant";24.77;msec;
"Electrical Loading";5.886E004;Amps/m;
"Stall Current";1.269E004;Amps;
"Stall Torque";6557;Nm;
"Short Circuit Line Current (peak)";325.3;Amps;
"Short Circuit Current Density (peak)";17.98;Amps/mm©÷;
"Short Circuit Current Density (rms)";12.71;Amps/mm©÷;
"Short Circuit Braking Torque";-3.982;Nm;
"Short Circuit Max Braking Torque";-82.65;Nm;
"Short Circuit Max Braking Torque Speed";154.8;rpm;
"Fundamental Frequency";400;Hz;
"Shaft Speed";6000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 32.06 EDeg)";139.31;Nm;
"Average torque (virtual work)";124.39;Nm;
"Average torque (loop torque)";123.64;Nm;
"Torque Ripple (MsVw)";19.108;Nm;
"Torque Ripple (MsVw) [%]";15.43;%;
"Speed limit for constant torque_(For Phase Advance of 49.69 EDeg)";5842.7;rpm;
"No load speed";7936.2;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";77810;Watts;
"Input Power";79168;Watts;
"Total Losses (on load)";2312.1;Watts;
"Output Power_Operating point outside voltage limit.";76856;Watts;
"System Efficiency";97.08;%;
"Shaft Torque";122.32;Nm;
"Power Factor [Waveform] (lagging)";0.93401;;
"Power Factor Angle [Waveform]";20.931;EDeg;
"Power Factor [THD]";0.92595;;
"Power Factor [Phasor] (lagging)";0.93358;;
"Power Factor Angle [Phasor]";21;EDeg;
"Load Angle [Phasor]";70.62;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";167.63;Volts;
"Rotor Inertia";0.025375;kg.m©÷;
"Shaft Inertia";0.0050357;kg.m©÷;
"Total Inertia";0.030411;kg.m©÷;
"Torque per rotor volume";62.199;kNm/m©ø;
"Rotor peripheral velocity (on load)";40.841;m/s;
"Flux Linkage D (Q axis current)";69.4698;mVs;
"Flux Linkage Q (Q axis current)";87.5425;mVs;
"Flux linkage D (On load)";30.3269;mVs;
"Flux linkage Q (On load)";87.8332;mVs;
"Torque Constant (Kt)";0.516637;Nm/A;
