Drive
"DC Bus Voltage";400;Volts;
"Line-Line Supply Voltage (rms)";282.8;Volts;
"Phase Supply Voltage (rms)";163.3;Volts;
"Line-Line Terminal Voltage (peak)";1086;Volts;
"Line-Line Terminal Voltage (rms)";741;Volts;
"Phase Terminal Voltage (peak)";584.7;Volts;
"Phase Terminal Voltage (rms)";432.6;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";5.039;%;
"Harmonic Distortion Phase Terminal Voltage";15.84;%;
"Back EMF Line-Line Voltage (peak)";568.8;Volts;
"Back EMF Phase Voltage (peak)";328.4;Volts;
"Back EMF Line-Line Voltage (rms)";402.2;Volts;
"Back EMF Phase Voltage (rms)";232.2;Volts;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";613.5;Amps;
"Line Current (peak)";344.5;Amps;
"Line Current (rms)";243.6;Amps;
"Phase Current (peak)";344.5;Amps;
"Phase Current (rms)";243.6;Amps;
"Phase Advance";41.16;EDeg;
"Drive Offset Angle (Open Circuit)";360;EDeg;
"Drive Offset Angle (On load)";0;EDeg;
"Phase Advance to give maximum torque";33.27;EDeg;
"Phasor Offset Angle";345;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1919;mH;
"Q Axis Inductance";0.4533;mH;
"Line-Line Inductance (DQ)";0.6473;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.005235;mH;
"D Axis Phase Current (average rms)";-160.3;Amps;
"Q Axis Phase Current (average rms)";183.4;Amps;
"Torque Constant (Kt)";0.5604;Nm/A;
"Motor Constant (Km)";3.637;Nm/(Watts^0.5);
"Back EMF Constant (Ke) (fundamental)";0.4526;Vs/Rad;
"Electrical Constant";20.39;msec;
"Electrical Loading";8.459E004;Amps/m;
"Stall Current";1.264E004;Amps;
"Stall Torque";7082;Nm;
"Short Circuit Line Current (peak)";338.3;Amps;
"Short Circuit Current Density (peak)";18.7;Amps/mm©÷;
"Short Circuit Current Density (rms)";13.22;Amps/mm©÷;
"Short Circuit Braking Torque";-2.162;Nm;
"Short Circuit Max Braking Torque";-77.52;Nm;
"Short Circuit Max Braking Torque Speed";177.8;rpm;
"Fundamental Frequency";800;Hz;
"Shaft Speed";1.2E004;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 33.27 EDeg)";198.29;Nm;
"Average torque (virtual work)";193.72;Nm;
"Average torque (loop torque)";192.5;Nm;
"Torque Ripple (MsVw)";16.695;Nm;
"Torque Ripple (MsVw) [%]";8.6478;%;
"Speed limit for constant torque_(For Phase Advance of 41.16 EDeg)";4524.5;rpm;
"No load speed";8439.5;rpm;
"Speed limit for zero q axis current";7.0943E005;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";2.426E005;Watts;
"Input Power";2.4542E005;Watts;
"Total Losses (on load)";6798.7;Watts;
"Output Power_Operating point outside voltage limit.";2.3862E005;Watts;
"System Efficiency";97.23;%;
"Shaft Torque";189.89;Nm;
"Power Factor [Waveform] (lagging)";0.78793;;
"Power Factor Angle [Waveform]";38.008;EDeg;
"Power Factor [THD]";0.77822;;
"Power Factor [Phasor] (lagging)";0.78801;;
"Power Factor Angle [Phasor]";38;EDeg;
"Load Angle [Phasor]";79.167;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";428.07;Volts;
"Rotor Inertia";0.025375;kg.m©÷;
"Shaft Inertia";0.0050357;kg.m©÷;
"Total Inertia";0.030411;kg.m©÷;
"Torque per rotor volume";96.963;kNm/m©ø;
"Rotor peripheral velocity (on load)";81.681;m/s;
"Flux Linkage D (Q axis current)";65.3275;mVs;
"Flux Linkage Q (Q axis current)";111.553;mVs;
"Flux linkage D (On load)";21.8198;mVs;
"Flux linkage Q (On load)";117.577;mVs;
"Torque Constant (Kt)";0.560382;Nm/A;
