Drive
"DC Bus Voltage";400;Volts;
"Line-Line Supply Voltage (rms)";282.8;Volts;
"Phase Supply Voltage (rms)";163.3;Volts;
"Line-Line Terminal Voltage (peak)";298.4;Volts;
"Line-Line Terminal Voltage (rms)";207.3;Volts;
"Phase Terminal Voltage (peak)";155;Volts;
"Phase Terminal Voltage (rms)";121.5;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";5.954;%;
"Harmonic Distortion Phase Terminal Voltage";18.55;%;
"Back EMF Line-Line Voltage (peak)";184.8;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";161.5;Volts;
"Back EMF Phase Voltage (peak)";92.39;Volts;
"Back EMF Line-Line Voltage (rms)";114.5;Volts;
"Back EMF Phase Voltage (rms)";66.44;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";7.668;%;
"Harmonic Distortion Back EMF Phase Voltage";12.54;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";222.2;Amps;
"Line Current (peak)";480;Amps;
"Line Current (rms)";339.4;Amps;
"Phase Current (peak)";480;Amps;
"Phase Current (rms)";339.4;Amps;
"Phase Advance";45;EDeg;
"Drive Offset Angle (Open Circuit)";0;EDeg;
"Drive Offset Angle (On load)";0;EDeg;
"Phase Advance to give maximum torque";34.2;EDeg;
"Phasor Offset Angle";345;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.1858;mH;
"Q Axis Inductance";0.3862;mH;
"Line-Line Inductance (DQ)";0.5728;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.005272;mH;
"D Axis Phase Current (average rms)";-240;Amps;
"Q Axis Phase Current (average rms)";240;Amps;
"Torque Constant (Kt)";0.5547;Nm/A;
"Motor Constant (Km)";3.916;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.5882;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.514;Vs/Rad;
"Electrical Constant";21.38;msec;
"Mechanical Constant";1.04;msec;
"Electrical Loading";1.179E005;Amps/m;
"Stall Current";1.495E004;Amps;
"Stall Torque";8293;Nm;
"Short Circuit Line Current (peak)";345;Amps;
"Short Circuit Current Density (peak)";19.06;Amps/mm©÷;
"Short Circuit Current Density (rms)";13.48;Amps/mm©÷;
"Short Circuit Braking Torque";-7.602;Nm;
"Short Circuit Max Braking Torque";-74.1;Nm;
"Short Circuit Max Braking Torque Speed";162.9;rpm;
"Fundamental Frequency";200;Hz;
"Shaft Speed";3000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 34.2 EDeg)";278.77;Nm;
"Average torque (virtual work)";266.8;Nm;
"Average torque (loop torque)";264.8;Nm;
"Torque Ripple (MsVw)";6.5818;Nm;
"Torque Ripple (MsVw) [%]";2.472;%;
"Cogging Torque Ripple (Vw)";9.7477;Nm;
"Speed limit for constant torque_(For Phase Advance of 45 EDeg)";4122.9;rpm;
"No load speed";6494.1;rpm;
"Speed limit for zero q axis current";21039;rpm;
"Electromagnetic Power";83645;Watts;
"Input Power";88892;Watts;
"Total Losses (on load)";5864.2;Watts;
"Output Power";83027;Watts;
"System Efficiency";93.403;%;
"Shaft Torque";264.28;Nm;
"Power Factor [Waveform] (lagging)";0.7253;;
"Power Factor Angle [Waveform]";43.506;EDeg;
"Power Factor [THD]";0.71314;;
"Power Factor [Phasor] (lagging)";0.77715;;
"Power Factor Angle [Phasor]";39;EDeg;
"Load Angle [Phasor]";83.505;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";120.45;Volts;
"Rotor Inertia";0.025375;kg.m©÷;
"Shaft Inertia";0.0050357;kg.m©÷;
"Total Inertia";0.030411;kg.m©÷;
"Torque per rotor volume";133.73;kNm/m©ø;
"Rotor peripheral velocity (on load)";20.42;m/s;
