Drive
"DC Bus Voltage";48;Volts;
"Line-Line Supply Voltage (rms)";33.94;Volts;
"Phase Supply Voltage (rms)";19.6;Volts;
"Line-Line Terminal Voltage (peak)";27.28;Volts;
"Line-Line Terminal Voltage (rms)";19.36;Volts;
"Phase Terminal Voltage (peak)";15.55;Volts;
"Phase Terminal Voltage (rms)";11.18;Volts;
"Harmonic Distortion Line-Line Terminal Voltage";1.377;%;
"Harmonic Distortion Phase Terminal Voltage";2.958;%;
"Back EMF Line-Line Voltage (peak)";25.09;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";25.26;Volts;
"Back EMF Phase Voltage (peak)";14.51;Volts;
"Back EMF Line-Line Voltage (rms)";17.86;Volts;
"Back EMF Phase Voltage (rms)";10.31;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.9438;%;
"Harmonic Distortion Back EMF Phase Voltage";1.055;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"DC Supply Current (mean)";7.432;Amps;
"Line Current (peak)";14.98;Amps;
"Line Current (rms)";10.59;Amps;
"Phase Current (peak)";14.98;Amps;
"Phase Current (rms)";10.59;Amps;
"Phase Advance";0.27;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0.03268;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0.2069;mH;
"Q Axis Inductance";0.2074;mH;
"Line-Line Inductance (DQ)";0.4143;mH;
"Self Inductance";0.4698;mH;
"Mutual Inductance";-0.06468;mH;
"Line-Line Inductance";1.069;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.007533;mH;
"D Axis Phase Current (average rms)";-0.0499;Amps;
"Q Axis Phase Current (average rms)";10.59;Amps;
"Torque Constant (Kt)";0.09335;Nm/A;
"Motor Constant (Km)";0.2863;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.1089;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1097;Vs/Rad;
"Electrical Constant";2.923;msec;
"Mechanical Constant";0.6101;msec;
"Electrical Loading";2.627E004;Amps/m;
"Stall Current";338.7;Amps;
"Stall Torque";31.61;Nm;
"Short Circuit Line Current (peak)";57.97;Amps;
"Short Circuit Current Density (peak)";36.91;Amps/mm©÷;
"Short Circuit Current Density (rms)";26.1;Amps/mm©÷;
"Short Circuit Braking Torque";-1.551;Nm;
"Short Circuit Max Braking Torque";-2.838;Nm;
"Short Circuit Max Braking Torque Speed";654.2;rpm;
"Fundamental Frequency";183.3;Hz;
"Shaft Speed";2200;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0.03268 EDeg)";1.4055;Nm;
"Average torque (virtual work)";1.4016;Nm;
"Average torque (loop torque)";1.3945;Nm;
"Torque Ripple (MsVw)";0.024218;Nm;
"Torque Ripple (MsVw) [%]";1.7324;%;
"Cogging Torque Ripple (Vw)";0.0081229;Nm;
"Speed limit for constant torque_(For Phase Advance of 0.27 EDeg)";3956.8;rpm;
"No load speed";4208.5;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power";322.07;Watts;
"Input Power";346.22;Watts;
"Total Losses (on load)";57.612;Watts;
"Output Power";288.6;Watts;
"Converter Efficiency";97.046;%;
"Motor Efficiency";83.36;%;
"System Efficiency";80.897;%;
"Shaft Torque";1.2527;Nm;
"Power Factor [Waveform] (lagging)";0.97628;;
"Power Factor Angle [Waveform]";12.503;EDeg;
"Power Factor [THD]";0.97586;;
"Power Factor [Phasor] (lagging)";0.97437;;
"Power Factor Angle [Phasor]";13;EDeg;
"Load Angle [Phasor]";12.908;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";11.339;Volts;
"Rotor Inertia";8.752E-005;kg.m©÷;
"Shaft Inertia";7.2089E-006;kg.m©÷;
"Total Inertia";9.4729E-005;kg.m©÷;
"Torque per rotor volume";21.781;kNm/m©ø;
"Rotor peripheral velocity (on load)";5.2067;m/s;
"Flux Linkage D (Q axis current)";12.5126;mVs;
"Flux Linkage Q (Q axis current)";3.04152;mVs;
"Flux linkage D (On load)";12.4917;mVs;
"Flux linkage Q (On load)";3.03575;mVs;
"Torque Constant (Kt)";0.0933451;Nm/A;
"Motor Constant (Km)";0.286297;Nm/(Watts^0.5);
"Back EMF Constant (Ke)";0.108914;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.109657;Vs/Rad;
"Stall Current";338.652;Amps;
"Stall Torque";31.6115;Nm;
"Cogging Period";6;MDeg;
"Cogging Frequency";2200;Hz;
"Fundamental Frequency";183.333;Hz;
"Mechanical Frequency";36.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
